Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
DUNCEW,67.29,221.01,1.83,7.58,8.95,40.6,32.9,23.1,643.94,-2.6229,-1.9027,2.99,1.91,1.9,-0.1176,-0.1126,0.2169,0.2033,2.3568,3.0814,2.0104,3.3268,29.2556,7.3202,8.3399,7.172,0.9196,0,0.7561,3.0318,1.1469,1.4088,1.2899,6.4273,12.5101,4.0907,4.2121,4.2073,10.1799,2.0474,2.0096,2.0533,2.0206,2.049,1.6292,0.0872,0.0138,0.024,0.0075,0.034,1.1836,1.1798,0.2515,0.0418,0.0364,0.0687,0.0261,19.4
DUNQIN,97.96,241.5,2.72,7.37,9.87,41.7,31.7,20.8,641.79,-2.8971,-2.4447,1.91,1.94,1.89,-0.0326,-0.0771,0.2015,0.0532,2.6027,3.1151,3.3103,2.0129,29.1512,7.2945,7.1964,8.5301,0.8728,0.7717,0.5405,3.0347,1.1875,1.28,1.3385,6.3824,12.5241,4.1215,4.198,4.2047,10.1257,2.0015,2.0626,2.083,2.0431,1.9354,1.3263,0.2506,0.0353,0.0487,0.072,0.0301,1.4542,1.5302,0.075,0.0168,0.0175,0.0107,0.0179,11.7
DUPFEA,82.22,178.27,1.91,4.55,8.63,29.3,19.4,10.2,474.08,-3.18,-2.1872,2.02,2.12,1.84,-0.1047,-0.1055,0.1164,0.1474,2.1132,3.1304,3.0881,2.1515,29.2176,7.3105,7.1348,8.3905,0.9916,0.5963,0.3578,3.0204,1.3457,1.3569,1.1365,6.4515,12.5205,4.2057,4.1716,4.1432,10.1323,1.9785,2.0388,2.0217,2.0386,2.0548,1.2386,0.2857,0.0287,0.0803,0.0703,0.0478,1.4184,1.4022,0.074,0.0222,0.0142,0.0077,0.0207,19.2
DUPKII,82.05,223.98,2.41,7.96,10.4,37.1,28.3,20.5,678.99,-3.452,-2.5562,2.12,1.93,1.82,-0.0745,-0.0753,0.1582,0.1551,2.3389,3.2075,2.1241,3.1533,29.2471,7.2224,8.3795,7.1076,0.9992,0.3493,0.7259,3.0221,1.2888,1.2586,1.2573,6.4251,12.5335,4.1599,4.2141,4.1594,10.1156,1.9534,2.0498,2.035,2.0075,2.0699,1.448,0.0738,0.0206,0.0067,0.0153,0.0102,1.255,1.2005,0.2914,0.0396,0.0564,0.0832,0.0418,8.6
DUSCAY,93.39,193.05,2.96,7.28,8.84,32.1,26.4,19.6,676.3,-3.3705,-2.997,1.99,1.99,1.84,-0.0345,-0.057,0.1771,0.1691,2.1871,3.2493,2.1468,2.1193,29.0431,7.2659,8.3587,8.3998,1.0205,0.4551,0.4131,3.0269,1.2236,1.2083,1.3504,6.4077,12.4924,4.1524,4.1776,4.1623,10.1341,1.9924,2.0162,2.0461,2.0463,2.033,1.5119,0.0782,0.016,0.0189,0.0135,0.0166,1.3736,1.5329,0.0804,0.0149,0.0157,0.0206,0.013,9.4
DUSWOE,80.47,196.94,1.97,7.45,7.86,32.2,23.3,14.6,572.14,-3.2457,-2.4038,1.91,2.26,1.83,-0.0726,-0.0998,0.1846,0.1555,2.15,3.1507,3.3832,2.1107,29.3354,7.2526,7.0573,8.3737,0.9761,0.7639,0.2302,3.0214,1.3665,1.2834,1.1827,6.4766,12.5038,4.1796,4.2031,4.1211,10.0918,1.9662,2.049,2.0258,2.0188,2.032,1.2517,0.2494,0.0374,0.0512,0.0607,0.0395,1.4072,1.4528,0.0703,0.023,0.0086,0.0115,0.012,23
DUXGAF,86.04,184.86,1.55,9.27,7.37,30.3,20.2,13.8,609.04,-2.7129,-1.6125,2.06,1.95,1.89,-0.102,-0.1201,0.1225,0.0505,2.0055,3.0461,2.0744,2.0288,29.1453,7.3532,8.381,8.4783,0.9021,0.3072,0.6136,3.0375,1.3876,1.3147,1.1436,6.4775,12.4421,4.2058,4.154,4.0824,10.1821,1.9908,2.0667,2.0448,2.0803,1.9996,1.5161,0.0756,0.0129,0.0145,0.021,0.0112,1.4526,1.5457,0.0737,0.0141,0.0145,0.0172,0.0116,15
DUYYAY,86.73,187.25,1.55,7.64,8.43,31.1,21.8,14.2,591.72,-2.6913,-2.0113,2.02,1.93,1.87,-0.0621,-0.1013,0.0462,0.109,2.155,3.1024,1.9668,2.0492,29.0719,7.3326,8.5097,8.4444,0.9356,0.4139,0.5394,3.0319,1.309,1.2877,1.2324,6.4424,12.4622,4.1967,4.1432,4.1224,10.1572,1.9988,2.0693,2.0522,2.0563,1.9805,1.5204,0.072,0.0131,0.0127,0.0186,0.0098,1.4132,1.5237,0.0791,0.0154,0.011,0.0224,0.0104,12.7
DUZGEK,79.16,192.12,1.72,11.63,7.49,34.2,25.4,18.5,713.14,-3.2938,-2.4296,2,2.08,1.85,0.0117,-0.0846,0.1312,0.0829,2.1748,3.1832,2.0167,3.183,29.0743,7.2902,8.4427,7.3345,0.997,0.4119,0.4396,3.0318,1.298,1.258,1.2567,6.431,12.4372,4.2261,4.1034,4.1077,10.1198,2.047,2.0356,2.0233,1.9925,2.0214,1.4866,0.0809,0.0177,0.008,0.0241,0.009,1.3697,1.1812,0.1663,0.0242,0.0345,0.0481,0.0179,9.1
EBEYUH,78.43,203.79,2.29,10.59,5.77,35.3,25.5,12.7,569.94,-2.9456,-0.8113,2.26,2,1.9,-0.1621,-0.1139,0.1602,0.0707,1.9831,3.0731,2.1131,3.1447,29.3196,7.3193,8.3199,7.2184,0.9167,0.1941,0.6563,3.031,1.2111,1.2737,1.3623,6.5037,12.4606,4.1406,4.2181,4.1018,10.1976,1.988,2.0721,2.0688,2.0641,2.0046,1.4902,0.0723,0.0151,0.0052,0.0187,0.0099,1.2344,1.3174,0.2234,0.029,0.0455,0.061,0.0288,18.6
EBICOI,58.59,190.57,2.29,7.18,9.18,31.2,25.6,16.4,603.3,-3.2306,-1.2309,1.89,2.57,1.85,-0.0559,-0.1203,0.1568,-0.1204,1.9271,3.0909,3.346,2.6585,29.379,7.2768,7.0747,7.4047,0.9334,0.7154,0,3.0287,1.3317,1.239,1.2813,6.5327,12.4275,4.1673,4.1395,4.1206,10.0953,1.9817,2.0042,2.0293,2.0385,2.0417,1.2257,0.2445,0.0436,0.0399,0.0594,0.0392,1.3111,1.2611,0.1943,0.023,0.0332,0.0549,0.0339,20.8
ECIBOJ,86.46,185.19,1.55,6.2,10.08,31.1,21.9,12.7,563.83,-2.7633,-1.6093,1.96,2.05,1.89,-0.0996,-0.1182,0.0729,0.1356,1.9889,3.0461,2.0469,2.0641,29.13,7.3596,8.4692,8.3985,0.9098,0.5931,0.3025,3.036,1.1387,1.2658,1.441,6.4721,12.4452,4.0703,4.2038,4.1711,10.182,2.0115,2.0182,2.0527,2.019,2.0807,1.5344,0.075,0.0194,0.0156,0.0093,0.0207,1.4691,1.568,0.0776,0.0214,0.0192,0.0062,0.0235,14.9
ECINUB,90.82,193.13,3.2,7.93,12.74,31.4,24.6,17,766,-2.8363,-2.3568,1.93,1.98,1.88,-0.0795,-0.0958,0.12,0.1432,2.2172,3.1188,2.0961,2.0628,29.1157,7.3079,8.4385,8.4069,0.9445,0.594,0.3966,3.0337,1.2673,1.1542,1.4019,6.4382,12.489,4.2078,4.1111,4.1701,10.152,1.9967,2.0914,2.0524,2.0141,1.9975,1.4832,0.0792,0.0192,0.0212,0.0092,0.0209,1.4361,1.4251,0.0826,0.0213,0.0164,0.0128,0.0164,13.6
ECIRAM,76.66,166.9,2.08,5.24,9.19,27.8,15.8,8.7,496.25,-3.0973,-0.2866,2.1,2.24,1.88,-0.1171,-0.1156,0.1289,-0.036,1.7463,3.0674,2.1155,3.0832,29.1229,7.3454,8.4114,7.3719,0.9464,0.3618,0.3285,3.025,1.2821,1.1719,1.3954,6.4895,12.4511,4.1655,4.1465,4.1391,10.1763,2.0039,2.0091,2.0242,2.0691,2.07,1.5595,0.0751,0.0136,0.0226,0.0089,0.0197,1.4337,1.0369,0.1985,0.0508,0.0182,0.0737,0.0213,12.2
ECONUG,82.16,205.84,2.13,10.66,6.18,36.2,28.1,15.7,615.4,-2.9582,-1.8144,1.94,2.01,1.87,-0.1429,-0.095,0.1914,0.034,2.4708,3.1295,3.3184,2.8661,29.3313,7.293,7.0721,7.1667,0.954,0.6099,0.5621,3.0282,1.3187,1.19,1.3148,6.4289,12.5908,4.1816,4.2188,4.1903,10.1229,1.9988,2.0052,1.9942,2.0559,2.0689,1.2071,0.2602,0.0459,0.056,0.0507,0.054,1.3196,1.1405,0.2662,0.0563,0.0389,0.0734,0.0389,15.9
EDEVEP,76.23,170.14,1.72,8.28,9.62,28.1,17.6,10.9,567.11,-3.0152,-1.9404,2.33,1.92,1.84,-0.0966,-0.1118,-0.0563,0.1388,1.8909,3.1185,2.9954,2.1475,29.1566,7.297,7.4276,8.4166,0.9847,0.2297,0.5528,3.0226,1.262,1.3404,1.2422,6.491,12.4638,4.1496,4.1626,4.1516,10.1415,1.9716,2.0405,2.0199,2.0481,2.0615,1.0893,0.1912,0.0552,0.0273,0.026,0.0429,1.4315,1.4988,0.0828,0.0113,0.0156,0.0224,0.013,12
EFAJOM,90.37,190.84,1.88,7.16,9.32,30.2,23.2,15.3,614.48,-3.1515,-2.6571,1.9,2.07,1.84,-0.0725,-0.0892,0.1506,0.1764,2.1299,3.1747,2.1195,2.1089,29.1106,7.2928,8.4384,8.3742,0.9982,0.5931,0.3059,3.0253,1.3429,1.3302,1.1459,6.4361,12.5024,4.1783,4.1817,4.1424,10.1337,1.9756,2.0547,2.0449,2.0342,2.0243,1.4839,0.0848,0.0189,0.0154,0.0174,0.0164,1.4228,1.49,0.0774,0.0214,0.017,0.0089,0.0203,11.1
EFUSIK,66.92,201.47,1.96,9,7.06,33.5,26.8,17.5,675.55,-2.7157,-2.1264,1.97,2.01,1.85,-0.0547,-0.09,0.1143,0.1406,2.4233,3.1548,2.9824,2.9469,29.348,7.2674,7.1512,7.2988,0.9485,0.5882,0.5118,3.0279,1.2429,1.3037,1.2707,6.448,12.5068,4.1173,4.2191,4.1704,10.0995,2.0036,2.0082,2.0493,2.0256,2.0127,1.2516,0.2356,0.0351,0.0491,0.0574,0.0289,1.3119,1.1603,0.233,0.044,0.0426,0.0547,0.0363,20.5
EGINEQ,88.95,211.71,1.55,8.3,7.99,32.9,24.5,16.9,617.24,-3.1336,-2.6768,1.91,1.92,1.83,0.031,-0.0449,0.1186,0.0408,2.4841,3.234,2.0284,2.0192,29.0354,7.2224,8.4346,8.5004,0.9697,0.5581,0.6139,3.0287,1.2398,1.2428,1.2857,6.4099,12.5074,4.1864,4.1529,4.1682,10.0512,2.0206,1.9819,2.0232,2.059,1.9665,1.4682,0.0816,0.019,0.0082,0.0243,0.0091,1.4628,1.4811,0.0742,0.0159,0.0108,0.0175,0.0109,19.6
EHOQIE,80.54,178.46,1.74,13.58,7.93,30,21.5,13.8,705.15,-3.3677,-2.1876,2.22,1.9,1.82,-0.0662,-0.0958,0.1496,0.1149,2.1997,3.1729,2.1062,3.2664,29.2686,7.2738,8.381,6.9411,1.0105,0.2604,0.7341,3.0229,1.3375,1.292,1.1966,6.4665,12.5213,4.1708,4.2171,4.1334,10.078,1.9679,2.0433,2.0182,2.0029,2.0456,1.4717,0.0713,0.0204,0.0068,0.0149,0.0101,1.2216,1.1981,0.3048,0.0488,0.0535,0.0847,0.0409,20.9
EHUJAT,82.5,229.21,2.58,8.28,9.91,38.3,28.3,18.4,672.33,-3.6825,-3.2253,2,1.99,1.84,-0.0076,-0.03,0.1055,0.148,2.5122,3.2989,3.1551,2.1288,29.1812,7.2135,7.0059,8.4248,0.9893,0.658,0.4899,3.0312,1.2921,1.29,1.1702,6.4014,12.5132,4.1793,4.178,4.1559,10.0927,1.974,2.0527,2.0515,2.0249,1.9896,1.3754,0.3007,0.0445,0.0725,0.0618,0.0466,1.4338,1.4718,0.0792,0.0232,0.0142,0.0112,0.0178,9.8
EINACN10,82.46,189.19,1.71,10.93,8.45,31.5,20,10.6,593.17,-3.5487,-2.7117,1.95,2.02,1.81,-0.0349,-0.062,0.0476,0.1161,2.4257,3.26,3.2266,2.0443,29.1577,7.2323,6.9576,8.4522,1.0289,0.7094,0.426,3.0235,1.3222,1.3129,1.1504,6.4212,12.558,4.1793,4.2302,4.1486,10.0553,2.0023,2.0411,2.0168,1.9752,2.0199,1.197,0.3395,0.065,0.0506,0.0887,0.057,1.4809,1.4804,0.0762,0.0206,0.0086,0.0153,0.012,16.4
EJEXAT,83.1,204.74,2.34,5.63,6.27,38.2,28.8,15.2,513.45,-3.0541,-2.0591,1.97,1.98,1.84,-0.1262,-0.0857,0.1466,0.2027,2.5205,3.1739,3.1536,3.3046,29.3575,7.2709,7.1487,7.0745,0.9684,0.6107,0.6122,3.0252,1.3018,1.3483,1.1623,6.4152,12.6041,4.2108,4.1918,4.2015,10.1066,2.031,2.016,2.0325,1.9895,2.0375,1.1316,0.2346,0.0515,0.036,0.0534,0.0398,1.1301,1.2883,0.2541,0.0366,0.0524,0.0635,0.0364,22
EKEYOL,79.06,184.46,1.67,5.14,6,30.8,21.9,9.6,434.95,-3.6698,-3.109,2.25,1.88,1.81,-0.0338,-0.0538,0.0944,0.0342,2.3503,3.2787,2.7827,3.2886,29.3113,7.2105,7.1829,6.9076,1.0221,0.2845,0.7657,3.0254,1.2739,1.3031,1.2009,6.4582,12.5455,4.19,4.1602,4.1953,10.0297,2.0064,2.0078,2.0048,1.9951,2.0156,1.2806,0.2501,0.0245,0.0779,0.0661,0.0356,1.2412,1.1756,0.3144,0.0395,0.074,0.0657,0.061,20.7
ELOJUM,81.89,233.77,2.19,7.92,8.54,37.8,27,17.1,627.31,-3.4401,-2.8097,1.99,2.02,1.86,-0.045,-0.0617,0.1483,0.1152,2.4585,3.228,2.1209,3.1912,29.1784,7.2897,8.4223,6.9839,0.9864,0.4946,0.6158,3.0311,1.3014,1.3077,1.1786,6.4099,12.5078,4.1536,4.2002,4.1539,10.127,2.0021,2.0527,2.0554,2.0177,1.9991,1.4834,0.0797,0.0236,0.0143,0.0113,0.0179,1.108,1.3717,0.3044,0.053,0.0667,0.0548,0.0547,8.7
EMAWUL,92.95,197.34,2.36,5.79,15.2,30.2,20.2,11.3,670.59,-3.3019,-3.0701,1.91,1.93,1.85,0.0063,-0.0364,0.1084,0.1686,2.4088,3.2657,2.094,2.1635,29.0054,7.233,8.4567,8.3597,0.9775,0.5506,0.4994,3.0297,1.2372,1.2907,1.2317,6.3983,12.5279,4.1497,4.183,4.1952,10.0671,1.9865,1.9913,2.054,2.0489,1.9866,1.466,0.0808,0.0197,0.0174,0.012,0.0194,1.3669,1.4772,0.0832,0.0202,0.0138,0.0182,0.0125,15
EMIKUG,78.15,231.63,2.92,6.22,10.68,39,30.5,19.2,669.77,-3.0848,-1.8285,2.04,2.06,1.86,-0.126,-0.0946,0.1765,0.1791,2.3163,3.1497,3.1995,3.1995,29.3551,7.2737,7.2086,7.0372,0.9871,0.5422,0.5102,3.0212,1.3481,1.3273,1.1548,6.4353,12.5524,4.1752,4.2067,4.1705,10.138,2.0044,2.022,2.0181,2.02,2.0736,1.129,0.228,0.0511,0.0284,0.0587,0.033,1.1045,1.3383,0.3016,0.0404,0.0685,0.065,0.0474,23.1
EMOLEZ,78.02,170.06,2.15,10.87,8.86,28.3,20.4,14.7,644.95,-3.7393,-3.3741,2.62,1.86,1.81,0.0566,-0.0753,0.1626,0.0761,2.1279,3.2377,2.1476,3.4172,29.2769,7.2063,8.3199,6.8924,1.0047,0.1088,0.8393,3.0245,1.2853,1.2779,1.2413,6.5011,12.4515,4.1462,4.2052,4.1001,9.9904,1.9613,2.0408,1.994,1.9833,2.0109,1.501,0.0693,0.0203,0.0058,0.0151,0.0097,1.2071,1.1985,0.3365,0.071,0.044,0.0867,0.0527,23.3
ENEBOQ,69.4,157.29,1.7,8.65,8.77,26.3,19.2,13.7,606.85,-3.3161,-1.3956,1.85,3.25,1.81,0.0293,-0.122,0.1407,0.068,1.9083,3.1136,3.5213,2.1645,29.3846,7.2404,6.9952,8.3682,0.975,0.826,0,3.0218,1.3681,1.1926,1.2971,6.5409,12.4199,4.1801,4.0814,4.1584,10.0095,1.9963,1.9661,1.9973,2.0267,2.0231,1.159,0.2685,0.0526,0.0436,0.0616,0.0367,1.4228,1.5783,0.0666,0.0054,0.0221,0.013,0.0105,23.3
EPYROA,79.26,176.04,1.87,7.59,8.46,29.6,21.2,15,595.9,-3.2226,-2.2343,1.92,2.26,1.83,-0.0803,-0.1078,0.1096,0.1672,2.1369,3.1405,3.2141,2.1465,29.3221,7.2848,7.0375,8.3604,1.0045,0.7225,0.2622,3.0213,1.3749,1.2885,1.1794,6.4853,12.5072,4.1828,4.2026,4.1217,10.0875,1.9641,2.0464,2.0208,2.0272,2.029,1.3047,0.2998,0.0425,0.0718,0.0612,0.0448,1.4033,1.4492,0.0726,0.0231,0.0088,0.0124,0.0128,23.6
EQIZUZ01,95.88,228.73,1.96,12.14,8.02,39.5,29.7,19,755.11,-2.676,-1.9077,1.97,1.94,1.93,-0.1933,-0.1102,0.0818,0.1281,2.3354,3.0273,2.0555,3.321,29.272,7.3698,8.4886,7.079,0.8432,0.531,0.6706,3.0321,1.2684,1.2711,1.3022,6.4241,12.572,4.1917,4.2049,4.1753,10.197,1.9746,2.0488,2.0777,2.0705,2.0254,1.5042,0.0775,0.0213,0.015,0.0113,0.0178,1.1906,1.2861,0.2527,0.0493,0.0513,0.0489,0.0544,19.1
EQUTAL,96.51,199.13,3.7,8.65,8.79,38.2,32,21.3,712.25,-2.6975,-2.4557,2.01,1.89,1.87,-0.1162,-0.1003,0.1612,-0.0474,2.3527,3.0994,2.0146,1.8666,29.2109,7.2603,8.4098,8.608,0.9174,0.384,0.7436,3.0314,1.2647,1.2705,1.294,6.46,12.4909,4.1993,4.1151,4.1765,10.165,2.0678,1.9824,2.0282,2.0501,2.0364,1.5268,0.0855,0.0208,0.0137,0.0208,0.0122,1.5507,1.468,0.0723,0.0191,0.0106,0.0141,0.0118,22
ERAVAU,82.95,196.04,1.8,5.99,8.65,32.7,21,11.5,497.73,-2.9557,-2.2914,2,1.94,1.84,-0.1023,-0.0829,0.0496,0.1807,2.4261,3.1865,2.0199,3.3229,29.2554,7.241,8.4199,7.0928,0.978,0.4581,0.6818,3.0237,1.3265,1.3033,1.1812,6.4334,12.5633,4.169,4.205,4.1893,10.1052,2.026,1.9656,2.0402,1.9969,2.0765,1.5575,0.0726,0.0114,0.0156,0.018,0.0094,1.2222,1.1477,0.2608,0.0545,0.0329,0.0675,0.0372,17.5
EROGAU,83.27,193.02,2.16,5.57,7.46,31.9,21.6,12.4,478.51,-3.5541,-2.8964,1.98,1.99,1.81,-0.0289,-0.054,0.1591,0.2012,2.4697,3.2846,2.1679,3.3069,29.1918,7.2098,8.3627,7.0938,1.0192,0.5097,0.6657,3.0244,1.3053,1.3025,1.1668,6.4133,12.5592,4.1858,4.1844,4.1889,10.056,2.0142,2.0106,2.0385,1.9671,2.0256,1.4977,0.0803,0.0143,0.0177,0.0169,0.0135,1.1912,1.1235,0.2529,0.041,0.0492,0.0594,0.0396,12.5
ESASUO,76.94,175.22,1.66,6.38,8.73,27.6,18.6,13.4,555.89,-2.7911,-1.7594,1.93,2.16,1.87,-0.1997,-0.1158,-0.1705,0.0866,2.0096,3.0677,2.9557,2.0537,29.2698,7.3294,7.4587,8.4662,0.9066,0.6879,0.2991,3.0262,1.3267,1.178,1.3433,6.5074,12.5447,4.1838,4.1732,4.1877,10.1472,2.0077,1.9899,2.0098,2.0518,2.0881,1.0204,0.1965,0.058,0.016,0.049,0.0253,1.4576,1.5498,0.0722,0.013,0.0179,0.0128,0.0146,21.5
ESERUP,89.43,186.53,2.41,5.75,7.16,30.1,21.6,12.3,485.11,-3.0399,-1.7007,2.1,1.96,1.85,-0.0789,-0.1084,0.1837,0.1848,1.9797,3.1325,2.1543,2.1711,29.0841,7.3207,8.3154,8.3553,1.0158,0.2907,0.4517,3.0249,1.1971,1.2229,1.422,6.4431,12.4547,4.1295,4.1662,4.159,10.1808,2.0045,2.0242,2.0335,2.0495,2.0691,1.4918,0.0763,0.0169,0.0153,0.0173,0.0121,1.4291,1.4888,0.0822,0.0211,0.0183,0.0083,0.0273,8.9
ETIGEV01,89.76,196.58,1.8,9.54,7.93,32.8,26.4,20.9,721.83,-3.3595,-2.7886,1.9,1.91,1.85,0.0654,-0.0422,0.046,0.1111,2.5027,3.2026,1.9878,2.0393,29.066,7.1857,8.5105,8.4387,0.938,0.6753,0.561,3.0373,1.2486,1.2207,1.2916,6.4059,12.4919,4.2037,4.1362,4.152,10.0363,2.0596,1.9528,2.0119,2.0417,1.9704,1.4835,0.0747,0.0161,0.0101,0.018,0.0123,1.4769,1.4628,0.0817,0.0185,0.0088,0.0249,0.0088,17.7
ETIGOD,83.61,181.95,1.55,6.29,6.26,30.7,22.5,12.6,475.79,-3.3176,-2.3727,1.94,2.12,1.83,0.0041,-0.0949,0.1652,0.1583,2.0626,3.1653,2.1803,2.0759,29.0341,7.3152,8.3339,8.3787,0.9982,0.5248,0.2827,3.0295,1.3287,1.3247,1.1694,6.4435,12.4233,4.1908,4.148,4.0845,10.1287,1.9896,2.063,2.0448,2.0469,1.9845,1.5361,0.083,0.0136,0.0134,0.0236,0.0121,1.3779,1.5052,0.0781,0.013,0.0144,0.0239,0.01,9
EVAMEU,83.38,223.71,1.82,6.51,7.27,39.1,28.6,16.8,561.29,-3.6326,-2.9103,1.97,1.96,1.81,0.0087,-0.0397,0.2226,0.1024,2.729,3.3024,3.3053,3.1979,29.2355,7.2175,7.0743,6.9813,1.018,0.6343,0.6623,3.0254,1.2524,1.2971,1.212,6.3883,12.5704,4.1668,4.1999,4.2038,10.0322,2.0051,1.984,2.0511,2.0177,1.9743,1.3048,0.2452,0.0357,0.0516,0.0639,0.0323,1.2939,1.0882,0.3116,0.071,0.0401,0.0685,0.0506,15.8
EVIQAB,53.49,136.33,1.96,4.28,5.98,26.4,19,8.1,422.64,-3.177,-0.3573,3.52,1.91,1.88,-0.0636,-0.118,0.087,0.0105,1.8723,3.0882,2.1527,3.1463,29.4301,7.2723,8.3395,7.0932,0.9364,0,0.7611,3.0323,1.2495,1.2954,1.3051,6.5879,12.3964,4.1403,4.1585,4.0976,10.079,1.9531,2.0284,2.0193,2.0418,2.0364,1.4006,0.0669,0.016,0.0206,0.0025,0.0249,1.2499,1.2641,0.2297,0.0548,0.032,0.0498,0.0385,22.6
EVOJIJ,89.96,192.27,1.55,7.93,7.78,33,24.2,16.1,595.39,-2.9576,-2.0866,1.96,1.94,1.86,-0.0343,-0.0842,0.0831,0.0396,2.3115,3.1438,1.9272,2.052,29.1061,7.2711,8.5174,8.4954,0.9356,0.4427,0.6454,3.0281,1.2141,1.3692,1.2306,6.4341,12.4847,4.116,4.2046,4.1641,10.1151,2.03,1.9775,2.0272,2.0082,2.0722,1.3753,0.0834,0.0223,0.0178,0.0069,0.027,1.4693,1.5012,0.0734,0.0201,0.013,0.012,0.015,16.6
EVOXOE,73.25,262.39,1.81,7.3,9.64,45,28.3,15.1,576.84,-3.2327,-2.1703,2.15,2.13,2.06,-0.096,0.0875,0.1594,0.1453,2.0187,3.3125,3.1092,2.081,28.9788,7.2404,6.9943,8.433,0.547,0.4028,0.3379,2.9664,1.274,1.2624,1.1548,6.3642,12.4405,4.1289,4.18,4.1316,10.2911,2.0293,2.0568,2.0795,2.061,2.0645,1.357,0.3151,0.0354,0.0742,0.0582,0.0561,1.4105,1.5132,0.0762,0.0153,0.0097,0.0213,0.0106,35.2
EVUYIF,92.03,203.51,2.98,10.47,10,36.9,29,20.1,808.39,-2.971,-2.4388,1.98,1.95,1.85,-0.0564,-0.0725,0.1336,-0.0197,2.3742,3.1717,2.0344,1.9307,29.1412,7.2471,8.4674,8.5702,0.9443,0.4332,0.6713,3.03,1.2205,1.3599,1.2188,6.4386,12.4911,4.16,4.1786,4.1524,10.1264,2.0557,1.9686,2.046,2.0457,2.0103,1.457,0.0827,0.0146,0.0097,0.0252,0.0092,1.4834,1.4888,0.0711,0.0221,0.0119,0.0112,0.0123,15.8
EWEVIM02,63.83,159.59,1.7,4.2,10.66,24.3,15.1,9.2,508.16,-3.1387,-2.947,2.02,2.08,1.82,-0.0099,-0.0758,0.0677,0.0465,2.1179,3.2194,2.0258,1.9156,29.1705,7.262,8.4641,8.5183,0.9708,0.541,0.4035,3.0284,1.1892,1.2586,1.3496,6.4728,12.4304,4.126,4.177,4.1273,10.1063,1.9866,2.0138,2.0291,2.069,2.0078,1.6009,0.0703,0.0148,0.0191,0.0104,0.0158,1.5277,1.4377,0.0693,0.0175,0.0047,0.0156,0.0098,16
EWIREJ,87.48,191.84,3.89,6.72,9.93,36.2,26.1,18.8,664.22,-3.2645,-2.9596,1.93,1.92,1.82,0.0285,-0.0318,-0.0437,0.1119,2.6689,3.3054,1.8481,2.0548,29.0953,7.2211,8.6013,8.4376,1.0176,0.629,0.6801,3.0358,1.2131,1.2838,1.2481,6.3956,12.5135,4.1418,4.1713,4.2004,10.062,1.9731,2.044,2.0788,2.0739,1.8923,1.5936,0.0679,0.0193,0.0133,0.0069,0.0187,1.3785,1.6038,0.0806,0.0103,0.0169,0.0187,0.0117,18.7
EYIPUZ,88.61,193.08,1.55,6.76,8.93,32.6,22.9,13.2,547.48,-3.3214,-2.4844,1.92,1.93,1.85,0.0326,-0.067,0.0378,0.1271,2.4245,3.1666,2.0404,2.0743,29.0694,7.2325,8.4722,8.3874,0.9266,0.6663,0.5072,3.0361,1.2413,1.2804,1.2677,6.4238,12.4775,4.1876,4.1519,4.138,10.0657,2.0547,1.9949,1.9897,2.027,1.9993,1.4702,0.0738,0.0158,0.0087,0.0181,0.0116,1.5331,1.4178,0.0857,0.018,0.0079,0.0269,0.0084,17.6
EZAFAM,82.18,181.63,2.64,9.29,9.09,34.8,28.6,20.2,744.69,-2.7179,-2.4131,2.11,1.92,1.85,-0.1601,-0.11,0.1768,-0.0632,2.153,3.1187,2.0902,1.9012,29.2617,7.3038,8.372,8.5769,0.95,0.2953,0.7073,3.028,1.3206,1.2025,1.3142,6.4869,12.4949,4.1403,4.173,4.1816,10.1779,2.0199,2.0135,2.0111,2.0486,2.0849,1.5151,0.076,0.0166,0.021,0.0093,0.0184,1.4924,1.4837,0.0729,0.0205,0.012,0.0133,0.0134,18.4
