Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
EDEPUZ,78.73,172.72,1.59,4.24,7.38,28.6,17.7,10.2,428.27,-5.6955,-2.1989,1.97,2.26,1.89,0.0305,0.0522,0.1894,-0.034,1.5447,3.1148,2.1894,2.8543,28.8641,7.2417,8.3633,7.3941,0.7574,0.4248,0.2145,2.9884,1.2752,1.2889,1.1463,6.3845,12.3911,4.1472,4.161,4.0829,10.1937,2.0117,2.0386,2.0466,2.0503,2.0465,1.5899,1.4229,0.0797,0.0067,0.0205,0.0195,0.01,1.2224,1.0469,1.501,0.1845,0.0672,0.0163,0.0444,0.0249,10.2
EDEVEP,78.97,173.37,2.14,8.02,10.07,28.8,17.3,10.6,547.88,-5.348,-1.1452,2.23,1.98,1.89,-0.0209,0.0447,-0.0626,0.1358,1.5837,3.0918,2.9235,2.1171,28.9342,7.2315,7.4091,8.4442,0.7726,0.2431,0.4671,2.9871,1.2831,1.2881,1.1461,6.4107,12.4105,4.1526,4.1579,4.1001,10.1995,2.0008,2.0527,2.0363,2.0492,2.0605,1.0245,1.5636,0.1925,0.0754,0.0192,0.0345,0.0248,1.4212,1.5655,1.4642,0.0773,0.0084,0.0188,0.0183,0.0099,13.6
EDIQOA,91.34,235.55,2.19,11.5,9.23,39.1,28.7,21,821.3,-4.6216,-1.5606,1.95,1.98,1.95,-0.1305,0.0531,0.0307,0.0827,1.974,3.0339,1.8719,3.1475,29.0797,7.2201,8.6204,7.0778,0.7271,0.4427,0.584,2.9932,1.2024,1.2407,1.2667,6.3866,12.4806,4.1204,4.222,4.1381,10.2631,2.0205,2.064,2.0605,2.0553,2.0628,1.5233,1.5455,0.0767,0.0222,0.0162,0.0093,0.02,1.1871,1.2472,1.1354,0.3022,0.0609,0.0663,0.0564,0.0716,23.3
EDISER,93.06,194.27,4.18,7.53,10.32,35.8,27.6,21.9,770.17,-5.1908,-2.3233,1.97,1.96,1.94,-0.1254,0.0819,0.2117,0.2016,2.0873,2.9359,2.1629,2.107,28.9073,7.3064,8.3491,8.3987,0.6325,0.39,0.4015,2.9894,1.1579,1.2639,1.258,6.2794,12.5233,4.2142,4.1499,4.1592,10.3224,2.0575,2.0556,2.1071,2.0118,2.0904,1.407,1.5275,0.083,0.0141,0.0115,0.024,0.0113,1.4622,1.5114,1.4059,0.084,0.0178,0.0101,0.0191,0.0124,13.1
EDIXEW,86.41,185.09,1.63,8.47,10.89,30.7,23.5,17.2,729.23,-5.1781,-2.402,2.01,2,1.89,-0.015,0.0404,0.1579,0.1778,1.7149,3.0818,2.081,2.0445,28.9199,7.239,8.4328,8.4369,0.8086,0.3596,0.3391,2.9903,1.2237,1.2776,1.2195,6.3761,12.4026,4.1879,4.1161,4.0986,10.236,2.0396,2.0665,2.0586,2.0539,2.0174,1.5052,1.5253,0.0759,0.0149,0.0116,0.0223,0.0098,1.3561,1.4945,1.5496,0.078,0.0154,0.0111,0.0214,0.0112,17.2
EDOLOB,92.2,195.73,2.33,7.79,11.63,30.2,20.6,14,662.31,-4.4322,-1.454,1.94,1.93,1.92,-0.0891,0.0471,0.1331,0.05,1.8015,3.0514,2.0613,2.0244,28.9761,7.2072,8.4322,8.5157,0.7547,0.3833,0.4873,2.9917,1.2711,1.2542,1.1881,6.382,12.4705,4.1479,4.1827,4.14,10.2362,2.0229,2.0255,2.0536,2.0526,2.0816,1.4333,1.5833,0.0809,0.0228,0.0174,0.008,0.023,1.4577,1.534,1.5317,0.0761,0.0216,0.015,0.0104,0.0167,20
EDOTAT,81.02,184.35,1.91,5.77,6.54,35,23.9,12.5,463.19,-5.4016,-1.7693,2.03,2.14,1.93,-0.011,0.0507,0.096,0.0681,1.7578,3.1074,3.2237,3.0431,29.0525,7.165,7.0419,7.4686,0.7847,0.4941,0.2917,2.9922,1.2715,1.2981,1.1461,6.4087,12.4182,4.0676,4.1928,4.1578,10.1839,2.0148,2.0243,2.0519,2.0268,2.0661,1.1831,1.1089,0.2855,0.0556,0.0527,0.0604,0.0574,1.1516,1.1858,1.4471,0.1569,0.0526,0.0367,0.0103,0.0376,24.9
EDPBXU,83.28,176.87,1.69,3.44,7.84,27.7,15.5,7.7,405.86,-5.5992,-3.197,2.21,1.98,1.84,0.0214,0.0181,0.1979,0.2113,1.6886,3.1251,2.1816,2.2248,28.9649,7.2017,8.3284,8.3233,0.8764,0.2333,0.4202,2.9918,1.2986,1.2379,1.2023,6.3975,12.366,4.1247,4.1147,4.1267,10.2148,2.0279,2.0233,2.0437,2.0378,2.0821,1.5491,1.4414,0.0719,0.0095,0.0231,0.0121,0.0111,1.3984,1.4542,1.5102,0.0782,0.0212,0.0077,0.0158,0.0116,3.2
EDUJUI,77.21,165.31,2.13,10.41,8.12,28.2,19.6,13.4,661.59,-5.6273,-0.5272,2.77,1.9,1.88,0.0722,0.031,0.066,0.174,1.7558,3.1198,2.0956,3.4831,29.1825,7.1367,8.4113,7.0719,0.8416,0,0.7611,2.9896,1.1367,1.3065,1.2906,6.4726,12.3397,4.0651,4.1796,4.095,10.1151,2.0149,2.0238,2.0062,2.0182,2.052,1.4535,1.5964,0.0666,0.0203,0.008,0.0142,0.0095,1.145,1.2488,1.186,0.2642,0.0372,0.0548,0.0688,0.0297,25.7
EFALON,63.5,157.69,2.4,6.3,10.85,25.2,18.1,13.3,589.08,-4.9242,-1.5419,2.09,2.06,1.86,-0.0182,0.0341,0.0559,0.0566,1.7004,3.1192,1.9283,1.965,29.0808,7.1695,8.5164,8.502,0.8407,0.3686,0.4184,2.9852,1.1709,1.2759,1.2775,6.4327,12.3631,4.1181,4.1525,4.0925,10.2222,2.0158,2.0437,2.0351,2.051,2.0766,1.4394,1.5315,0.0682,0.0138,0.0056,0.0198,0.0094,1.4512,1.5897,1.456,0.0688,0.0106,0.0209,0.0126,0.0116,15.7
EFEFOK01,85.09,211.49,2.41,11.61,6.95,43.8,30.6,16.9,669.76,-4.6217,-1.6288,1.95,2.1,1.93,-0.2095,0.0467,0.049,0.1062,1.8816,3.0404,1.9915,2.9877,28.9778,7.2364,8.5182,7.0961,0.6931,0.5038,0.3519,2.9949,1.2719,1.2981,1.1437,6.3858,12.4629,4.0877,4.2198,4.1554,10.3605,2.0704,2.0533,2.0808,2.0636,2.0923,1.4891,1.6054,0.0739,0.0196,0.0164,0.0086,0.0217,1.27,1.1823,1.0981,0.2971,0.046,0.0685,0.0587,0.0639,28
EFIGIK,93.06,202.46,1.78,8.22,8.04,33.7,27.3,20,636.43,-4.4091,-1.1704,1.93,1.97,1.93,-0.097,0.0485,0.1449,0.0494,1.7626,3.0553,2.0772,1.9791,29.0021,7.2126,8.4613,8.5346,0.746,0.4287,0.4385,2.9921,1.1905,1.2839,1.2376,6.3796,12.4623,4.1543,4.1508,4.1571,10.2547,2.021,2.0569,2.0651,2.0557,2.056,1.5023,1.5367,0.0797,0.0179,0.0135,0.0193,0.0112,1.449,1.499,1.5736,0.0747,0.0195,0.0127,0.014,0.0132,19.5
EFIXID,90.67,199.59,3.12,8.95,9.22,46.8,34.8,23.4,707.26,-4.549,-1.5687,2.04,1.98,1.91,-0.1504,0.0552,0.1685,-0.025,1.9508,3.1032,2.0446,1.8783,29.0833,7.1651,8.401,8.6227,0.8029,0.2724,0.6011,2.9879,1.1617,1.2955,1.2498,6.3624,12.4647,4.1032,4.2076,4.1539,10.3231,2.0585,2.0601,2.0699,2.0618,2.0729,1.5696,1.3384,0.0801,0.0233,0.0166,0.0073,0.0235,1.4175,1.5591,1.6003,0.0694,0.0172,0.0154,0.0051,0.0251,21.8
EFODOT,97.44,201.61,2.17,8.17,10.38,31.2,22,15.6,691.6,-4.2887,-1.3536,1.93,1.92,1.92,-0.102,0.0513,0.0255,0.1192,1.8382,3.0399,1.9962,2.0421,28.9944,7.2041,8.5438,8.4607,0.742,0.5053,0.4163,2.9907,1.2574,1.2751,1.1766,6.3711,12.4833,4.1355,4.2049,4.143,10.2473,2.0369,2.027,2.0518,2.0511,2.0805,1.5105,1.5338,0.0744,0.0177,0.0113,0.0162,0.0113,1.4129,1.4485,1.5892,0.0809,0.0221,0.0151,0.0122,0.0177,18.6
EFOFUD,62.93,156.13,1.93,9.66,10.27,25.6,15.8,9.5,593.55,-4.8616,-1.406,2.13,2.06,1.86,-0.0071,0.0341,0.063,0.0644,1.6828,3.1212,1.9746,1.9847,29.0453,7.1866,8.5024,8.5049,0.8345,0.3342,0.4319,2.9864,1.2621,1.2111,1.2512,6.4345,12.3508,4.1066,4.1312,4.1129,10.2215,2.0088,2.0554,2.0469,2.051,2.0595,1.5385,1.4817,0.0672,0.0048,0.019,0.015,0.0083,1.4785,1.4467,1.5665,0.0686,0.0119,0.0099,0.0224,0.0089,20.4
EFUKAT,92.13,195.29,2.13,10.58,9.4,32.7,27.1,21.7,890.93,-4.5441,-1.4225,1.94,1.94,1.91,-0.0814,0.0476,0.1515,0.0707,1.8266,3.0602,2.0609,1.9792,29.0097,7.2036,8.4217,8.5608,0.7721,0.3961,0.4921,2.9904,1.1624,1.2734,1.2777,6.3795,12.4616,4.1324,4.154,4.1752,10.24,2.0264,2.0528,2.0524,2.0474,2.061,1.5083,1.5028,0.0821,0.0165,0.0101,0.0235,0.0097,1.4494,1.4724,1.5868,0.0762,0.0195,0.0124,0.0151,0.0122,19.1
EFUQIH,84.09,182.34,1.52,7.39,6.38,31.2,21.5,12.9,471.13,-5.6007,-2.3178,2.01,2.01,1.89,0.0473,0.0734,0.1774,0.1844,1.5816,3.1255,2.1009,2.1304,28.7502,7.2441,8.3604,8.3646,0.6898,0.2796,0.3568,2.993,1.2913,1.2095,1.1815,6.3339,12.4065,4.1784,4.1293,4.0988,10.212,2.0631,2.0448,2.041,2.0282,2.0348,1.4425,1.5167,0.0786,0.0099,0.0138,0.0217,0.0099,1.4005,1.493,1.5083,0.0762,0.0109,0.0111,0.0242,0.0095,17.7
EFUZUD,62.54,155.49,1.86,5.53,9.39,23.9,14.1,9.4,519.22,-4.9213,-1.1118,2.17,2.03,1.86,-0.0051,0.034,0.0484,0.0584,1.6369,3.1157,1.9584,1.9925,29.0416,7.1845,8.5061,8.4997,0.8279,0.2831,0.456,2.9862,1.2664,1.2438,1.2147,6.4377,12.3516,4.1161,4.1433,4.0922,10.2155,2.0094,2.04,2.0317,2.0613,2.0732,1.5996,1.4528,0.0666,0.0089,0.0211,0.0127,0.0106,1.5238,1.4369,1.5414,0.0693,0.014,0.0056,0.0206,0.0097,17.7
EGAREM,79.66,231.5,1.79,9.53,8.47,37.2,27.7,17.1,628.83,-5.2814,-2.097,2.05,2.1,1.91,-0.0549,0.0457,0.1541,0.1367,1.7698,3.0458,2.0946,3.1232,29.0022,7.2493,8.4274,7.0475,0.776,0.3566,0.4549,2.9907,1.2549,1.2019,1.2621,6.383,12.4133,4.1273,4.1902,4.0958,10.2584,2.0181,2.0733,2.0429,2.063,2.0611,1.4776,1.5135,0.0765,0.0172,0.0068,0.0197,0.0101,1.1039,1.3816,1.0562,0.2945,0.0351,0.063,0.0572,0.0511,26.6
EGEZUO,90.38,188.84,3.7,8.71,9.27,34.3,26,18.7,653.59,-4.6983,-0.5076,2.07,1.95,1.9,-0.0863,0.0525,0.1767,-0.024,1.6837,3.0559,2.093,1.9314,28.9924,7.2384,8.3597,8.5561,0.7221,0.254,0.5891,2.9894,1.2303,1.2292,1.2491,6.4063,12.4327,4.2091,4.133,4.0906,10.2471,2.045,2.0488,2.0362,2.0636,2.0536,1.5486,1.5143,0.0754,0.0099,0.0127,0.0243,0.0109,1.4527,1.5726,1.562,0.07,0.0144,0.0217,0.0082,0.0159,13.5
EGIHIO,62.19,215.61,1.94,9.68,6.95,40.9,35.2,22.1,607.58,-4.8465,-0.4838,2,2.23,1.88,-0.0436,0.0445,0.1517,0.0212,1.7858,3.072,2.9057,1.9637,29.1285,7.1829,7.2922,8.5004,0.8083,0.5355,0.2875,2.9848,1.2565,1.2748,1.1867,6.428,12.3783,4.1261,4.1438,4.1085,10.237,2.0336,2.0162,2.0456,2.0636,2.078,1.2386,1.1811,0.2305,0.0321,0.043,0.063,0.0291,1.4603,1.5958,1.4645,0.0664,0.0076,0.0214,0.0122,0.0105,24.1
EGINEQ,93.68,208.21,1.52,7.86,8.52,32.2,23.9,16.7,610.87,-4.4232,-2.549,1.9,1.92,1.91,-0.0703,0.0455,0.1516,0.0466,1.9285,3.0582,2.058,2.0199,28.9699,7.2109,8.434,8.5172,0.7618,0.433,0.5088,2.9922,1.2567,1.2796,1.1779,6.3731,12.4818,4.1311,4.2066,4.1442,10.215,2.0358,2.0211,2.0406,2.0349,2.0826,1.4509,1.5497,0.0828,0.0237,0.0135,0.0112,0.0205,1.4886,1.522,1.5147,0.0759,0.0208,0.013,0.0129,0.0138,27.1
EGOTUR,95.85,198.58,1.99,6.79,11.02,30.4,19.9,13.5,674.8,-4.2928,-1.0818,1.93,1.96,1.93,-0.1074,0.0512,0.1129,0.0395,1.747,3.0392,2.0757,1.9961,28.984,7.2074,8.4633,8.53,0.7393,0.4217,0.4443,2.9915,1.1705,1.2837,1.255,6.3762,12.4756,4.1369,4.1709,4.1677,10.2554,2.0154,2.0441,2.0754,2.052,2.0686,1.4906,1.5627,0.079,0.02,0.0154,0.0152,0.0135,1.4502,1.4972,1.5826,0.0745,0.0203,0.0131,0.0129,0.0136,20.5
EGUGAQ,85.09,186.62,2.56,5.97,9.46,31.9,26,17.8,583.32,-4.2907,-1.5671,1.94,1.98,1.9,-0.1278,0.0442,-0.0674,0.1414,1.8282,3.069,1.7826,2.0804,29.0942,7.1821,8.6736,8.4292,0.7833,0.5829,0.346,2.99,1.2622,1.2426,1.2097,6.4148,12.4659,4.1398,4.1805,4.1455,10.2468,2.0252,2.0201,2.0439,2.0746,2.0831,1.4225,1.6269,0.069,0.0188,0.0075,0.0135,0.0106,1.4112,1.5226,1.4872,0.0785,0.0175,0.021,0.0092,0.0185,21
EGUQAB,93.29,194.32,2.11,9.46,10.1,30.1,19.3,12.1,691.17,-4.5646,-0.9746,2,1.94,1.92,-0.0887,0.0481,0.1344,0.0421,1.728,3.0536,2.0909,2.0112,28.9831,7.2066,8.3917,8.5325,0.7621,0.3103,0.5004,2.9905,1.2484,1.2497,1.2151,6.3879,12.4502,4.1168,4.1948,4.1386,10.2503,2.0089,2.0404,2.0659,2.0566,2.0785,1.5579,1.4103,0.0763,0.024,0.015,0.0085,0.0185,1.4597,1.5307,1.5429,0.0748,0.0175,0.0155,0.0134,0.0144,21.5
EHALUU,99.84,209.09,4,7.97,7.52,41,34.5,26.3,721.35,-4.8748,-2.8101,1.9,1.83,1.9,-0.0015,0.0487,0.1422,-0.0466,2.4502,3.093,1.9973,1.8992,29.0228,7.1317,8.4701,8.6183,0.8163,0.4711,0.7406,2.991,1.2145,1.2185,1.2826,6.3773,12.4959,4.1203,4.1627,4.2129,10.1278,2.0612,2.0193,1.9659,2.0566,2.0249,1.3774,1.5633,0.0857,0.0196,0.006,0.0249,0.0111,1.4913,1.5046,1.597,0.0712,0.0178,0.0148,0.0102,0.0148,26
EHAVUH,94.79,196.31,2.92,8.99,9.99,39,32.6,23.7,776.58,-4.3448,-0.0115,2.09,1.89,1.92,-0.1463,0.0474,0.1627,-0.0935,1.8616,3.0804,2.0436,1.8136,29.1298,7.1652,8.3826,8.6278,0.7708,0.2003,0.7147,2.9926,1.2649,1.2968,1.1529,6.444,12.437,4.1739,4.1762,4.0869,10.2649,2.014,2.0626,2.0774,2.0843,2.0267,1.4474,1.4895,0.077,0.0102,0.0161,0.0237,0.0095,1.6101,1.4696,1.5659,0.067,0.0138,0.0091,0.02,0.0088,24.7
EHIQOC,77.03,183.7,2.9,5.88,9.86,30.1,21.5,13.9,592.76,-5.6255,-1.4613,2.59,1.92,1.87,0.0336,0.0344,0.133,0.0884,1.7134,3.119,2.1393,3.1455,29.0887,7.1926,8.3668,7.1758,0.84,0,0.6614,2.9879,1.2836,1.307,1.1396,6.4594,12.3653,4.0824,4.2128,4.0701,10.1414,2.0231,2.0486,2.0209,2.0333,2.0155,1.4714,1.4848,0.0694,0.0131,0.005,0.0232,0.0088,1.1557,1.2823,1.1629,0.2712,0.0474,0.0514,0.0505,0.0514,33.8
EHIYAV,88.88,186.35,2.59,5.33,7.04,38.8,29.9,17.4,516.11,-3.7249,0.9403,2.07,1.98,1.89,-0.1917,0.0473,-0.1115,-0.1682,1.8263,3.0651,1.6572,1.7561,29.0993,7.1702,8.7589,8.7071,0.767,0.3509,0.5596,2.9865,1.2891,1.2612,1.157,6.4123,12.4718,4.1628,4.1743,4.1347,10.3073,2.0414,2.0417,2.0754,2.0761,2.0727,1.5853,1.6338,0.0656,0.0147,0.0181,0.0071,0.0173,1.6383,1.4213,1.6316,0.0666,0.0163,0.0058,0.0153,0.0091,38.4
EHIZIG,93.62,209.88,3.13,9.37,12.02,40.1,34.1,23.8,847.85,-4.1999,-0.1394,2.08,1.94,1.92,-0.1452,0.0507,0.1229,-0.1735,1.7642,3.0553,1.9413,1.7853,29.0447,7.2078,8.5,8.6573,0.7527,0.2394,0.6094,2.9896,1.1478,1.2793,1.283,6.4127,12.4408,4.0779,4.1467,4.2162,10.2915,2.054,2.0606,2.0698,2.0197,2.0874,1.4312,1.4835,0.0763,0.015,0.008,0.0252,0.0096,1.4833,1.6545,1.5681,0.0687,0.0122,0.0201,0.0068,0.0216,20.5
EHOREA,47.58,161.01,3.06,6.23,13.33,27,18.1,10.9,748.93,-5.5538,-0.3102,3.06,1.91,1.88,0.0493,0.0304,0.008,0.1131,1.6721,3.1072,2.0443,3.1384,29.201,7.1395,8.4724,7.1955,0.8192,0,0.7333,2.9902,1.2601,1.251,1.222,6.5061,12.3265,4.1199,4.1463,4.0604,10.1178,1.9815,2.0317,2.0314,2.0429,2.0304,1.5985,1.458,0.0658,0.0054,0.0215,0.013,0.0098,1.2589,1.2366,1.1872,0.2188,0.0332,0.0397,0.0589,0.0305,27.4
EHUKAU,80.16,243.51,2.38,8.69,8.64,36.4,29,21,677,-5.5867,-2.17,2.05,2.06,1.9,-0.0375,0.0539,0.1177,0.1248,1.8084,3.149,1.9914,3.1588,29.0322,7.1978,8.5282,7.0442,0.805,0.3327,0.5009,2.9873,1.2478,1.2041,1.2575,6.3866,12.4269,4.126,4.2135,4.0874,10.2238,2.0102,2.0636,2.0304,2.0748,2.0447,1.4524,1.5241,0.0767,0.0182,0.0062,0.0193,0.0106,1.0947,1.3725,1.0842,0.2939,0.041,0.0603,0.0553,0.0628,31.4
EHUPAZ,94.4,196.86,1.52,6.26,7.99,31.4,22.4,14.2,522.54,-4.3807,-1.1708,1.94,1.96,1.93,-0.1012,0.0499,0.1175,0.0548,1.7416,3.0488,2.0821,1.9571,28.9804,7.2104,8.4533,8.5494,0.7453,0.4139,0.434,2.9915,1.1748,1.2809,1.2551,6.3783,12.4684,4.1425,4.1575,4.1684,10.2542,2.0146,2.054,2.0703,2.0523,2.063,1.49,1.5661,0.0787,0.0188,0.0139,0.0179,0.0114,1.4514,1.4838,1.5816,0.0753,0.0191,0.012,0.0152,0.0122,29
EHUSOS,91.03,206.05,1.52,8.42,6.88,45.6,35.5,22.5,595.89,-4.4832,-2.2528,1.91,1.97,1.9,-0.101,0.0478,-0.0918,0.1799,2.2134,3.0807,1.8806,2.107,29.0147,7.17,8.5676,8.3601,0.775,0.6504,0.3511,2.9906,1.2799,1.2444,1.191,6.3818,12.469,4.1219,4.1612,4.1859,10.2498,2.0548,2.0477,1.9945,2.0751,2.0778,1.5104,1.6079,0.0708,0.0207,0.011,0.0114,0.0129,1.4884,1.3157,1.5826,0.0844,0.0176,0.0217,0.011,0.0245,28.3
EINACN10,79.55,191.73,1.67,11.12,8.17,31.1,20,10.7,568.43,-5.5581,-1.9521,2.08,2,1.88,-0.02,0.0531,0.0903,0.135,1.7748,3.1582,3.2045,2.085,29.0148,7.1646,6.9293,8.4354,0.7999,0.3808,0.436,2.9861,1.2875,1.1512,1.2694,6.3952,12.4326,4.1306,4.1872,4.1148,10.1919,2.015,2.0295,2.0295,2.0466,2.0713,1.3212,1.0571,0.3671,0.0642,0.0651,0.0812,0.0771,1.4826,1.4574,1.5063,0.0764,0.0197,0.0066,0.016,0.0111,38.4
EJATIT,96.25,198.95,1.62,5.6,7.98,30.5,19.9,12.5,530.78,-4.3133,-1.1367,1.94,1.96,1.93,-0.1056,0.0513,0.1109,0.0444,1.7477,3.0383,2.073,2.0037,28.9799,7.2082,8.4619,8.5257,0.7387,0.4099,0.4506,2.9914,1.2576,1.2755,1.1763,6.3752,12.4748,4.1326,4.2041,4.1381,10.2552,2.0299,2.0337,2.0587,2.058,2.075,1.5279,1.5025,0.0785,0.0204,0.0145,0.0138,0.0145,1.4754,1.5218,1.528,0.0748,0.0198,0.0125,0.014,0.013,19.4
EJAVUH,62.47,155.56,2.91,9.06,8.78,27.1,22.2,17.3,645.92,-4.8023,-0.1635,2.09,2.1,1.87,-0.0244,0.0369,0.0536,0.0616,1.6595,3.1133,1.9606,1.9606,29.0755,7.1694,8.5107,8.512,0.8305,0.3866,0.3733,2.9853,1.1756,1.2926,1.2537,6.4398,12.3575,4.1146,4.1518,4.0911,10.2269,2.0111,2.0457,2.0428,2.0516,2.0757,1.4436,1.5436,0.0684,0.0134,0.0056,0.0206,0.0093,1.4499,1.5857,1.4615,0.0682,0.009,0.0215,0.0136,0.0099,18.1
EJEBIG,79.41,240.38,3.35,9.83,6.35,53.3,44.1,27.5,730.26,-4.3177,-1.4733,2.02,2.09,1.93,-0.1789,0.0652,0.157,0.2259,2.1443,3.0776,2.8872,3.2041,29.1338,7.1363,7.3834,7.1224,0.7515,0.5112,0.4311,2.9893,1.2966,1.1315,1.2702,6.3407,12.515,4.2067,4.1608,4.1475,10.3229,2.0713,2.0428,2.0568,2.0757,2.0762,1.1143,1.2314,0.2184,0.0537,0.0282,0.0517,0.0393,1.2296,1.1869,1.1173,0.2495,0.0601,0.0516,0.0364,0.0639,31
EJEGIJ,80.35,186.42,1.64,6.47,5.82,36.3,25.3,13,496.16,-5.5702,-2.783,1.98,2.1,1.96,-0.0222,0.0968,0.0985,0.1032,2.3291,2.9692,3.093,3.0231,28.9573,7.2419,7.0144,7.0389,0.5862,0.4894,0.3968,2.9951,1.2383,1.2487,1.1783,6.3132,12.4482,4.1753,4.1469,4.1261,10.2604,2.0717,2.0628,2.0319,2.068,2.026,1.2817,1.0066,0.316,0.0407,0.0655,0.1032,0.036,1.1502,0.9989,1.3003,0.3025,0.0625,0.0371,0.1026,0.0356,3
EJENOW,85.03,186,1.97,9.01,9.36,31.2,23.7,17.2,656.43,-4.299,-1.4344,1.95,1.99,1.9,-0.1283,0.0429,-0.1117,0.1453,1.8177,3.0621,1.7878,2.0939,29.0717,7.1937,8.6506,8.4044,0.7694,0.5788,0.3364,2.9902,1.2706,1.2453,1.1994,6.4157,12.4633,4.1443,4.1706,4.1485,10.249,2.0232,2.027,2.049,2.0705,2.0794,1.4572,1.6433,0.0687,0.0199,0.0088,0.013,0.011,1.4253,1.4732,1.5197,0.0784,0.0181,0.022,0.0076,0.02,13.9
EJEVIY,62.54,155.51,2.04,5.26,9.37,25.5,18,12.2,529.16,-4.7983,0.6805,2.1,2.09,1.87,-0.0217,0.0357,0.0422,0.0511,1.6602,3.113,1.9566,1.9606,29.059,7.1756,8.5124,8.5081,0.8278,0.364,0.3908,2.9858,1.1542,1.2932,1.2754,6.4399,12.3566,4.0907,4.1472,4.1186,10.225,2.0169,2.049,2.0423,2.0351,2.0817,1.4438,1.5758,0.0677,0.0123,0.0076,0.0222,0.0084,1.4682,1.5676,1.4699,0.0684,0.0049,0.0181,0.0164,0.0084,17.8
EJEXAT,81.95,210.62,1.95,5.6,6.36,38.1,28.8,15.2,499.62,-5.0163,-1.3334,1.97,2.05,1.9,-0.0948,0.0411,0.1347,0.2325,2.0985,3.1058,3.1024,3.2373,29.251,7.1387,7.1484,7.1029,0.7901,0.6179,0.4522,2.9894,1.2997,1.1573,1.2626,6.3935,12.5001,4.1875,4.1764,4.1362,10.201,2.0551,2.0096,2.032,2.0433,2.0611,1.13,1.2274,0.229,0.0574,0.0329,0.0502,0.0385,1.1992,1.2368,1.0995,0.2518,0.0509,0.0514,0.047,0.051,28.9
EJIBEE,93.17,196.67,2.2,7.04,9.66,32.1,24.1,17,655.66,-4.371,-1.528,1.94,1.93,1.92,-0.0969,0.0484,0.0521,0.116,1.7834,3.0581,1.9579,2.0386,28.9791,7.2097,8.5616,8.4783,0.754,0.4714,0.4039,2.9911,1.2767,1.2866,1.1485,6.3785,12.4737,4.1381,4.2013,4.1344,10.2444,2.0296,2.034,2.0521,2.0495,2.0792,1.5114,1.5281,0.0759,0.02,0.0122,0.0147,0.0131,1.4234,1.4735,1.5629,0.0796,0.0227,0.0144,0.0104,0.0194,28.5
EJUTOV,78.68,172.88,1.66,6.88,9.11,28.9,17.4,9.6,491.8,-5.3435,-1.2939,1.98,2.23,1.89,-0.0176,0.045,0.1413,-0.0647,1.5677,3.0919,2.1274,2.915,28.9247,7.2326,8.4347,7.4118,0.767,0.4627,0.2385,2.9872,1.1848,1.3105,1.222,6.4113,12.4061,4.0812,4.1736,4.1513,10.1999,2.0344,2.0335,2.0366,2.0235,2.0719,1.5502,1.4682,0.0773,0.0143,0.0239,0.0104,0.0166,1.3365,1.1199,1.3516,0.1916,0.0487,0.0303,0.0268,0.0328,13.8
EKARIT,89.58,187.21,2.19,6.35,9.51,33.1,24,14.8,550.83,-5.3024,-1.5233,1.89,2.18,1.91,-0.0316,0.0639,0.1872,0.151,1.7985,3.0223,2.123,2.0867,28.8909,7.2483,8.359,8.411,0.7179,0.4744,0.2323,2.988,1.1559,1.2799,1.2635,6.345,12.4216,4.1078,4.175,4.1388,10.2646,2.0514,2.0509,2.0669,2.0306,2.0649,1.3161,1.6201,0.0861,0.0182,0.0232,0.0061,0.0304,1.4313,1.4988,1.4881,0.0732,0.0205,0.016,0.009,0.0169,14.7
