Ligand,Old Indexes,New Indexes,Deprotonation Type
RAQDUI,"[11, 16]","[11, 16]",Single Deprotonation
VETNIR,"[28, 29]","[28, 29]",Double Deprotonation
ZIYFEV,"[1, 2]","[1, 2]",Single Deprotonation
SRQUAL,"[0, 1]","[0, 1]",No Deprotonation
QAYZAU,"[2, 4]","[2, 3]",Double Deprotonation
WASCIC,"[3, 5]","[3, 5]",Double Deprotonation
SENKIR10,"[50, 51]","[49, 50]",Single Deprotonation
AGOKOX,"[24, 26]","[24, 25]",Double Deprotonation
LIYQOC,"[1, 3]","[1, 3]",No Deprotonation
JARCUD,"[2, 4]","[2, 4]",No Deprotonation
GAQHOX,"[2, 3]","[2, 3]",Single Deprotonation
EGAHIF01,"[18, 20]","[17, 19]",Single Deprotonation
UJOCAY,"[26, 28]","[26, 27]",Double Deprotonation
ABUWEC,"[2, 3]","[2, 3]",Single Deprotonation
JOWTOG,"[31, 32]","[31, 32]",No Deprotonation
GUBXEJ,"[1, 9]","[1, 8]",Single Deprotonation
FOXYEY,"[3, 4]","[3, 4]",Single Deprotonation
GIYJEE,"[35, 39]","[35, 38]",Single Deprotonation
TOSHOY,"[1, 2]","[1, 2]",Single Deprotonation
DUKMEE,"[0, 4]","[0, 4]",No Deprotonation
NAAMPH10,"[9, 10]","[9, 10]",No Deprotonation
NIDREA,"[48, 50]","[48, 49]",Single Deprotonation
MOGKUQ,"[0, 1]","[0, 1]",Single Deprotonation
NOXXIH01,"[0, 1]","[0, 1]",Single Deprotonation
ESERUP,"[1, 2]","[1, 2]",No Deprotonation
HONBAP,"[36, 37]","[36, 37]",No Deprotonation
PEVXOD,"[11, 14]","[11, 14]",Single Deprotonation
BAWMER,"[11, 16]","[11, 16]",Single Deprotonation
DHSNTC,"[16, 17]","[16, 17]",Single Deprotonation
MULMEM,"[2, 3]","[2, 3]",Single Deprotonation
PAZGEF,"[1, 3]","[1, 3]",Single Deprotonation
VORPAU,"[0, 3]","[0, 3]",No Deprotonation
MALPAR,"[0, 22]","[0, 22]",Single Deprotonation
IJIMUL,"[6, 7]","[6, 7]",Single Deprotonation
GUMHAA,"[0, 1]","[0, 1]",Single Deprotonation
MOFHEV,"[0, 7]","[0, 7]",No Deprotonation
WADQEZ,"[2, 6]","[2, 6]",Single Deprotonation
DAPPHZ,"[0, 3]","[0, 3]",No Deprotonation
YADSII,"[2, 3]","[2, 3]",Double Deprotonation
JELTAY,"[5, 9]","[5, 8]",Single Deprotonation
EHASUC,"[54, 55]","[54, 55]",Single Deprotonation
HOBHEN,"[4, 6]","[4, 5]",Double Deprotonation
FOHRAY,"[17, 18]","[17, 18]",Single Deprotonation
MUBFOF,"[0, 1]","[0, 1]",Single Deprotonation
KDECEO,"[25, 26]","[24, 25]",Single Deprotonation
MOSHEI,"[0, 2]","[0, 1]",Double Deprotonation
KEFXOL,"[1, 3]","[1, 3]",No Deprotonation
XIHSEM,"[1, 2]","[1, 2]",No Deprotonation
ODERIB,"[30, 32]","[30, 31]",Single Deprotonation
PANFIW,"[0, 1]","[0, 1]",Single Deprotonation
XUHDIQ,"[1, 3]","[1, 3]",No Deprotonation
SOVQAV,"[13, 14]","[13, 14]",Single Deprotonation
DOQSUX01,"[0, 1]","[0, 1]",Single Deprotonation
XIVCUC,"[7, 10]","[7, 10]",No Deprotonation
GAFVIS,"[16, 17]","[16, 17]",Double Deprotonation
GAQXED,"[2, 3]","[2, 3]",Single Deprotonation
JEDLEK,"[2, 3]","[2, 3]",Single Deprotonation
ROPZAZ,"[3, 4]","[3, 4]",Single Deprotonation
NACWAP,"[0, 8]","[0, 8]",Single Deprotonation
JOQTUE,"[3, 4]","[3, 4]",Single Deprotonation
LANWUU,"[2, 5]","[2, 5]",No Deprotonation
BIGSAL,"[37, 42]","[37, 41]",Single Deprotonation
DUCZOR,"[2, 5]","[2, 5]",No Deprotonation
ABOQOA,"[3, 5]","[3, 5]",Single Deprotonation
NIKLIE,"[0, 1]","[0, 1]",No Deprotonation
QEJKAR,"[0, 1]","[0, 1]",Double Deprotonation
KALKEO,"[2, 6]","[2, 5]",Double Deprotonation
IJOPII,"[0, 1]","[0, 1]",Single Deprotonation
NOPPOY,"[3, 13]","[3, 13]",No Deprotonation
CURHUV,"[43, 45]","[43, 44]",Single Deprotonation
JUKPIQ,"[4, 7]","[4, 7]",No Deprotonation
THALID03,"[11, 13]","[11, 13]",Single Deprotonation
HEWJUP,"[2, 6]","[2, 6]",No Deprotonation
UJIRIO,"[0, 15]","[0, 14]",Single Deprotonation
HISSEK,"[0, 2]","[0, 2]",No Deprotonation
HEMWAX,"[3, 4]","[3, 4]",Single Deprotonation
BACCER,"[1, 2]","[1, 2]",Single Deprotonation
YEJKED,"[12, 15]","[12, 15]",Single Deprotonation
NETBEU,"[1, 2]","[1, 2]",Single Deprotonation
SAPCAO,"[0, 1]","[0, 1]",Single Deprotonation
KIMCIV,"[29, 34]","[29, 34]",No Deprotonation
MOCKEW,"[15, 36]","[15, 36]",No Deprotonation
NOLFOM,"[0, 2]","[0, 1]",Double Deprotonation
TEPQOX,"[6, 7]","[6, 7]",Single Deprotonation
FEMMIU,"[12, 13]","[12, 13]",Single Deprotonation
IKUFUP,"[1, 3]","[1, 2]",Single Deprotonation
PICYEH,"[36, 39]","[36, 39]",No Deprotonation
SILRIP,"[0, 2]","[0, 1]",Single Deprotonation
HUHNUT,"[1, 21]","[1, 20]",Single Deprotonation
DERRAW,"[1, 4]","[1, 3]",Single Deprotonation
OYEVEV,"[3, 4]","[3, 4]",Single Deprotonation
IDAYOC,"[0, 1]","[0, 1]",Single Deprotonation
NIJSIJ,"[4, 7]","[4, 7]",Single Deprotonation
ROGFEZ01,"[0, 5]","[0, 5]",No Deprotonation
UXAZEZ,"[1, 5]","[1, 5]",No Deprotonation
ZIZROP,"[0, 4]","[0, 4]",Double Deprotonation
FOZLEM,"[1, 7]","[1, 7]",Single Deprotonation
HIJYAB,"[5, 6]","[5, 6]",No Deprotonation
ACUWED,"[3, 4]","[3, 4]",Single Deprotonation
ISAYEH,"[22, 23]","[22, 23]",No Deprotonation
YELJII,"[1, 4]","[1, 4]",Single Deprotonation
APESIZ,"[19, 24]","[19, 24]",Single Deprotonation
AYAGIR,"[1, 6]","[1, 6]",No Deprotonation
PEKTAC,"[5, 10]","[5, 10]",Single Deprotonation
IJEBOR,"[31, 36]","[31, 36]",No Deprotonation
IVEBIV,"[7, 11]","[7, 10]",Single Deprotonation
XIYYAH,"[12, 13]","[12, 13]",Single Deprotonation
BEYCUE,"[0, 1]","[0, 1]",Single Deprotonation
HODXAA,"[1, 3]","[1, 3]",No Deprotonation
YAGCIU,"[0, 4]","[0, 3]",Double Deprotonation
WEHKAW,"[11, 17]","[11, 17]",No Deprotonation
LADSAO,"[20, 21]","[20, 21]",No Deprotonation
FAVPAT,"[0, 1]","[0, 1]",No Deprotonation
ZUXJEK,"[3, 4]","[3, 4]",No Deprotonation
GIPRAA,"[3, 5]","[3, 4]",Double Deprotonation
POBWUB,"[11, 12]","[11, 12]",Double Deprotonation
XAGXEK,"[1, 3]","[1, 2]",Single Deprotonation
NODMOK,"[5, 32]","[5, 32]",Single Deprotonation
JULXEV,"[3, 4]","[3, 4]",Single Deprotonation
SIYCAF,"[26, 28]","[26, 27]",Single Deprotonation
TIJYEQ,"[34, 35]","[34, 35]",Single Deprotonation
KATDIT,"[0, 2]","[0, 2]",Single Deprotonation
FOMPON,"[26, 27]","[26, 27]",Single Deprotonation
CEBJEY,"[2, 3]","[2, 3]",Single Deprotonation
ZUCLER,"[2, 3]","[2, 3]",No Deprotonation
JOKGAR,"[0, 2]","[0, 2]",Single Deprotonation
LIHHIU,"[48, 50]","[48, 49]",Single Deprotonation
CETQUO,"[7, 8]","[7, 8]",No Deprotonation
LALQIY,"[1, 2]","[1, 2]",Single Deprotonation
TIDZIP,"[65, 67]","[65, 66]",Single Deprotonation
DIWQAB,"[26, 31]","[26, 31]",Single Deprotonation
XUHMOD,"[0, 4]","[0, 4]",No Deprotonation
HUPDAY,"[2, 3]","[2, 3]",Single Deprotonation
GIJFAI,"[7, 10]","[7, 10]",Single Deprotonation
VENJIH,"[0, 1]","[0, 1]",No Deprotonation
BANNOV,"[79, 80]","[79, 80]",No Deprotonation
BUFFOY,"[44, 45]","[44, 45]",No Deprotonation
POKDAX,"[2, 4]","[2, 3]",Double Deprotonation
NOFCOD,"[20, 21]","[20, 21]",No Deprotonation
ETPREG01,"[24, 25]","[24, 25]",Double Deprotonation
AGEYER,"[0, 23]","[0, 23]",Double Deprotonation
MOCNOH,"[0, 1]","[0, 1]",Double Deprotonation
VOCZAR,"[13, 14]","[13, 14]",Single Deprotonation
LEGPIY,"[0, 2]","[0, 2]",Single Deprotonation
IDURAC,"[5, 9]","[5, 9]",No Deprotonation
GANGIO,"[0, 2]","[0, 1]",Single Deprotonation
FUBHEQ,"[3, 5]","[3, 4]",Double Deprotonation
ZIYKUQ,"[63, 65]","[63, 64]",Double Deprotonation
HIKXII,"[0, 3]","[0, 3]",Single Deprotonation
CELRET,"[0, 1]","[0, 1]",Single Deprotonation
VEXHIQ,"[3, 5]","[3, 4]",Double Deprotonation
SIFCAM,"[0, 12]","[0, 12]",No Deprotonation
SISZAY,"[50, 51]","[50, 51]",Single Deprotonation
FIGYAV10,"[6, 7]","[6, 7]",Double Deprotonation
FERYEH,"[4, 5]","[4, 5]",Single Deprotonation
PEPDIA,"[0, 4]","[0, 4]",No Deprotonation
SABPUI,"[2, 3]","[2, 3]",Single Deprotonation
XOHKUA,"[3, 4]","[3, 4]",Single Deprotonation
KNQXSO,"[10, 12]","[10, 12]",No Deprotonation
EJOZIP,"[0, 4]","[0, 3]",Single Deprotonation
NOPWOH,"[9, 21]","[9, 21]",No Deprotonation
HUQJEK,"[50, 51]","[50, 51]",Single Deprotonation
BZETBH,"[50, 52]","[49, 51]",Single Deprotonation
LABDOK,"[1, 6]","[1, 6]",No Deprotonation
KEFZAX,"[1, 2]","[1, 2]",Single Deprotonation
SABSAR,"[21, 24]","[21, 23]",Single Deprotonation
PAZGAB,"[2, 3]","[2, 3]",Single Deprotonation
GUOPNA10,"[0, 2]","[0, 2]",Single Deprotonation
KASXOS,"[16, 33]","[16, 33]",No Deprotonation
WUCTAP,"[5, 7]","[5, 6]",Single Deprotonation
MERPYC,"[7, 8]","[7, 8]",Single Deprotonation
VICCAL,"[1, 2]","[1, 2]",Single Deprotonation
CIDTIU,"[8, 11]","[8, 10]",Single Deprotonation
SAFLOD,"[9, 15]","[9, 15]",No Deprotonation
YIFJAZ,"[2, 3]","[2, 3]",No Deprotonation
LIBNUH,"[0, 3]","[0, 3]",Double Deprotonation
GUGFEW,"[0, 2]","[0, 1]",Double Deprotonation
COVWES,"[10, 11]","[10, 11]",No Deprotonation
EMOLEZ,"[5, 6]","[5, 6]",No Deprotonation
ZEJDOK,"[13, 28]","[13, 28]",No Deprotonation
UWOCUG,"[4, 6]","[4, 5]",Double Deprotonation
UNULIZ,"[31, 33]","[31, 32]",Single Deprotonation
AFIQEN,"[9, 12]","[9, 12]",No Deprotonation
KUNCUS,"[0, 13]","[0, 13]",No Deprotonation
SODQUZ,"[20, 21]","[20, 21]",Single Deprotonation
REXQES,"[23, 24]","[23, 24]",Single Deprotonation
IPIKAV,"[2, 3]","[2, 3]",No Deprotonation
VEHDEU,"[34, 36]","[34, 35]",Double Deprotonation
VATLIM,"[0, 1]","[0, 1]",No Deprotonation
GEFXOG,"[10, 11]","[10, 11]",Single Deprotonation
NILQUW,"[0, 2]","[0, 1]",Single Deprotonation
FOYTOC,"[10, 11]","[10, 11]",Single Deprotonation
XEVVEB,"[1, 2]","[1, 2]",Single Deprotonation
TILZUL,"[0, 12]","[0, 11]",Double Deprotonation
NELKEV,"[1, 2]","[1, 2]",Single Deprotonation
TEBJIW,"[2, 15]","[2, 15]",No Deprotonation
TOYFEU,"[14, 46]","[14, 46]",No Deprotonation
WANMUT01,"[9, 10]","[9, 10]",Single Deprotonation
VUXRUB,"[22, 27]","[22, 27]",Single Deprotonation
EHUKAU,"[2, 9]","[2, 9]",No Deprotonation
GARZUX,"[0, 1]","[0, 1]",No Deprotonation
ZARPAM,"[3, 5]","[3, 5]",No Deprotonation
DEDZAQ,"[5, 7]","[5, 7]",Single Deprotonation
VALPII,"[5, 6]","[5, 6]",Double Deprotonation
QUINTG,"[37, 38]","[36, 37]",Single Deprotonation
RACVEY,"[3, 4]","[3, 4]",Single Deprotonation
PEPLUS,"[0, 1]","[0, 1]",Single Deprotonation
QINXOD,"[2, 6]","[2, 6]",Single Deprotonation
EQIHES,"[3, 4]","[3, 4]",Single Deprotonation
DUDZIL06,"[0, 4]","[0, 4]",No Deprotonation
YURKUS,"[1, 2]","[1, 2]",No Deprotonation
NOLZEW,"[40, 45]","[40, 45]",No Deprotonation
COLDAJ,"[0, 2]","[0, 2]",Single Deprotonation
OCEBIJ,"[1, 2]","[1, 2]",No Deprotonation
BABZAH,"[0, 1]","[0, 1]",Double Deprotonation
GUXLOB,"[0, 1]","[0, 1]",Double Deprotonation
OJUWOI,"[4, 8]","[4, 7]",Single Deprotonation
HUMQAK,"[7, 9]","[7, 9]",No Deprotonation
DEJFEG,"[4, 7]","[4, 7]",No Deprotonation
UHIMOO,"[0, 39]","[0, 38]",Double Deprotonation
QISGIL,"[15, 16]","[15, 16]",No Deprotonation
NIZTUM,"[0, 1]","[0, 1]",Single Deprotonation
IZOXEB,"[44, 46]","[44, 45]",Single Deprotonation
NULMOY,"[29, 31]","[29, 30]",Single Deprotonation
NIJCUF,"[0, 2]","[0, 1]",Double Deprotonation
EZUNIX,"[2, 5]","[1, 4]",Single Deprotonation
FIKCAE,"[2, 5]","[2, 5]",No Deprotonation
JACXIY,"[1, 3]","[1, 2]",Single Deprotonation
ARAJUY,"[2, 5]","[2, 4]",Single Deprotonation
QUMNUH,"[17, 20]","[17, 20]",Double Deprotonation
WUKZIO,"[8, 9]","[8, 9]",Single Deprotonation
NIFLOE,"[2, 3]","[2, 3]",Double Deprotonation
CIPMET,"[16, 21]","[16, 21]",Single Deprotonation
KEBQUE,"[43, 50]","[43, 50]",No Deprotonation
AXAWIG,"[11, 15]","[11, 14]",Double Deprotonation
LIQHAU,"[1, 5]","[1, 5]",Double Deprotonation
NAHCUY,"[0, 3]","[0, 2]",Single Deprotonation
WIGGAV,"[0, 1]","[0, 1]",Single Deprotonation
MUDGOK,"[1, 2]","[1, 2]",Single Deprotonation
SUSZAJ,"[2, 8]","[2, 7]",Single Deprotonation
XYLTOL,"[17, 18]","[15, 16]",Double Deprotonation
VAFCUB,"[0, 2]","[0, 1]",Single Deprotonation
CIVZEM10,"[1, 4]","[1, 4]",Single Deprotonation
UDEGUH,"[0, 5]","[0, 5]",No Deprotonation
ROLNEL,"[1, 4]","[1, 4]",No Deprotonation
IVAWAF,"[25, 26]","[25, 26]",Single Deprotonation
IKIJAP,"[7, 11]","[7, 11]",Single Deprotonation
NUMKEM,"[1, 7]","[1, 6]",Single Deprotonation
IQUHEJ,"[23, 24]","[23, 24]",Single Deprotonation
OCANOV,"[17, 19]","[17, 19]",No Deprotonation
GUBHUH,"[4, 5]","[4, 5]",Double Deprotonation
SOYYIQ,"[28, 31]","[28, 30]",Single Deprotonation
ZAJTUC,"[28, 30]","[28, 30]",No Deprotonation
LEQNOL,"[1, 2]","[1, 2]",Single Deprotonation
QENGEW,"[3, 4]","[3, 4]",Double Deprotonation
YINGEK,"[2, 4]","[2, 3]",Single Deprotonation
AMDOIS,"[6, 7]","[6, 7]",No Deprotonation
LUKCIF,"[5, 6]","[5, 6]",No Deprotonation
LAWWUC,"[0, 3]","[0, 3]",Double Deprotonation
QOQVAT,"[0, 2]","[0, 2]",No Deprotonation
SOKSER,"[2, 4]","[2, 3]",Single Deprotonation
CAFUMT,"[4, 5]","[4, 5]",No Deprotonation
FECPUB,"[3, 4]","[3, 4]",Single Deprotonation
CIQXUX,"[0, 10]","[0, 10]",Single Deprotonation
MIAMTA,"[12, 13]","[12, 13]",No Deprotonation
BOCNIR,"[36, 40]","[36, 40]",No Deprotonation
QAHLIY,"[0, 2]","[0, 1]",Double Deprotonation
KAKCIL,"[26, 27]","[26, 27]",Single Deprotonation
YOVXUF,"[55, 58]","[55, 57]",Single Deprotonation
RULTAU,"[2, 3]","[2, 3]",Single Deprotonation
FOFHUG,"[1, 4]","[1, 3]",Single Deprotonation
HAGQEL,"[11, 12]","[11, 12]",Single Deprotonation
TUYBAS,"[19, 20]","[19, 20]",No Deprotonation
YEQHUX,"[3, 4]","[3, 4]",Double Deprotonation
GAKXUP,"[26, 27]","[26, 27]",Single Deprotonation
IHAHIL,"[27, 28]","[27, 28]",Single Deprotonation
HOCVEA,"[0, 1]","[0, 1]",No Deprotonation
TESMEK,"[0, 1]","[0, 1]",No Deprotonation
QENMOL,"[1, 2]","[1, 2]",Double Deprotonation
UNUNIB,"[0, 2]","[0, 1]",Single Deprotonation
FIDMEN,"[1, 3]","[1, 2]",Double Deprotonation
SAWNEL,"[1, 10]","[1, 10]",No Deprotonation
CONNID,"[0, 4]","[0, 3]",Double Deprotonation
VEYLUJ,"[2, 3]","[2, 3]",No Deprotonation
JUPCII,"[3, 4]","[3, 4]",Single Deprotonation
QIJGEV,"[1, 2]","[1, 2]",Single Deprotonation
DIXLAX,"[20, 21]","[20, 21]",Double Deprotonation
IFOTOP,"[11, 12]","[11, 12]",No Deprotonation
IFUPOP,"[3, 6]","[3, 5]",Single Deprotonation
EKOXOU,"[1, 2]","[1, 2]",Single Deprotonation
BADVUY,"[0, 2]","[0, 2]",Single Deprotonation
LORQUF,"[2, 4]","[2, 4]",Double Deprotonation
TESMAH,"[2, 5]","[2, 5]",No Deprotonation
INPOSR,"[15, 16]","[15, 16]",Double Deprotonation
PADGEK,"[28, 34]","[28, 34]",No Deprotonation
XILSUH,"[1, 2]","[1, 2]",Single Deprotonation
ARAXAS01,"[1, 7]","[1, 7]",Single Deprotonation
COWDUP,"[4, 6]","[4, 5]",Double Deprotonation
XIFNOQ01,"[13, 14]","[12, 13]",Single Deprotonation
SAZYAW,"[5, 7]","[5, 7]",No Deprotonation
KEBJIM,"[2, 5]","[2, 5]",No Deprotonation
RESROW,"[1, 3]","[1, 2]",Single Deprotonation
NAXJAZ,"[18, 20]","[17, 19]",Single Deprotonation
XESVID,"[40, 41]","[40, 41]",Single Deprotonation
FIVHUN,"[0, 3]","[0, 3]",Single Deprotonation
DUTSES,"[4, 9]","[4, 9]",No Deprotonation
GICMOU,"[2, 8]","[2, 8]",No Deprotonation
ZERZAA,"[1, 3]","[1, 2]",Single Deprotonation
XECMIE,"[4, 7]","[4, 7]",Single Deprotonation
YEJNEG,"[18, 19]","[18, 19]",No Deprotonation
UYUYUJ,"[1, 4]","[1, 3]",Double Deprotonation
TOHDOJ,"[0, 3]","[0, 3]",No Deprotonation
PPDSRA,"[15, 16]","[15, 16]",No Deprotonation
FAFDEW,"[0, 1]","[0, 1]",Single Deprotonation
JOBDEK,"[17, 19]","[17, 19]",No Deprotonation
XEMYIY,"[50, 51]","[50, 51]",Single Deprotonation
ZEBWEI,"[2, 3]","[2, 3]",No Deprotonation
UPAWEP,"[4, 9]","[4, 9]",No Deprotonation
PEDPAS,"[38, 42]","[38, 42]",No Deprotonation
TUJBOQ,"[1, 3]","[1, 2]",Double Deprotonation
ZZZAUM10,"[24, 27]","[23, 26]",Single Deprotonation
MERRIK,"[29, 30]","[29, 30]",Single Deprotonation
LAFXOG,"[0, 1]","[0, 1]",Single Deprotonation
