Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
TIXSAU01,44.1,-2.9823,0.319,1.587,6.5441,12.374,9.7628,1.891,1.7206,0.0616,4.2
TOHGAY01,75.24,-3.5549,0.2336,1.9186,6.3599,12.5549,9.8516,1.9871,1.2896,0.021,39.9
TOHHOQ,88.18,-2.7445,0.3588,2.051,6.3993,12.4702,9.7717,1.9138,1.3946,0.0163,22.2
TOLPOB,76.47,-2.9076,0.3333,1.7649,6.4362,12.4428,9.7877,1.9207,1.0642,0.0308,13.3
TOQMUH01,56.73,-3.1657,0.2301,1.83,6.5517,12.4563,9.7618,1.9291,1.3468,0.0088,24.4
TORFUD,84.02,-2.8471,0.2988,2.0945,6.4075,12.5339,9.7598,1.9468,1.5995,0.0685,22.1
TOSHOY,102.18,-2.5001,0.4422,2.1186,6.3479,12.4481,9.7618,1.9528,1.5026,0.1122,14.7
TOSHUG,79.81,-3.1966,0.2064,2.117,6.4292,12.5901,9.7743,1.9454,1.2032,0.0282,22.5
TOSNOG,87.13,-2.7905,0.1822,1.9078,6.4864,12.5184,9.813,1.9776,1.0912,0.0118,23.8
TOVHOE,93.67,-3.0081,0.4655,2.2317,6.3483,12.4815,9.7047,1.9752,1.4179,0.1046,19.9
TOVJAS,92.43,-3.0819,0.4708,2.2374,6.3478,12.4793,9.702,1.972,1.4208,0.1072,18.3
TOXYUC,84.81,-2.7556,0.2903,2.1283,6.4066,12.5377,9.7653,1.9237,1.3954,0.015,22.9
TOYCOB,82.1,-3.3613,0.1844,2.117,6.429,12.6059,9.7806,1.9361,1.2123,0.0207,18.8
TOYWAF,78.45,-2.7095,0.2843,1.6675,6.5158,12.4216,9.7782,1.8723,1.7176,0.0786,27.3
TOYWEJ,76.27,-2.6698,0.3113,1.7249,6.5131,12.4024,9.7732,1.9577,1.7137,0.0773,25.6
TOYWIN,75.95,-2.6876,0.3096,1.7284,6.5148,12.4031,9.7725,1.9584,1.7121,0.078,25.9
TUBXUJ,82.27,-2.9746,0.2757,2.0961,6.423,12.5416,9.7597,1.8905,1.2383,0.0109,25.3
TUDJOT,78.08,-2.5479,0.2928,1.7322,6.4895,12.4361,9.7816,1.9034,1.4034,0.1093,-0.2
TUFDAC,80.85,-2.6689,0.3177,1.7271,6.4461,12.4417,9.7946,1.8798,1.4962,0.0749,21.4
TUFDUV,85.3,-3.7221,0.4718,2.2308,6.3355,12.5105,9.6821,1.9353,1.5053,0.0907,16
TUJWOL,78.25,-2.742,0.256,1.9141,6.4682,12.4979,9.7779,1.9395,1.0627,0.0157,23.5
TUKROJ,81.28,-3.0156,0.2858,1.8642,6.4198,12.4874,9.807,1.9104,1.322,0.0117,23.3
TULYOQ,74.71,-2.7369,0.3235,1.6127,6.5378,12.3692,9.7696,1.8652,1.5053,0.0657,31.2
TUNBAH,84.1,-2.7564,0.2252,2.3188,6.4253,12.6036,9.7459,1.9552,1.4117,0.0122,13.7
TUPBEN,83.89,-3.2132,0.4573,1.9759,6.3777,12.4091,9.756,1.9678,1.5625,0.0754,14.1
TUPDIS,81.06,-3.2528,0.3617,2.0474,6.3809,12.491,9.7664,1.9005,1.4426,0.0134,16.2
TURACD,49.12,-3.1067,0.3175,1.6905,6.5324,12.4072,9.743,1.8927,1.7302,0.1276,21.2
TUSGUK,79.62,-3.4501,0.2724,1.9942,6.478,12.5076,9.742,1.8994,1.4952,0.071,26.3
TUVZIU,66.98,-3.1936,0.2447,1.8217,6.5556,12.438,9.7617,1.8934,1.3194,0.0174,27.4
TUWCUK,91.59,-2.5666,0.3588,1.8651,6.3812,12.472,9.788,1.9088,1.6168,0.0664,16.8
TZSPOD10,85.99,-3.5762,0.4137,1.9731,6.3629,12.4621,9.7612,1.9306,1.4815,0.0711,14.3
UBOJUS,99.05,-2.4686,0.3045,2.0778,6.3688,12.5093,9.8173,1.9112,1.5022,0.0914,18.6
UCAJEQ,84.54,-2.9281,0.2462,2.1204,6.4111,12.5663,9.7764,1.9158,1.3958,0.0174,24.3
UCIZIS,87.25,-3.2911,0.4064,2.22,6.3876,12.4735,9.7325,1.8833,1.2588,0.0158,17.1
UCOKUV,77.09,-2.9473,0.2706,1.6121,6.4579,12.4491,9.8224,1.9396,1.6941,0.109,14.9
UDAFEM,83.67,-3.4555,0.4291,2.3122,6.3577,12.5307,9.6826,1.9486,1.1986,0.0164,19.9
UDEGUH,84.86,-4.3111,0.5447,2.6981,6.3174,12.5094,9.6285,1.9557,1.4931,0.057,-9.9
UFECAL,83.1,-2.9817,0.26,2.0136,6.4238,12.5356,9.7805,1.8995,1.5515,0.0853,23.1
UFIWOW,80.81,-3.6803,0.3069,2.1503,6.4076,12.542,9.7435,1.9278,1.3828,0.0168,23
UHARAX,81.7,-3.3054,0.2259,2.132,6.4213,12.5794,9.7735,1.9518,1.23,0.0224,18.8
UHAVEG01,86.2,-2.8436,0.3707,2.2077,6.3966,12.4861,9.7467,1.9519,1.3611,0.0184,25.4
UJIBEV,54.27,-2.9367,0.2186,1.6214,6.5909,12.3969,9.7936,1.9142,1.3287,0.0081,27.4
UJUWEB,83.62,-3.1381,0.266,2.1553,6.4083,12.5492,9.7765,1.9457,1.2181,0.0232,11.9
UKALIE,68.11,-3.3982,0.2768,1.8995,6.5394,12.4442,9.7396,1.9066,1.4862,0.0679,30.9
ULAVIO,81.55,-3.1026,0.2358,2.0869,6.4701,12.5162,9.778,1.9717,1.1961,0.0278,21.5
ULUHUE,91.49,-3.34,0.5203,2.367,6.3241,12.4922,9.6634,1.9654,1.5507,0.0946,22.1
ULUVUS,83.76,-2.844,0.2785,2.0301,6.4097,12.5381,9.7737,1.917,1.5892,0.0799,24.1
UMEZAP,83,-2.8877,0.163,2.1201,6.439,12.5972,9.8008,1.9288,1.3239,0.014,24.7
UMICIE,83.55,-3.8962,0.3321,2.6154,6.3926,12.6002,9.6751,1.9875,1.1987,0.0219,25.1
UNUCEM,87.81,-2.4119,0.139,1.7708,6.4648,12.545,9.8512,1.9644,1.2016,0.0082,18.8
UPANIJ,83.56,-3.1222,0.2626,2.0934,6.4226,12.5637,9.751,1.8983,1.3294,0.0087,22.1
UPIQUH,81.8,-3.1579,0.2374,1.9697,6.4525,12.5159,9.7942,1.9017,1.366,0.0139,27.3
UPUMAU,95.5,-2.7204,0.4103,2.0486,6.3588,12.466,9.765,1.9499,1.5971,0.0993,16.9
UQAFEZ,85.51,-3.1575,0.2973,1.7748,6.3842,12.4655,9.8529,1.9647,1.5342,0.0846,32.2
UQUDOA,89.67,-2.9432,0.4109,1.9558,6.368,12.4654,9.7557,1.9357,1.6096,0.0783,17.9
URESIU,75.48,-2.6626,0.3048,1.6492,6.5314,12.3931,9.7706,1.9108,1.686,0.0889,27.3
USEWAS,86.56,-2.7095,0.2473,1.852,6.4752,12.4714,9.8061,1.9195,1.4714,0.0644,23.1
USUHEW,93.19,-2.4891,0.3619,1.8769,6.408,12.4407,9.7893,1.9139,1.6856,0.1084,27.8
USUNED,82.45,-3.7714,0.2647,2.1855,6.4078,12.5665,9.761,1.9367,1.1313,0.0306,16.3
UVEKEM,83.49,-2.743,0.2309,1.9206,6.4319,12.5276,9.8096,1.9447,1.2076,0.0243,25.4
UWATES,85.1,-2.5442,0.4041,1.9116,6.3888,12.4265,9.7807,1.9156,1.5459,0.0674,17.2
UXAMOX02,81.46,-3.3631,0.3326,2.0823,6.396,12.5003,9.7711,1.9101,1.4226,0.0167,21.5
UXEYIG,82.78,-2.8173,0.186,2.0878,6.4335,12.5835,9.7969,1.9355,1.3211,0.0157,25
UYILEV,49.91,-3.2238,0.35,1.6595,6.5198,12.3947,9.7355,1.8798,1.5613,0.0795,25.3
VACDEK,88.49,-2.9935,0.4489,2.2641,6.3706,12.4734,9.7071,1.9694,1.6577,0.0814,18.9
VAKNOL,95.58,-3.1497,0.4561,1.9852,6.3571,12.4158,9.7711,1.941,1.629,0.036,13.2
VANCET,86.09,-2.9327,0.4549,2.1144,6.3658,12.4539,9.7253,1.9675,1.4872,0.0979,21.3
VANCIY,80.14,-2.8103,0.1361,1.8879,6.4617,12.5682,9.834,1.9404,1.2226,0.0125,21.2
VAPGOL,82.39,-2.8182,0.2227,2.2184,6.4271,12.5822,9.768,1.9084,0.9896,0.0208,12.5
VATZAT,80.75,-3.1696,0.3462,2.0699,6.397,12.4942,9.7626,1.9049,1.4155,0.0167,17.7
VAXXOJ,85.82,-2.5548,0.3855,1.8689,6.4082,12.423,9.7833,1.9221,1.6369,0.1041,19.3
VAYJAG06,96.9,-2.8622,0.4604,2.1022,6.3505,12.4363,9.7528,1.965,1.7874,0.0361,17.5
VAZJOY,94.99,-2.9254,0.4229,1.9421,6.3825,12.435,9.7595,1.9102,1.5564,0.0979,21.7
VEBTIG,114.24,-2.8292,0.3942,1.8966,6.3658,12.4344,9.8055,1.9759,1.6646,0.0897,16.2
VEJPEF,46.58,-2.9917,0.3189,1.6288,6.5512,12.3641,9.7658,1.959,1.5432,0.0922,56.3
VEKPOR,68.88,-3.4132,0.2683,1.9073,6.5478,12.4503,9.7337,1.8893,1.2899,0.0166,33.4
VEKTOW,95.16,-2.9417,0.4651,2.5615,6.3108,12.5214,9.7027,1.9708,1.5836,0.1101,43.6
VEWJEO,87.15,-3.1667,0.3771,1.9239,6.3576,12.4722,9.7931,1.9584,1.4803,0.0791,13.7
VEWROE,50.81,-2.9897,0.2409,1.6629,6.5708,12.4024,9.7859,1.9021,1.7287,0.0674,30.5
VEXJAL,84.88,-3.2848,0.5416,2.3575,6.3306,12.4482,9.6796,1.9587,1.5507,0.0941,20.3
VEXJEO,81.83,-3.2434,0.2174,2.1614,6.4212,12.5789,9.7825,1.929,1.2166,0.0218,15.2
VEYLUJ,89.64,-3.1311,0.4015,1.8573,6.3629,12.4598,9.7757,1.9339,1.6219,0.0824,14
VIBCAM,90.58,-2.3373,0.4811,2.1592,6.3568,12.461,9.701,1.9689,1.6569,0.0805,12.1
VIBCEQ,93.05,-2.8638,0.4476,2.1372,6.3664,12.4563,9.7297,1.9246,1.769,0.0853,19.2
VIPFEI,90.29,-3.0153,0.4521,2.047,6.3438,12.4634,9.7407,1.9199,1.699,0.1032,17.2
VIPPIU,93.22,-2.4837,0.3756,1.9647,6.394,12.4434,9.7871,1.8983,1.559,0.0764,23.4
VIRDEH,86.58,-3.0802,0.4717,2.2544,6.3646,12.4691,9.6946,1.9786,1.4612,0.0967,15.3
VIRDOP,81.77,-3.062,0.2547,2.2874,6.4142,12.5846,9.7465,1.9563,1.2835,0.0145,22.1
VISJOY,81.79,-3.2904,0.3687,2.1056,6.3777,12.4989,9.7547,1.9087,1.5523,0.1058,13.2
VIVTAV,75.35,-2.9672,0.3052,1.6658,6.4523,12.4361,9.8064,1.9341,1.6794,0.1072,15.9
VIXMUL,66.04,-2.7728,0.2447,2.0634,6.4499,12.5066,9.7989,1.9566,1.2744,0.0094,27.9
VIXNEY,82.95,-3.3723,0.1889,2.12,6.426,12.6048,9.7803,1.9328,1.3748,0.0102,20
VIYJIW,83.1,-2.6322,0.4333,2.0318,6.3725,12.4454,9.7488,1.9352,1.5576,0.0912,17.4
VIYQOL,88.49,-2.796,0.5079,2.4881,6.334,12.5061,9.652,1.9712,1.4556,0.0965,13.5
VOBMEG,82.08,-2.7061,0.4254,1.969,6.3831,12.4277,9.7638,1.9189,1.5487,0.07,17.2
VOFHOQ,82.26,-3.7511,0.2744,2.1878,6.4232,12.5637,9.7387,1.965,1.2133,0.0238,21.3
VOFTOZ,85.81,-3.4711,0.5062,2.2219,6.336,12.4319,9.7259,1.9242,1.7318,0.1221,-3.6
VOHCAY,82.34,-3.1719,0.1453,2.0565,6.4455,12.5946,9.8146,1.923,1.2465,0.0189,23
VOHDAZ,88.2,-3.0233,0.4646,1.9943,6.3537,12.42,9.7617,1.9491,1.5821,0.1167,12.2
VOHJOU,81.06,-3.506,0.3502,2.0904,6.3811,12.503,9.7657,1.8985,1.3858,0.0118,11.3
VOHZUP,91,-3.3132,0.5181,2.3507,6.3283,12.485,9.6686,1.9641,1.5253,0.1014,21.5
VOJRIY,62.88,-2.9023,0.4116,1.8849,6.4425,12.3816,9.7644,1.9536,1.476,0.0759,24.6
VOKBON,99.93,-2.7524,0.4322,2.0315,6.3562,12.4618,9.7498,1.9739,1.5677,0.076,15.5
VOMROF,67.97,-3.1095,0.1612,1.6581,6.5922,12.4597,9.787,1.9227,1.5018,0.0155,4.2
VOQNOF,81.13,-3.1139,0.3145,2.0511,6.3987,12.4994,9.7874,1.9206,1.4092,0.0157,17
VORCUB,81.5,-2.9399,0.1395,1.9731,6.4498,12.5823,9.8284,1.9276,1.233,0.0194,20.9
VORGOA,88.58,-2.9213,0.3757,2.2564,6.3881,12.4959,9.7402,1.9359,1.4015,0.0219,26.9
VORJOB,82.99,-3.4049,0.2791,2.0134,6.4666,12.5155,9.7388,1.8958,1.4787,0.0735,29
VORLAQ,78.48,-2.8656,0.2384,1.9257,6.4367,12.533,9.7919,1.9357,1.2039,0.0238,18.8
VOSDUC,81,-3.177,0.3483,2.0829,6.3927,12.5,9.7589,1.906,1.3741,0.0124,36.6
VOVXEL,80.21,-3.0993,0.2297,1.9098,6.497,12.5085,9.7649,1.9508,1.2373,0.0217,27.8
VOXLAV,84.32,-2.6535,0.3749,1.8729,6.4172,12.428,9.7799,1.8958,1.6024,0.0857,24.9
VUFMOY,96.75,-2.8371,0.4059,2.1427,6.3636,12.4847,9.7457,1.9284,1.6788,0.0632,19.2
VUHKIV,78.92,-3.1958,0.4431,2.1642,6.3558,12.4505,9.7506,1.8972,1.3887,0.0121,10.1
VUHMAM,79.33,-3.0519,0.2624,1.922,6.4409,12.4981,9.7987,1.908,1.3696,0.0117,19.3
VUHMOA,81.72,-3.2898,0.3398,2.1011,6.3852,12.5031,9.7718,1.9078,1.3925,0.0132,20.7
VUJLES,85.22,-2.7741,0.3167,2.1828,6.4132,12.51,9.7601,1.9375,1.3333,0.0214,21.3
VUKCOW,64.5,-3.3032,0.4754,2.1595,6.4,12.4022,9.7224,1.9156,1.6407,0.0581,25.6
VUNTON,83.56,-3.0269,0.1967,2.1818,6.4229,12.605,9.7754,1.9009,1.2057,0.0129,26
VURNAY,71.44,-3.218,0.2467,1.8165,6.5477,12.446,9.7596,1.9457,1.2839,0.016,29.1
VUWREK,69.34,-3.1931,0.2387,1.8019,6.5589,12.4375,9.7648,1.8848,1.4885,0.0695,32.2
VUXRAH,86.55,-3.1525,0.4753,2.3577,6.3535,12.4999,9.6714,1.9694,1.4707,0.0882,22.9
VUXRAI,82.58,-3.3565,0.3087,2.0976,6.4043,12.5431,9.7439,1.8866,1.5307,0.072,13.8
VUZQUD,86.11,-3.0348,0.4101,2.3378,6.3941,12.4936,9.7022,1.8846,1.5875,0.0578,27
WAHWEL,84,-4.1602,0.3651,3.2529,6.33,12.7078,9.5971,1.8622,1.3155,0.0185,35.1
WAJQAC,69.4,-3.3225,0.2452,1.8645,6.5544,12.4514,9.749,1.9469,1.3128,0.0124,27.3
WALNOP,90.11,-2.8476,0.3716,2.2287,6.3801,12.5032,9.7451,1.9448,1.6197,0.0684,22
WANJEA,89.02,-2.482,0.3552,1.7091,6.3984,12.4231,9.8233,1.9682,1.5678,0.0716,22.9
WANREK,96.39,-3.5299,0.3703,2.1379,6.3736,12.5166,9.7395,1.9328,1.6506,0.071,13.9
WAXKOY,83.62,-4.0772,0.3735,2.2629,6.3667,12.5411,9.7188,1.9408,1.3025,0.0158,26.8
WECTOQ,79.53,-2.7067,0.3588,1.8464,6.4295,12.4248,9.7869,1.9695,1.5198,0.0815,26.2
WEGQOQ,89.3,-3.2588,0.2105,1.8389,6.4047,12.5136,9.8712,1.9783,1.2522,0.0183,38.6
WEHKAW,80.34,-3.3783,0.2635,1.9881,6.4565,12.5218,9.7583,1.9084,1.2684,0.0175,26.9
WEHKEA,80.16,-3.4298,0.2686,2.0032,6.4556,12.5204,9.7553,1.9086,1.2489,0.0198,26.8
WEJWEQ,78.34,-2.7339,0.3256,1.7819,6.4163,12.423,9.8352,1.9776,1.4931,0.0132,19.8
WEKBAP,95.84,-2.753,0.4423,2.1144,6.3366,12.4655,9.7556,1.9029,1.5962,0.0653,17.2
WELKEF,86.36,-3.367,0.4155,2.4071,6.35,12.5352,9.6993,1.9414,1.5692,0.0814,32.5
WELSUD,83.86,-3.6335,0.5238,2.4358,6.3159,12.4627,9.6975,1.9977,1.5714,0.0856,7.7
WEPWAQ,78.99,-3.2505,0.3803,1.842,6.4081,12.4388,9.7728,1.9338,1.0954,0.0256,11.7
WEQCON,81.76,-3.3442,0.3724,2.1033,6.3766,12.4986,9.7524,1.8985,1.3222,0.0128,14.1
WEQJUY,81.03,-3.2605,0.257,1.9925,6.4724,12.5018,9.7689,1.8953,1.5362,0.0847,26.2
WERHUX01,81.91,-2.7255,0.1572,2.0822,6.4484,12.5968,9.7976,1.9248,1.206,0.0191,25.8
WERJUZ,83.87,-2.6433,0.4406,2.0289,6.3725,12.4246,9.7622,1.9508,1.5118,0.0949,16.2
WESVUO,74.51,-2.6121,0.3083,1.7356,6.5159,12.4084,9.7674,1.8999,1.712,0.0933,24.3
WETGAE,80.88,-2.7461,0.1861,1.8048,6.4853,12.5292,9.7994,1.9453,1.4008,0.0131,25.1
WEVWEA,85.81,-2.5878,0.4219,1.9845,6.3791,12.429,9.77,1.9267,1.6017,0.0831,16.3
WEWSOG10,82.03,-3.7506,0.3344,2.2172,6.4006,12.5413,9.7237,1.8929,1.1572,0.0184,23.9
WEZCUA,100.52,-3.3315,0.3861,2.1302,6.3499,12.5132,9.7508,1.9292,1.4785,0.1035,16.3
WIBGAQ,89.73,-2.7912,0.4136,1.9658,6.3758,12.4447,9.7659,1.915,1.6735,0.083,20.5
WIBNUT,82.28,-3.0605,0.2332,1.9382,6.4532,12.5295,9.7841,1.9013,1.3035,0.0147,26.7
WIBZEM,46.79,-3.055,0.3076,1.5799,6.5555,12.3722,9.7647,1.913,1.4509,0.1025,25.9
WIFYEP,85.55,-3.0772,0.4366,1.9878,6.3857,12.424,9.7537,1.9059,1.5955,0.0799,16.4
WIHDAU,55.7,-2.9855,0.2357,1.7663,6.5565,12.4326,9.7752,1.8857,1.3416,0.0075,30.6
WIHFID,46.68,-3.0865,0.3106,1.6094,6.5475,12.3806,9.7613,1.9041,1.7288,0.0953,28.3
WIKRAL,74.2,-3.1278,0.2557,1.7786,6.5668,12.4063,9.7711,1.9821,1.4489,0.0665,27.3
WINMAI,93.04,-2.985,0.4701,2.228,6.3459,12.4824,9.7016,1.9424,1.5418,0.0786,21.6
WIPHEI,84.2,-2.9009,0.3053,1.6066,6.423,12.4426,9.8291,1.9371,1.2627,0.0159,13.8
WIPLAK,91.7,-2.9602,0.3463,2.2227,6.4024,12.5111,9.7402,1.9718,1.4225,0.0951,21.5
WIPVOG,96.43,-3.1192,0.4713,2.4036,6.3417,12.5073,9.6797,1.9934,1.5194,0.1039,19.1
WIQZOL,96.33,-2.6158,0.3484,2.0481,6.4049,12.4733,9.7734,1.9166,1.6907,0.0855,24.4
WISJIU01,105.18,-2.7624,0.4286,2.213,6.3659,12.482,9.7235,1.8899,1.5023,0.0905,23.4
WITPIB,76.34,-3.6323,0.2794,1.7406,6.3708,12.4719,9.8779,1.9857,1.2213,0.0178,40.4
WITTOI,83.21,-3.1085,0.3019,2.1035,6.398,12.5382,9.7619,1.9148,1.3828,0.0104,14.9
WIWGOB,81.3,-3.4841,0.3713,2.1341,6.378,12.4984,9.7522,1.912,1.512,0.0886,10.2
WIXCAI,96.2,-2.4831,0.3752,2.3896,6.3653,12.538,9.7215,1.9114,1.5645,0.0633,25.8
WOCLUY,80.94,-2.8385,0.2043,1.8568,6.494,12.5075,9.7942,1.9464,1.3022,0.018,25.2
WOCMEJ,83.1,-2.783,0.2129,1.9575,6.4424,12.5449,9.7997,1.943,1.2344,0.0231,22.7
WOCREL,80.79,-3.5802,0.2838,2.0517,6.4416,12.5286,9.746,1.9128,1.3129,0.0147,25.5
WODLAD,86.01,-2.9226,0.4459,2.0665,6.3732,12.4434,9.7375,1.9503,1.5742,0.0697,22.1
WOJPIW,82.48,-3.2524,0.2013,2.0735,6.4269,12.5875,9.7843,1.9411,1.2085,0.0222,17.5
WOKPAO,86.51,-3.3142,0.4622,1.995,6.366,12.4358,9.736,1.9437,1.6026,0.0743,14
WOKQET,87.25,-3.1446,0.4565,2.0044,6.3643,12.4293,9.7499,1.9118,1.5123,0.0695,16.4
WOKXAX,96.69,-3.0172,0.4809,2.145,6.3403,12.4384,9.7404,1.9842,1.7318,0.0893,13.2
WOKYUS,96.43,-2.7162,0.3707,1.9016,6.3719,12.4845,9.773,1.9002,1.568,0.1039,17.9
WOLJUF,83.93,-3.5776,0.3082,2.0924,6.4327,12.5271,9.732,1.9029,1.5119,0.0788,18.8
WOMHUD,65.41,-2.6262,0.3486,2.6219,6.3468,12.5923,9.7123,1.9588,1.2509,0.0165,32.5
WOQCUC,85.09,-2.7694,0.4384,2.1768,6.3668,12.4772,9.7176,1.9232,1.6972,0.0747,19.9
WOQXIL,93.5,-2.9928,0.3557,2.1975,6.3724,12.5278,9.7442,1.9153,1.2956,0.0199,16.5
WOTZUD,84.22,-3.6245,0.2571,2.2877,6.4031,12.6091,9.7307,1.9431,1.2165,0.0215,18.5
WOVXIO,57.24,-3.3311,0.2419,1.5656,6.562,12.398,9.7981,1.9858,1.3589,0.0219,17.9
WUKQIC,82.16,-3.3331,0.3674,2.1545,6.3745,12.4964,9.7617,1.916,1.5666,0.091,12
WUKXUV,95.86,-2.3936,0.3056,1.9132,6.3856,12.4898,9.819,1.9586,1.7163,0.1179,25.3
WURQAC,82.08,-3.4643,0.3586,2.1594,6.3781,12.5059,9.7575,1.9087,1.3859,0.0127,12.5
WUTDUL,79.79,-3.3514,0.2622,1.9696,6.4776,12.509,9.7512,1.9198,1.2812,0.0205,28.2
XABCUZ,96.21,-2.8366,0.2782,2.1111,6.3807,12.5642,9.777,1.9278,1.217,0.0186,20.1
XACSOL,87.35,-3.4405,0.5215,2.4559,6.3363,12.4924,9.6498,1.9429,1.6043,0.0891,24.6
XAFSIG,83.08,-3.7819,0.4176,2.3358,6.3568,12.5178,9.7079,1.8854,1.4241,0.0186,16.4
XALNEF,85.45,-4.6914,0.6451,2.7553,6.2578,12.5141,9.5829,1.6505,1.6123,0.0557,5.2
XAMMEF,100.95,-3.1982,0.3315,1.8837,6.3496,12.486,9.8329,1.9743,1.5945,0.0862,13.2
XAPKOQ,81.68,-2.8562,0.3204,2.1238,6.4015,12.5196,9.7585,1.9293,1.1436,0.0206,20.8
XAPMAC,63.51,-3.0365,0.3548,1.8806,6.449,12.4234,9.7728,1.8921,1.5872,0.0592,21.6
XAPTOY,85.58,-2.5441,0.2215,1.9096,6.4454,12.5071,9.826,1.9277,1.2382,0.0195,22.8
XAPVES,101.14,-3.2017,0.3489,1.8536,6.3594,12.4557,9.8359,1.9708,1.3115,0.0306,43.6
XASLOS,62,-2.7753,0.3735,1.7919,6.4619,12.3797,9.7849,1.9361,1.4745,0.0706,17.2
XATWUK,71.75,-2.7128,0.301,1.6542,6.5548,12.3793,9.7648,1.9208,1.4738,0.0645,27.6
XAXLIU,82.07,-3.4659,0.3593,2.1608,6.3778,12.5061,9.7568,1.9373,1.5573,0.0892,11.4
XAYWIF,84.08,-2.9134,0.2373,2.0399,6.4271,12.5585,9.7771,1.951,1.217,0.0247,23
XAZGAH,87.89,-3.551,0.4307,1.9959,6.3415,12.4702,9.7576,1.9434,1.5617,0.0751,12.9
XAZPOF,81.77,-3.321,0.3447,2.1349,6.3856,12.5042,9.7655,1.904,1.5281,0.0825,14.9
XEBZUB,87.77,-2.5914,0.322,1.9674,6.4039,12.4629,9.8112,1.9225,1.6715,0.0855,15.9
XECJEU03,84.54,-3.1846,0.3291,2.1789,6.3886,12.5498,9.7326,1.9059,1.3928,0.0108,18.8
XEFCOA,71.46,-3.3291,0.2566,1.8964,6.5364,12.4534,9.7536,1.9057,1.2215,0.0182,30.2
XEHTEL,83.33,-3.3183,0.211,2.1563,6.4204,12.5972,9.7714,1.9356,1.2211,0.0189,18.6
XEHZAL,45.21,-2.9826,0.3364,1.5734,6.5382,12.3587,9.7667,1.8957,1.6877,0.1044,28.1
XEJLEE,64.74,-3.0034,0.293,2.0101,6.4335,12.4862,9.7873,1.93,1.292,0.0113,22.3
XEKYES,86.51,-2.8006,0.4469,2.2321,6.361,12.4885,9.7036,1.9088,1.6566,0.0615,24.1
XELSIT,81.72,-3.6981,0.3353,2.195,6.4028,12.5365,9.7255,1.8879,1.5074,0.0786,22.1
XENJUX,82.45,-2.5602,0.311,1.7437,6.436,12.4471,9.8059,1.9386,1.6624,0.0673,21.8
XERPIU,89.67,-3.6998,0.512,2.1931,6.3507,12.4339,9.7034,1.8658,1.6266,0.0657,17.4
XEXNEU,89.4,-3.331,0.4878,2.0318,6.3428,12.4379,9.7315,1.9475,1.6296,0.0823,15.5
XEYXUV,84.05,-3.0672,0.1538,2.1372,6.4324,12.6252,9.7885,1.9446,1.2151,0.0227,27.1
XIFMIJ01,58.27,-3.091,0.2202,1.808,6.5582,12.4477,9.7739,1.9299,1.3268,0.0137,25.8
XIFNIK02,58.18,-3.0748,0.22,1.7962,6.553,12.4522,9.7748,1.907,1.3657,0.0123,25.1
XIKZUP,87.66,-3.3951,0.4126,1.8749,6.3566,12.4345,9.7964,1.9548,1.5297,0.0818,11
XIMCON,86.27,-2.5625,0.3758,1.8567,6.4182,12.4225,9.7835,1.9026,1.606,0.0697,18.6
XINJAF,87.28,-3.6922,0.5164,2.1316,6.3124,12.4452,9.7261,1.9257,1.5211,0.0534,4.3
XITCIM,79.12,-2.6135,0.3116,1.9103,6.4284,12.4623,9.7976,1.929,1.0192,0.0287,22.5
XITCOS,79.7,-2.6308,0.3282,1.916,6.418,12.4631,9.7908,1.9263,1.0745,0.0275,16.6
XITCUY,84.03,-3.346,0.397,2.1492,6.3807,12.4691,9.7532,1.9286,1.6403,0.0643,15.6
XIZXAI,82.94,-3.3525,0.3888,2.2183,6.3679,12.5014,9.7419,1.9167,1.3372,0.0107,14.9
XOCFAW,82.49,-2.9686,0.2266,2.2541,6.4233,12.5972,9.753,1.9207,1.1229,0.0216,16.1
XOGWEX,95.46,-3.0267,0.37,2.157,6.3582,12.524,9.7479,1.958,1.2978,0.013,23.6
XOHMEM,76.44,-2.5467,0.3606,1.7333,6.4735,12.3826,9.7833,1.9588,1.518,0.0808,26
XOKXUS,46.79,-2.9878,0.3025,1.5917,6.5604,12.3726,9.7645,1.8918,1.6288,0.0569,24.7
XOMCAE,81.56,-2.7686,0.2179,1.8273,6.4556,12.4808,9.8457,1.9634,1.0973,0.0167,16.1
XOPCOV,86.27,-2.8156,0.4563,2.0965,6.3541,12.4318,9.7578,1.9641,1.5737,0.0904,22.9
XOPYOS,98.69,-3.0862,0.3198,1.7438,6.3494,12.4788,9.852,1.9603,1.3843,0.0165,33
XORTIJ,100.71,-2.5243,-0.2167,2.2147,6.5646,12.777,9.8752,1.9309,3.5361,0.0251,30.3
XOSBOX,86.7,-3.4261,0.3038,2.0583,6.389,12.5336,9.7736,1.9389,1.3547,0.0118,18.4
XOSHOD,94.05,-3.7191,0.4777,2.0941,6.3399,12.4678,9.7147,1.9315,1.6713,0.0816,19.4
XOTCUG,49.32,-2.7543,0.3728,1.6399,6.5107,12.3558,9.7607,1.886,1.4526,0.1048,4.6
