Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_3-5A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,C-I,I-C-Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_C,Bond_Order_C_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_px,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge_L1_dx2y2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dz2,ImgFre,Ea
ABALIA01,78.33,2.65,228.51,2.15,9.67,10.11,36.5,27.6,17.2,732.55,-4.24,-1.7515,2.19,2.09,-0.1,-0.08,2.63,2.14,2.23,74.27,-0.4446,-0.2973,0.5302,0.1584,0.1707,2.7032,3.5384,1.3733,2.9453,2.0577,29.2009,5.4613,7.075,8.4113,0.5801,0.2822,0.6186,0.3031,0.3455,2.7701,0.9716,0.9613,1.0264,3.5759,3.49,3.6348,3.5839,10.1615,2.0309,2.0439,2.0271,2.0342,2.0254,6.3164,12.592,4.2496,4.1869,4.1556,10.5358,2.0367,2.122,2.1777,2.0947,2.1048,1.1,0.2978,0.0424,0.0737,0.0391,0.0763,1.3934,1.4644,0.0744,0.0141,0.01,-120.54,14
ABEJEX,72.62,1.34,195.01,3.1,9.05,9.51,33.5,27,17.6,747.88,-4.126,-1.9336,2.1,2.42,0.02,-0.24,2.6,2.18,2.23,72.28,-0.3801,-0.2829,0.564,0.1591,0.0885,2.5685,3.4102,1.37,2.0788,2.8198,29.0828,5.4234,8.4086,7.2512,0.5677,0.2237,0.6203,0.2998,0.143,2.7684,0.9275,0.9643,1.0444,3.5724,3.2214,3.7217,3.7462,10.1516,2.0353,2.0361,2.0125,2.0506,2.0172,6.334,12.5424,4.2451,4.1793,4.118,10.5035,2.1712,2.1014,2.0594,2.0677,2.1037,1.3928,0.0732,0.0177,0.0047,0.0264,0.0039,1.3241,1.1272,0.2852,0.0255,0.0419,-118.51,17
ABIVUD,81.12,3.01,199.02,1.64,10.2,6.33,34.9,25.9,14.7,646.58,-4.2418,-1.8552,2.08,2.01,-0.1,-0.05,2.58,1.99,2.29,73.79,-0.4752,-0.2814,0.4722,0.2431,0.0207,3.1344,3.2953,1.2947,3.126,2.9954,29.275,5.3186,7.1227,7.097,0.6202,0.2849,0.512,0.3621,0.5307,2.762,1.0761,0.9687,0.8871,3.5882,3.8448,3.7701,3.15,10.1528,2.0132,2.0225,2.0464,2.0178,2.0528,6.3067,12.6678,4.2327,4.2222,4.213,10.5003,2.1401,2.1355,2.1355,2.0883,2.001,1.2221,0.2437,0.0355,0.0732,0.0213,0.0758,1.2986,1.3123,0.278,0.025,0.0265,-115.57,20
ABOSOB,75.63,4.37,213.24,2.5,8.26,11.13,33.9,25.7,16.6,736.46,-4.2725,-1.7985,2.31,2.1,-0.2,-0.1,2.64,2.03,2.25,76.19,-0.3989,-0.3013,0.5011,0.1598,0.1708,2.6866,3.5503,1.3249,2.94,2.0561,29.1407,5.4846,7.1051,8.4102,0.5646,0.3257,0.5978,0.2041,0.3422,2.7655,1.035,0.9703,0.9522,3.5903,3.7052,3.7403,3.289,10.1518,2.0161,2.0497,2.0329,2.0158,2.0373,6.3125,12.5917,4.2534,4.1727,4.1656,10.4944,2.0167,2.129,2.185,2.0847,2.079,1.1078,0.2904,0.0416,0.0707,0.0483,0.0655,1.4234,1.4327,0.074,0.0143,0.0107,-84.11,11.3
ACANAC12,79.61,6.5,174.07,3.26,7.18,5.94,39.1,30.4,14.4,563.09,-4.1654,-1.25,2.1,2.11,-0.1,-0.12,2.58,2.08,2.21,73.69,-0.441,-0.2953,0.5563,0.1153,0.1694,2.7409,3.3617,1.3292,2.7352,2.0604,29.1493,5.4002,7.4755,8.3439,0.5337,0.2313,0.5929,0.4418,0.2729,2.7599,0.97,0.9549,1.0145,3.5563,3.4377,3.7476,3.519,10.1585,2.0348,2.0445,2.0268,2.0304,2.022,6.3034,12.581,4.2483,4.1795,4.1532,10.5562,2.1704,2.1281,2.1378,2.0641,2.0558,1.3001,0.2125,0.0733,0.0177,0.0635,0.017,1.3985,1.4314,0.0728,0.0207,0.0094,-91.74,26.1
ACETSC10,73.7,5.11,202.01,1.86,6.21,7.01,32,22.1,10.4,553.99,-4.11,-1.0291,2.25,2.21,-0.16,-0.12,2.67,2.28,2.17,73.69,-0.4077,-0.3088,0.5801,0.1489,0.1126,2.2683,3.7497,1.3393,3.0007,2.0469,29.0171,5.6499,7.091,8.4364,0.3974,0.2128,0.7799,0.2523,0.2492,2.7719,0.9636,0.9666,1.0257,3.5591,3.4718,3.6992,3.509,10.1568,2.036,2.0402,2.0298,2.0322,2.0186,6.3318,12.5325,4.2515,4.1641,4.1169,10.5431,2.1479,2.1562,2.0948,2.0995,2.0448,1.2525,0.3008,0.0357,0.0833,0.0596,0.0509,1.4667,1.4264,0.0706,0.0183,0.0097,-145.65,20.8
ACETUA,65.6,-1.43,163.74,2.57,5.97,10.28,26.4,19.6,13.3,709.09,-3.7846,-2.5543,2.09,1.94,-0.02,0.09,2.57,2.2,2.19,71.49,-0.4135,-0.3003,0.5659,0.0938,0.1204,2.5204,3.4906,1.3574,1.9423,2.0218,29.1056,5.4806,8.4868,8.4522,0.5474,0.203,0.6605,0.3206,0.4907,2.7645,0.9219,0.9231,1.1019,3.5484,3.1408,3.715,3.8365,10.1671,2.0554,2.0237,2.0111,2.0663,2.0107,6.3099,12.5684,4.2559,4.1846,4.1278,10.5349,2.1732,2.1039,2.113,2.0864,2.0584,1.4889,0.0694,0.0078,0.0257,0.009,0.0178,1.4204,1.5446,0.0755,0.0062,0.0093,-133.22,25.6
ACETUY,80.05,5.03,172.07,1.9,8.45,7.2,32,24.4,17.7,665.11,-3.8582,-0.8664,2.23,2.04,-0.16,-0.11,2.63,2.32,2.18,71.5,-0.4485,-0.294,0.5412,0.1837,-0.1124,2.2862,3.5008,1.2748,2.0938,1.8225,29.0445,5.5535,8.3639,8.6325,0.3764,0.1292,0.739,0.1953,0.4864,2.7731,0.9705,0.944,1.0325,3.5609,3.4595,3.7111,3.5346,10.1674,2.042,2.0405,2.0332,2.0334,2.0183,6.3451,12.5445,4.2496,4.1521,4.1428,10.5586,2.1584,2.1416,2.1111,2.0987,2.0488,1.4681,0.0726,0.014,0.0199,0.0086,0.0166,1.6522,1.3673,0.0655,0.0159,0.0086,-156.62,26.5
ACLTRY,60.43,2.31,152.38,3.04,6.79,11.49,23.5,16.1,12,729.22,-5.0299,-1.629,2.37,1.93,-0.26,0.16,2.53,1.84,3.34,48.44,-0.3272,-0.169,-0.0848,0.0574,0.0943,3.0313,2.8883,0.7077,1.9593,2.0563,29.2826,5.0914,8.4998,8.4318,0.7915,0.2406,-0.1565,0.2086,0.6002,2.7623,0.8825,0.8926,1.0653,3.6807,3.6255,3.8495,3.8701,10.0521,2.0159,2.0093,2.0031,2.0193,2.0046,6.3434,12.613,4.2907,4.2336,4.0887,10.3702,2.04,2.1339,2.0921,2.0818,2.0225,1.5014,0.066,0.0072,0.0241,0.0081,0.0181,1.4751,1.5299,0.0744,0.0049,0.0086,-143.08,11.7
ACPENC10,96.05,0.34,185.6,2.69,6.89,7.12,32.8,26.5,16.6,613.4,-4.0169,-2.0176,2.26,2.07,-0.19,-0.03,2.57,2.11,2.26,71.99,-0.3932,-0.2763,0.5452,0.1783,0.1997,2.5296,3.3756,1.3351,2.1071,2.1007,29.0362,5.3585,8.3605,8.3735,0.5968,0.2829,0.5624,0.1872,0.2651,2.7646,0.9608,0.9391,1.0307,3.575,3.3715,3.7433,3.5966,10.146,2.0338,2.0422,2.019,2.0309,2.0201,6.3214,12.559,4.2364,4.1888,4.1338,10.5125,2.1587,2.1132,2.0922,2.0755,2.0729,1.4497,0.0711,0.0175,0.0193,0.0084,0.0227,1.3963,1.4303,0.0732,0.0191,0.0088,-110.09,7.1
ADALAS,60.79,0.53,171.87,1.7,6.01,6.77,28.1,18.4,8.8,520.97,-4.0075,-1.2212,2.37,2.02,-0.02,-0.04,2.59,2.2,2.21,71.7,-0.3705,-0.2871,0.5656,0.0842,0.1904,2.4655,3.6241,1.3535,2.0422,3.0375,29.1315,5.5406,8.4215,7.1925,0.5196,0.224,0.6734,0.1539,0.4336,2.7689,0.933,0.9424,1.0621,3.564,3.2771,3.7159,3.6981,10.1553,2.0465,2.0341,2.0174,2.0439,2.0135,6.3291,12.5471,4.2665,4.1911,4.0895,10.494,2.1859,2.1091,2.0761,2.0773,2.0455,1.4937,0.0682,0.0095,0.0255,0.0083,0.0169,1.1788,1.2975,0.2221,0.0236,0.0228,-108.63,30
ADINAD,93.75,4.41,193.81,2.57,7.22,7.14,35.6,27.8,17.7,634.61,-3.9486,-1.8789,1.97,2,-0.07,-0.11,2.62,2.21,2.27,71.54,-0.4244,-0.2727,0.4313,-0.1129,0.2029,2.8383,3.3955,1.256,1.8128,2.0609,29.0935,5.4263,8.6194,8.3744,0.5209,0.244,0.5301,0.614,0.3376,2.7756,0.931,0.9518,1.0488,3.5888,3.3605,3.7517,3.6819,10.1637,2.0504,2.0411,2.0184,2.0391,2.0148,6.3187,12.614,4.2532,4.1949,4.1659,10.4913,2.1829,2.1313,2.0655,2.0406,2.0711,1.5128,0.0668,0.0165,0.0134,0.0127,0.0101,1.4193,1.4393,0.0799,0.0175,0.0095,-195.89,21.1
AFAZAK,81.43,0.81,194.71,1.77,8.82,10.12,35.4,25.6,16.8,790.72,-4.4343,-2.0267,2.1,1.98,-0.09,0.04,2.55,2,2.35,71.39,-0.4292,-0.2554,0.4539,0.2452,0.2394,3.1939,3.2114,1.3142,3.1526,3.2184,29.3493,5.2642,7.1248,7.014,0.7073,0.2415,0.4318,0.4722,0.5475,2.7649,1.0552,0.9533,0.9074,3.5961,3.7082,3.7454,3.3323,10.1441,2.0193,2.038,2.033,2.0133,2.0405,6.2984,12.6853,4.2554,4.2295,4.2003,10.4452,2.1117,2.1281,2.1105,2.0605,2.0344,1.2194,0.2456,0.0341,0.0769,0.02,0.0773,1.0708,1.3002,0.254,0.0244,0.0205,-145.59,24.1
AFEBOC,89.5,1.23,179.68,2.87,7.36,6.72,32.2,27.2,18.4,629.41,-4.0463,-1.1454,2.2,2.1,-0.16,-0.06,2.6,2.23,2.21,71.8,-0.3924,-0.2868,0.5515,0.1372,0.1538,2.3565,3.4477,1.3296,2.0251,2.0491,28.9813,5.459,8.4375,8.4183,0.4956,0.2151,0.6689,0.2202,0.2823,2.7693,0.9321,0.941,1.0671,3.5676,3.288,3.7047,3.7091,10.1554,2.0491,2.0344,2.0181,2.0418,2.012,6.3229,12.5429,4.2595,4.1651,4.1183,10.5263,2.1735,2.1246,2.0895,2.0846,2.0542,1.4402,0.0728,0.0203,0.0177,0.0088,0.0209,1.4608,1.4661,0.0746,0.0202,0.01,-122.57,19.8
AFESEJ,97.26,1.56,187.05,3.08,7.21,8.97,35.7,29.4,19.7,713.72,-3.755,-0.9344,2.05,2.28,-0.11,-0.2,2.6,2.29,2.2,70.88,-0.4381,-0.2835,0.5485,-0.0554,0.1681,2.4027,3.4267,1.3117,1.8578,2.074,29.0529,5.481,8.6207,8.3903,0.4457,0.1467,0.6864,0.5145,0.1704,2.7701,0.9418,0.9326,1.0647,3.5577,3.3851,3.6433,3.6709,10.1693,2.0528,2.0346,2.0278,2.0398,2.0143,6.3308,12.5468,4.253,4.1423,4.1516,10.5601,2.1405,2.1459,2.11,2.1056,2.0582,1.3496,0.0672,0.0154,0.018,0.0085,0.0221,1.4133,1.4659,0.0699,0.0192,0.0088,-176.35,33.2
AFETOU,105.21,2.8,203.96,2.09,14.36,7.07,34.8,26.5,17.6,877.03,-4.0636,-2.3243,1.93,2.09,-0.06,-0.19,2.6,2.11,2.3,72.14,-0.4123,-0.2751,0.3889,-0.0894,0.1832,2.9456,3.3872,1.2073,1.8558,2.0804,29.1024,5.4028,8.5754,8.3781,0.5665,0.3041,0.4464,0.6397,0.2781,2.773,0.9026,0.9549,1.0733,3.5939,3.2405,3.7781,3.8197,10.1579,2.0379,2.0318,2.0102,2.0659,2.0121,6.3214,12.6195,4.2629,4.1789,4.1777,10.4709,2.1291,2.1353,2.0412,2.0453,2.12,1.3774,0.0695,0.0171,0.0183,0.008,0.022,1.4483,1.4295,0.0752,0.0181,0.0092,-191.11,20.9
AFISIS,82.73,3.6,179.29,3.06,9.03,9.66,32.2,23.9,15.3,707.11,-3.7697,-2.8514,1.92,2.17,-0.03,-0.24,2.61,2.09,2.27,73.32,-0.3843,-0.2916,0.4123,-0.0509,0.1646,2.8853,3.4878,1.2258,1.8771,2.0439,29.0969,5.4646,8.5774,8.3838,0.5484,0.3613,0.5028,0.6585,0.2515,2.7712,0.8975,0.9649,1.0757,3.5888,3.3115,3.7281,3.7758,10.1613,2.0646,2.0311,2.0143,2.0421,2.0091,6.3214,12.6024,4.2609,4.209,4.1325,10.46,2.1804,2.1144,2.0837,2.0587,2.0228,1.441,0.068,0.0128,0.022,0.0085,0.0162,1.3653,1.4107,0.0706,0.0166,0.0082,-184.64,16.4
AFUTDZ10,83.97,-7.29,180.35,1.7,4.77,7.8,31.1,20.2,11,550.8,-4.1939,-1.901,2.22,1.96,0.46,-0.08,2.58,2.21,2.21,71.28,-0.4466,-0.2891,0.5704,0.13,0.0491,2.651,3.457,1.3508,2.9763,3.1773,29.1434,5.4517,7.0558,7.2869,0.5409,0.1839,0.6476,0.2495,0.5586,2.7677,0.9453,0.9464,1.0507,3.5587,3.2936,3.7361,3.6581,10.159,2.0436,2.0417,2.0161,2.0407,2.0169,6.3249,12.5964,4.2568,4.1838,4.1558,10.525,2.1859,2.1178,2.084,2.0699,2.0674,1.3595,0.3001,0.0299,0.0677,0.0323,0.108,1.2308,1.3625,0.1527,0.0245,0.0153,-140.31,34.4
AFUVEE,78.6,1.17,201.98,2.32,11.08,10.49,33.8,25.7,18.9,874.78,-4.3228,-1.8253,2.14,2.12,-0.14,0.01,2.57,2.06,2.27,72.78,-0.427,-0.2829,0.5171,0.1459,0.1683,2.7821,3.4397,1.3195,2.0647,3.0673,29.1418,5.3981,8.4443,7.0662,0.5883,0.2837,0.5409,0.307,0.3769,2.7642,0.9208,0.9712,1.0397,3.5757,3.2454,3.7435,3.7457,10.1506,2.0334,2.0371,2.0108,2.052,2.0172,6.3177,12.5876,4.261,4.19,4.1366,10.5213,2.1646,2.1118,2.0782,2.0688,2.0978,1.449,0.0724,0.0134,0.0248,0.0085,0.0198,1.1172,1.1801,0.3038,0.0403,0.0265,-87.69,17.4
AGADIX,75.06,4.54,204.95,2.72,8.88,11.13,32.9,25.7,18.7,828.48,-4.1409,-1.8321,2.16,2.24,-0.16,-0.12,2.66,2.14,2.2,75.6,-0.4048,-0.3093,0.5537,0.1434,0.164,2.542,3.671,1.3437,2.0542,2.9849,29.0875,5.5461,8.4604,7.0891,0.4479,0.2889,0.7099,0.2991,0.2326,2.7666,0.9287,1.0111,1.0122,3.568,3.3719,3.7528,3.5761,10.1545,2.0391,2.0425,2.0192,2.0381,2.0156,6.3199,12.5602,4.2545,4.1699,4.1358,10.5244,2.1151,2.1209,2.0891,2.1463,2.053,1.4331,0.0719,0.0146,0.0232,0.0087,0.0184,1.1117,1.1682,0.2986,0.0388,0.0351,-82.22,15.2
AGAKIE,92.77,6.12,185.94,2.46,8.41,8.47,30.7,25,19.8,720.28,-4.322,-1.9094,2.23,1.99,-0.27,0.01,2.57,2.04,2.27,72.89,-0.3916,-0.2842,0.5036,0.1899,0.216,2.6589,3.4649,1.3076,2.1223,2.0485,29.0751,5.422,8.3564,8.4039,0.6181,0.3261,0.5185,0.2235,0.3778,2.7624,0.9088,0.9514,1.0731,3.5795,3.2305,3.7536,3.766,10.1451,2.0437,2.0301,2.012,2.0487,2.0106,6.3158,12.5674,4.2564,4.1847,4.1263,10.5079,2.1609,2.1386,2.0965,2.0613,2.0506,1.4583,0.0718,0.014,0.024,0.008,0.024,1.3497,1.4415,0.079,0.0148,0.0087,-101.94,16.3
AGIDOM,83.47,-1.98,175.6,1.72,6.01,6.98,31.2,23.1,13.3,600.54,-3.9708,-1.8441,2.2,2.07,-0.22,0.06,2.57,2.17,2.22,71.73,-0.4234,-0.2868,0.5737,0.1095,0.207,2.5192,3.3746,1.3472,3.01,2.1421,29.0915,5.4128,7.0456,8.3308,0.5564,0.2242,0.6423,0.256,0.3192,2.7642,0.9758,0.9381,1.0248,3.5607,3.4037,3.734,3.5515,10.1524,2.0339,2.0437,2.0236,2.0302,2.0212,6.3174,12.5586,4.2421,4.1739,4.1425,10.547,2.1696,2.1051,2.1035,2.1064,2.0624,1.2949,0.3104,0.0316,0.0887,0.03,0.0922,1.3797,1.4396,0.0752,0.0138,0.0094,-110.72,28.6
AHICIF01,75.72,4.31,168.86,1.7,6.44,8.12,28.2,17.5,9.5,550.77,-3.6919,-1.1176,2.31,1.97,-0.14,-0.05,2.59,2.37,2.19,69.03,-0.4466,-0.2909,0.5491,0.0874,-0.1933,2.3297,3.4652,1.3457,2.0492,2.7596,29.0237,5.52,8.4323,7.5244,0.4886,0.1309,0.683,0.1601,0.5763,2.7754,0.9557,0.9452,1.0456,3.5562,3.3296,3.7357,3.6347,10.169,2.0413,2.0434,2.0182,2.0444,2.0217,6.3493,12.5753,4.2669,4.1942,4.1141,10.5218,2.1857,2.1105,2.0721,2.0894,2.064,1.4294,0.0698,0.0176,0.0188,0.0085,0.0227,1.49,1.2789,0.1877,0.0308,0.0197,-121.82,30.6
AHPAZP10,76.84,4.57,199.07,2.94,8.24,5.88,39,29.8,16.9,616.65,-4.82,-2.8208,2.13,2.04,-0.19,-0.01,2.54,2,2.38,70.26,-0.4386,-0.2405,0.4473,0.1589,0.2367,3.2052,3.4251,1.2835,2.8986,3.1889,29.3298,5.3855,6.9794,7.073,0.7107,0.2628,0.3461,0.4319,0.4945,2.7665,0.8775,0.942,1.0811,3.599,3.2387,3.7643,3.7906,10.1416,2.0498,2.024,2.0117,2.0477,2.0084,6.3197,12.6451,4.2749,4.2229,4.1473,10.4734,2.1799,2.1325,2.1164,2.0191,2.0255,1.169,0.3018,0.049,0.0823,0.0305,0.0968,1.1486,1.2603,0.2359,0.0213,0.0208,-158.03,23.8
AJIYEX,81.47,12.47,177.32,1.7,8.71,7.81,31.1,20.9,13.5,657.14,-3.923,-1.1007,2.11,1.99,-0.18,-0.07,2.57,2.3,2.19,69.86,-0.4524,-0.2903,0.5732,0.0713,0.1719,2.3948,3.3856,1.3385,1.9785,2.1068,29.0519,5.465,8.4676,8.3242,0.5196,0.1559,0.6557,0.3088,0.3577,2.7691,0.9938,0.9284,1.0232,3.5503,3.425,3.7304,3.5319,10.1631,2.034,2.0448,2.0243,2.0316,2.0284,6.3223,12.5654,4.2557,4.1758,4.1339,10.5643,2.1421,2.122,2.0986,2.1077,2.0939,1.4283,0.07,0.0165,0.0195,0.0083,0.0208,1.3765,1.4383,0.076,0.0171,0.0091,-165.83,18
AJIZAU,81.39,12.74,177.17,1.7,7.63,6.92,31.1,20.9,13.5,626.81,-3.9339,-1.1171,2.11,1.99,-0.18,-0.07,2.57,2.3,2.19,69.82,-0.4527,-0.2898,0.5745,0.0739,0.1724,2.3905,3.3874,1.3392,1.9804,2.1074,29.0501,5.4663,8.4647,8.3242,0.5194,0.1549,0.656,0.3068,0.3549,2.7691,0.9831,0.9331,1.0291,3.5506,3.3935,3.7346,3.558,10.1628,2.0357,2.0442,2.0229,2.0347,2.0253,6.3227,12.565,4.2588,4.1732,4.1329,10.5647,2.1578,2.1233,2.0963,2.098,2.0892,1.4242,0.0701,0.0177,0.0188,0.0084,0.0197,1.3788,1.4354,0.0759,0.0178,0.009,-165.24,17.9
AKAWAK,80.6,1.88,196.47,2.77,6.81,7.53,36.6,31,17.5,602.5,-4.1028,-1.1117,2.04,2.23,-0.06,-0.13,2.61,2.21,2.2,72.68,-0.4192,-0.2959,0.5467,0.2193,0.1992,2.6893,3.3592,1.3299,3.0125,3.0589,29.2069,5.392,7.1118,7.2566,0.5053,0.1829,0.6382,0.4862,0.3068,2.7681,0.9591,0.9375,1.0512,3.5637,3.2988,3.7425,3.6601,10.164,2.04,2.0411,2.018,2.0431,2.0217,6.321,12.5945,4.2617,4.1835,4.1493,10.5033,2.1709,2.1103,2.0814,2.0668,2.0739,1.3105,0.2205,0.0257,0.0688,0.0233,0.0619,1.092,1.2619,0.2334,0.0273,0.021,-105.01,25.6
ALAMET01,80.02,4.86,177.12,2.8,6.22,6.89,35.9,29,17.7,611.7,-3.8603,-0.9215,2.14,2.11,-0.15,-0.14,2.58,2.28,2.19,70.38,-0.4594,-0.2899,0.5785,0.1693,0.0528,2.5445,3.4126,1.3391,2.9682,1.9733,29.1497,5.4421,7.2471,8.4355,0.5012,0.1367,0.6525,0.39,0.3628,2.7703,0.9589,0.9578,1.0248,3.546,3.4473,3.697,3.5326,10.1722,2.0405,2.043,2.0314,2.0371,2.0201,6.3223,12.567,4.2559,4.1669,4.1442,10.5699,2.179,2.1254,2.0897,2.1037,2.0722,1.2184,0.2233,0.0379,0.0448,0.0524,0.0361,1.5205,1.4386,0.0688,0.0175,0.0082,-145.87,37.2
ALODAH,83.53,0.69,191.79,1.84,6.21,7.61,32.3,20.8,10.4,536.28,-4.6904,-2.6225,2.02,1.96,-0.06,0.01,2.53,1.99,2.41,69.6,-0.4333,-0.235,0.4157,0.2536,0.1155,3.2526,3.2259,1.2616,3.2021,2.1053,29.2386,5.299,7.0628,8.3386,0.7435,0.2998,0.3472,0.5014,0.5154,2.7654,1.0728,0.9515,0.8792,3.6083,3.7704,3.7686,3.2867,10.132,2.0156,2.0282,2.0335,2.0145,2.0402,6.3055,12.6771,4.2385,4.224,4.2145,10.4502,2.1373,2.1407,2.1056,2.0477,2.0189,1.2301,0.2545,0.0403,0.0769,0.0205,0.0763,1.4438,1.4589,0.0737,0.0114,0.0088,-164.03,19.8
ALOLIW,80.91,1.9,207.11,2.15,7.98,7.92,35.6,29.8,18.2,684.28,-3.7956,-0.9445,2.18,1.99,-0.09,-0.03,2.59,2.34,2.21,69.4,-0.4424,-0.2803,0.5393,0.1291,0.1177,2.5053,3.5034,1.327,2.0472,3.0512,29.1442,5.5246,8.4381,7.1633,0.4964,0.1322,0.654,0.2418,0.552,2.7756,0.9829,0.9348,1.0202,3.5607,3.4528,3.7253,3.527,10.1698,2.0387,2.0445,2.0272,2.0325,2.0269,6.3313,12.5924,4.2589,4.1899,4.1436,10.5184,2.1663,2.1227,2.0798,2.0783,2.0713,1.4412,0.0721,0.0149,0.0224,0.0084,0.0239,1.2061,1.3374,0.225,0.0216,0.021,-137.04,26
ANAGUT,76.16,4.49,220.88,2.7,12.54,10.32,34,26.5,17.8,875.73,-4.3006,-2.1884,2.08,2.29,-0.08,-0.21,2.62,2.13,2.25,73.46,-0.3926,-0.2842,0.5264,0.1586,0.1383,2.5766,3.5043,1.3239,2.08,2.9452,29.0743,5.4113,8.3944,7.1032,0.5401,0.3133,0.6072,0.3459,0.2409,2.7677,0.9155,0.9358,1.0878,3.5807,3.3084,3.5996,3.812,10.1512,2.0637,2.0224,2.013,2.0382,2.0139,6.3297,12.5635,4.2539,4.1821,4.1275,10.4991,2.1007,2.1308,2.1273,2.1182,2.0221,1.4683,0.0741,0.0144,0.0208,0.0095,0.018,1.1687,1.1187,0.288,0.0419,0.0279,-121.08,16.3
ANITUN,87.31,-17.11,176.25,1.32,7.65,9.98,29.3,19.6,12.8,682.54,-4.0449,-1.0455,2.13,2.25,1.05,-0.34,2.59,2.34,2.19,69.55,-0.4213,-0.2832,0.609,0.1413,0.1954,2.2574,3.5585,1.3673,2.0924,3.0183,29.048,5.5665,8.3821,7.2718,0.4974,0.1324,0.7368,0.3091,0.2585,2.7711,0.9317,0.9205,1.088,3.5511,3.2162,3.6728,3.7704,10.1557,2.0508,2.0293,2.0162,2.0485,2.0109,6.3235,12.53,4.2567,4.1453,4.128,10.5675,2.1647,2.1267,2.1037,2.102,2.0705,1.4872,0.0726,0.0102,0.0255,0.0086,0.0187,1.0882,1.2959,0.2322,0.0239,0.0188,-104.93,30.1
ANITUO,93.78,2.62,197.23,2.52,8.16,7.35,33.4,24.1,13.7,607.03,-4.5961,-2.055,1.96,2.38,-0.07,-0.34,2.57,1.98,2.34,72.55,-0.4152,-0.2659,0.4523,-0.0624,0.1524,2.9593,3.65,1.2909,1.8696,2.8673,29.0845,5.4996,8.5427,7.222,0.6133,0.4315,0.5073,0.5828,0.1448,2.7631,0.8752,0.9508,1.0943,3.5959,3.2032,3.7373,3.8489,10.1426,2.0606,2.0193,2.0086,2.0459,2.0082,6.315,12.6187,4.26,4.1995,4.1592,10.4811,2.1564,2.1301,2.1219,2.0644,2.0083,1.4559,0.07,0.0199,0.0156,0.0119,0.0131,1.2222,1.0947,0.2711,0.0381,0.0314,-127.54,12.2
ANOVEG,87.01,8.6,185.68,2.77,9.49,12.37,31,25.1,17.2,815.97,-4.0142,-2.2652,1.96,2.17,-0.02,-0.3,2.58,2.09,2.25,72.76,-0.4004,-0.2914,0.4947,0.127,0.2086,2.6656,3.4363,1.2946,2.0302,2.0972,29.0737,5.4143,8.4236,8.3612,0.5909,0.3045,0.5345,0.4652,0.2411,2.7648,0.9012,0.9477,1.0894,3.5743,3.1659,3.7514,3.8381,10.1527,2.0435,2.0224,2.0093,2.0668,2.0107,6.3174,12.5837,4.2563,4.1913,4.1361,10.4989,2.1486,2.1128,2.0943,2.0706,2.0726,1.4127,0.0767,0.0188,0.0234,0.0085,0.0223,1.3266,1.4457,0.0723,0.0161,0.0082,-128.4,14
APAKUZ,89.05,1.76,193.52,2.16,7.91,9.2,31,23.3,16.2,700.2,-4.5813,-3.6831,1.94,1.91,-0.04,-0.04,2.55,2.05,2.51,67.07,-0.3871,-0.1847,0.3078,0.1667,0.1878,3.254,3.3015,1.229,2.111,2.0808,29.2048,5.3293,8.3383,8.4213,0.7382,0.2757,0.2828,0.4953,0.5368,2.7724,1.0079,0.955,0.9138,3.6458,3.6152,3.7971,3.5,10.1192,2.0204,2.039,2.021,2.0163,2.0225,6.2996,12.6886,4.2456,4.2336,4.2094,10.3985,2.1696,2.0737,2.0562,2.062,2.037,1.4099,0.078,0.0171,0.0246,0.0089,0.0214,1.3854,1.4325,0.0813,0.02,0.0118,-187.53,33.9
