Ligand,Old Indexes,New Indexes,Deprotonation Type
AADMPY10,"[2, 16]","[2, 16]",No Deprotonation
ABALIA01,"[2, 5]","[2, 5]",No Deprotonation
ABAMIB,"[3, 6]","[3, 6]",No Deprotonation
ABANOI,"[20, 23]","[20, 22]",Double Deprotonation
ABAVUW,"[0, 12]","[0, 11]",Single Deprotonation
ABEFIX,"[0, 1]","[0, 1]",Single Deprotonation
ABEJEX,"[2, 4]","[2, 4]",No Deprotonation
ABEKEZ,"[1, 3]","[1, 3]",Single Deprotonation
ABEMEA,"[1, 6]","[1, 5]",Single Deprotonation
ABENEB01,"[3, 4]","[3, 4]",Single Deprotonation
ABEQUW,"[0, 3]","[0, 2]",Single Deprotonation
ABEZEP,"[1, 6]","[1, 5]",Double Deprotonation
ABIDAS,"[27, 28]","[27, 28]",No Deprotonation
ABIPIL,"[2, 4]","[2, 3]",Double Deprotonation
ABIVAL,"[35, 38]","[35, 38]",No Deprotonation
ABIVUD,"[0, 10]","[0, 10]",Single Deprotonation
ABIWIT,"[3, 17]","[3, 16]",Single Deprotonation
ABIZAP01,"[21, 22]","[21, 22]",No Deprotonation
ABOCOM,"[34, 35]","[34, 35]",No Deprotonation
ABOHIL,"[32, 37]","[32, 36]",Single Deprotonation
ABOMOW,"[0, 2]","[0, 1]",Single Deprotonation
ABOQOA,"[3, 5]","[3, 5]",Single Deprotonation
ABORUE,"[1, 3]","[1, 2]",Single Deprotonation
ABOSAM,"[0, 1]","[0, 1]",Single Deprotonation
ABOSOB,"[0, 3]","[0, 3]",No Deprotonation
ABUFIP,"[2, 3]","[2, 3]",Single Deprotonation
ABUJUC,"[4, 6]","[4, 5]",Double Deprotonation
ABUKAJ,"[0, 2]","[0, 1]",Double Deprotonation
ABULIT,"[0, 2]","[0, 2]",Single Deprotonation
ABUWEC,"[2, 3]","[2, 3]",Single Deprotonation
ACACIS,"[14, 15]","[14, 15]",No Deprotonation
ACACOY,"[14, 15]","[14, 15]",No Deprotonation
ACACUE,"[11, 12]","[11, 12]",Single Deprotonation
ACADOS,"[29, 30]","[29, 30]",No Deprotonation
ACAJEV,"[1, 7]","[1, 7]",Single Deprotonation
ACAMIB01,"[5, 6]","[5, 6]",Single Deprotonation
OYAPIP02,"[1, 12]","[1, 12]",Double Deprotonation
OYEKUZ,"[10, 15]","[10, 15]",No Deprotonation
OYEMAH,"[15, 17]","[15, 16]",Single Deprotonation
OYEVEV,"[3, 4]","[3, 4]",Single Deprotonation
OYEWUL01,"[1, 4]","[1, 4]",Single Deprotonation
OYIFOS,"[3, 5]","[3, 5]",No Deprotonation
OYIGEK02,"[1, 2]","[1, 2]",No Deprotonation
OYINUG,"[11, 14]","[11, 14]",No Deprotonation
OYIPAO,"[11, 14]","[11, 14]",No Deprotonation
OYIPES,"[11, 14]","[11, 14]",No Deprotonation
OYIPIW,"[1, 17]","[1, 17]",No Deprotonation
OYIPOC,"[17, 20]","[17, 20]",No Deprotonation
OYIVOJ,"[34, 38]","[34, 38]",Single Deprotonation
OYOGIU,"[34, 35]","[34, 35]",Single Deprotonation
OYOHAN,"[31, 35]","[31, 35]",No Deprotonation
OYOJAP,"[2, 24]","[2, 24]",Single Deprotonation
OYORIF,"[0, 3]","[0, 3]",No Deprotonation
OYOSAY,"[0, 1]","[0, 1]",No Deprotonation
OYUKAW,"[0, 2]","[0, 2]",No Deprotonation
IJEBIL,"[5, 8]","[5, 8]",No Deprotonation
IJEHEL,"[1, 3]","[1, 3]",Single Deprotonation
IJEPAO,"[2, 3]","[2, 3]",No Deprotonation
IJEWID,"[0, 1]","[0, 1]",No Deprotonation
IJEZEC,"[0, 20]","[0, 20]",No Deprotonation
IJOBIV,"[1, 2]","[1, 2]",Single Deprotonation
IJOMIG,"[0, 1]","[0, 1]",No Deprotonation
IJOXAH,"[1, 4]","[1, 4]",Single Deprotonation
IJOXEL,"[31, 33]","[31, 32]",Single Deprotonation
IJOYEM,"[22, 23]","[22, 23]",No Deprotonation
IJOZOX,"[0, 1]","[0, 1]",Single Deprotonation
IJUBIZ,"[4, 51]","[4, 51]",No Deprotonation
IJUDUN01,"[5, 7]","[5, 6]",Single Deprotonation
IJUFID,"[9, 26]","[9, 26]",No Deprotonation
IJUGUP,"[0, 1]","[0, 1]",Single Deprotonation
IJUKAA,"[2, 3]","[2, 3]",Single Deprotonation
IJUKEE,"[1, 4]","[1, 4]",No Deprotonation
IJUNOQ,"[9, 25]","[9, 25]",Single Deprotonation
IJUPOS,"[9, 30]","[9, 30]",Single Deprotonation
IJUTEO,"[3, 4]","[3, 4]",No Deprotonation
ABIXAK,"[0, 1]","[0, 1]",Double Deprotonation
ACAMUN01,"[19, 20]","[18, 19]",Single Deprotonation
ACLTRY,"[12, 13]","[12, 13]",Single Deprotonation
ADAQEC,"[0, 1]","[0, 1]",Single Deprotonation
AFAPAB,"[1, 3]","[1, 2]",Double Deprotonation
AFIDOK,"[28, 29]","[28, 29]",Double Deprotonation
AFUXOR,"[2, 6]","[2, 6]",No Deprotonation
AGLCAM,"[18, 19]","[16, 17]",Double Deprotonation
AHIMUA,"[30, 31]","[30, 31]",No Deprotonation
AJAGOJ,"[0, 2]","[0, 1]",Double Deprotonation
AKAWIS,"[20, 30]","[20, 29]",Single Deprotonation
ALAMET01,"[12, 29]","[12, 28]",Single Deprotonation
AMAYAQ,"[21, 22]","[21, 22]",Double Deprotonation
AMITDZ,"[3, 11]","[3, 11]",Single Deprotonation
ANONAL11,"[5, 50]","[5, 50]",No Deprotonation
APOLUN,"[3, 5]","[3, 4]",Double Deprotonation
AQITOL,"[34, 35]","[34, 35]",No Deprotonation
ARFMAD,"[6, 7]","[6, 7]",No Deprotonation
ASOSEG,"[1, 2]","[1, 2]",Single Deprotonation
ATOJIC,"[2, 3]","[2, 3]",Single Deprotonation
ATUQEN,"[0, 2]","[0, 1]",Single Deprotonation
AVUVIW,"[12, 16]","[12, 15]",Double Deprotonation
AWULAG,"[0, 5]","[0, 5]",No Deprotonation
AXEJAQ,"[29, 30]","[29, 30]",Single Deprotonation
AYECAJ,"[2, 8]","[2, 8]",No Deprotonation
AYUFEG,"[29, 31]","[29, 30]",Double Deprotonation
AZDCAR01,"[5, 6]","[5, 6]",No Deprotonation
BABXUA,"[1, 3]","[1, 2]",Double Deprotonation
BAFDIX,"[0, 3]","[0, 3]",Single Deprotonation
ASOTUX,"[0, 1]","[0, 1]",Double Deprotonation
ASOXAI,"[1, 7]","[1, 6]",Double Deprotonation
ASOZIS,"[2, 5]","[2, 5]",No Deprotonation
ASPARM06,"[7, 8]","[7, 8]",No Deprotonation
ASPLOL,"[14, 15]","[14, 15]",Double Deprotonation
ASUMUW,"[0, 3]","[0, 2]",Single Deprotonation
ASUPOT,"[1, 2]","[1, 2]",Single Deprotonation
ASUWOB02,"[1, 5]","[1, 4]",Single Deprotonation
ASUYAO,"[27, 31]","[27, 31]",No Deprotonation
ATALOY,"[1, 3]","[1, 2]",Single Deprotonation
ATASIX,"[3, 4]","[3, 4]",Double Deprotonation
ATAWIC,"[6, 9]","[6, 8]",Single Deprotonation
ATDZPY,"[8, 10]","[8, 10]",No Deprotonation
ATESUO,"[38, 39]","[38, 39]",Single Deprotonation
ATETCY10,"[0, 8]","[0, 8]",Single Deprotonation
ATEXOO,"[0, 9]","[0, 9]",No Deprotonation
ATIJUK,"[6, 7]","[6, 7]",Single Deprotonation
ATIKAR,"[3, 5]","[3, 4]",Single Deprotonation
ATIKEV,"[0, 6]","[0, 5]",Single Deprotonation
ATIREC,"[5, 9]","[5, 8]",Double Deprotonation
ATISUT,"[0, 2]","[0, 2]",Double Deprotonation
ATIYUZ,"[6, 7]","[6, 7]",No Deprotonation
ATMHYD,"[5, 11]","[5, 11]",No Deprotonation
EWATUS,"[42, 43]","[42, 43]",No Deprotonation
EWAXAD,"[3, 5]","[3, 4]",Double Deprotonation
EWEKAS,"[0, 11]","[0, 11]",No Deprotonation
EWEVIM02,"[0, 2]","[0, 1]",Single Deprotonation
EWINON,"[0, 1]","[0, 1]",Single Deprotonation
EWIQOS,"[3, 7]","[3, 6]",Single Deprotonation
EWIQUY,"[5, 6]","[4, 5]",Single Deprotonation
EWIREJ,"[0, 6]","[0, 5]",Single Deprotonation
EWITAH,"[2, 4]","[2, 3]",Single Deprotonation
EWITEL,"[5, 6]","[4, 5]",Single Deprotonation
EWITOV,"[33, 36]","[33, 35]",Double Deprotonation
EWITUB,"[1, 2]","[1, 2]",Single Deprotonation
EWIVEN,"[1, 2]","[1, 2]",Single Deprotonation
EWOCUP,"[6, 7]","[6, 7]",No Deprotonation
EWOFUR,"[0, 4]","[0, 4]",No Deprotonation
EWOSOZ,"[1, 2]","[1, 2]",Double Deprotonation
EWOVAN,"[1, 4]","[1, 3]",Single Deprotonation
EWOZOF,"[0, 1]","[0, 1]",Single Deprotonation
EWOZUL,"[6, 8]","[6, 7]",Double Deprotonation
UDIDIW,"[1, 2]","[1, 2]",No Deprotonation
UDIGIA,"[14, 15]","[14, 15]",No Deprotonation
UDOVIT,"[26, 27]","[25, 26]",Single Deprotonation
UDOWOA,"[1, 2]","[1, 2]",No Deprotonation
UDOWUG,"[0, 1]","[0, 1]",No Deprotonation
UDUPUH,"[0, 2]","[0, 2]",No Deprotonation
UDUQIU,"[2, 3]","[2, 3]",No Deprotonation
UDUVIZ,"[2, 4]","[2, 4]",No Deprotonation
UDUYOH,"[2, 3]","[2, 3]",Single Deprotonation
UDUZIC,"[2, 3]","[2, 3]",Single Deprotonation
UFACIQ,"[0, 2]","[0, 1]",Single Deprotonation
UFACOW,"[0, 3]","[0, 3]",Single Deprotonation
UFAGOY,"[19, 22]","[19, 21]",Single Deprotonation
UFALOF,"[0, 2]","[0, 1]",Single Deprotonation
UFAMAS,"[2, 3]","[2, 3]",Single Deprotonation
UFAXAC,"[0, 2]","[0, 1]",Double Deprotonation
UFAYUV,"[16, 33]","[16, 33]",No Deprotonation
UFEBIQ,"[1, 2]","[1, 2]",Single Deprotonation
UFEBOW,"[1, 2]","[1, 2]",Single Deprotonation
UFECAJ,"[0, 1]","[0, 1]",Single Deprotonation
UFECAL,"[21, 22]","[21, 22]",Single Deprotonation
UFECAL01,"[2, 4]","[2, 3]",Double Deprotonation
UFEHEV,"[4, 7]","[4, 7]",Single Deprotonation
UFEQOM,"[8, 13]","[8, 13]",No Deprotonation
UFINAZ,"[0, 1]","[0, 1]",Single Deprotonation
UFIQIJ,"[0, 1]","[0, 1]",Double Deprotonation
UFIQUV,"[6, 8]","[6, 8]",No Deprotonation
UFIWOW,"[0, 1]","[0, 1]",No Deprotonation
UFOCEA,"[2, 4]","[2, 3]",Single Deprotonation
UFOMUZ,"[1, 2]","[1, 2]",Double Deprotonation
UFUJUB,"[0, 4]","[0, 4]",Single Deprotonation
UFUPIV,"[36, 37]","[36, 37]",No Deprotonation
UFURIW,"[4, 5]","[4, 5]",Single Deprotonation
UFUVOG,"[1, 4]","[1, 4]",Single Deprotonation
UGAFIU,"[2, 3]","[2, 3]",Single Deprotonation
UGAREC,"[1, 2]","[1, 2]",Single Deprotonation
UGAWIK,"[30, 31]","[30, 31]",No Deprotonation
UGAYUZ,"[2, 4]","[2, 3]",Single Deprotonation
LUYQIF,"[10, 16]","[10, 16]",Single Deprotonation
LUZJOF,"[0, 1]","[0, 1]",Single Deprotonation
LUZMAV,"[0, 6]","[0, 6]",Single Deprotonation
LYFURA,"[11, 13]","[11, 13]",Double Deprotonation
MABXOE,"[2, 3]","[2, 3]",No Deprotonation
MACKAD,"[52, 53]","[52, 53]",No Deprotonation
MACLAE01,"[2, 3]","[2, 3]",Single Deprotonation
MADCMP,"[27, 28]","[27, 28]",No Deprotonation
MADDEE,"[0, 5]","[0, 5]",Single Deprotonation
MADENS10,"[28, 29]","[28, 29]",No Deprotonation
MADLOU,"[3, 6]","[3, 6]",Single Deprotonation
MADMOV,"[1, 2]","[1, 2]",Single Deprotonation
MADMUB,"[1, 3]","[1, 2]",Single Deprotonation
MAFXEX,"[2, 4]","[2, 4]",Single Deprotonation
MAFZID,"[0, 17]","[0, 17]",Single Deprotonation
MAGCAZ,"[3, 6]","[3, 6]",Single Deprotonation
MAGJIQ,"[2, 3]","[2, 3]",No Deprotonation
MAGRUL,"[4, 5]","[4, 5]",No Deprotonation
MAGTAR,"[5, 6]","[5, 6]",Single Deprotonation
CEBVIQ,"[33, 34]","[33, 34]",No Deprotonation
CEBXEO,"[19, 23]","[19, 22]",Double Deprotonation
CEBZIU,"[13, 24]","[13, 24]",Single Deprotonation
CEBZUE10,"[11, 12]","[11, 12]",No Deprotonation
CECBAP,"[8, 12]","[8, 12]",Single Deprotonation
CECBUJ,"[14, 15]","[14, 15]",No Deprotonation
CECFEX,"[1, 7]","[1, 6]",Single Deprotonation
CECZER,"[2, 5]","[2, 4]",Single Deprotonation
CEDGUN,"[11, 13]","[11, 13]",No Deprotonation
CEDKIH,"[0, 9]","[0, 9]",No Deprotonation
CEDPAF,"[1, 5]","[1, 5]",Single Deprotonation
CEDQAF,"[0, 5]","[0, 5]",No Deprotonation
CEDROU,"[0, 3]","[0, 3]",No Deprotonation
CEFCOU,"[2, 15]","[2, 15]",No Deprotonation
CEFJUS,"[2, 11]","[2, 11]",Single Deprotonation
CEFNAE,"[0, 6]","[0, 6]",No Deprotonation
CEFRAI,"[3, 5]","[3, 5]",No Deprotonation
CEFTIQ,"[13, 14]","[13, 14]",Single Deprotonation
CEFTUD,"[0, 4]","[0, 3]",Single Deprotonation
XEJLON,"[1, 3]","[1, 2]",Single Deprotonation
XEJLUW,"[4, 6]","[4, 6]",No Deprotonation
XEJREM,"[4, 5]","[4, 5]",Single Deprotonation
XEJTIS,"[2, 5]","[2, 5]",No Deprotonation
XEJVIU,"[0, 2]","[0, 1]",Single Deprotonation
XEJXIU,"[2, 3]","[2, 3]",Single Deprotonation
XEKLAB,"[0, 5]","[0, 5]",No Deprotonation
XEKXER,"[3, 5]","[3, 4]",Double Deprotonation
XEKYES,"[18, 20]","[18, 19]",Double Deprotonation
XELJEE,"[0, 1]","[0, 1]",No Deprotonation
XELKEE,"[1, 3]","[1, 3]",Single Deprotonation
XELSIT,"[31, 34]","[31, 34]",No Deprotonation
XELYAQ,"[0, 32]","[0, 32]",Single Deprotonation
XELZAR,"[0, 36]","[0, 36]",No Deprotonation
XEMBOI,"[3, 6]","[3, 6]",No Deprotonation
XEMMIN,"[0, 1]","[0, 1]",Single Deprotonation
XEMNEK,"[1, 3]","[1, 2]",Double Deprotonation
XEMQOX,"[3, 4]","[3, 4]",Single Deprotonation
XEMVET,"[1, 3]","[1, 2]",Single Deprotonation
GIKVAX,"[21, 22]","[21, 22]",Single Deprotonation
GIKXEF,"[0, 2]","[0, 2]",No Deprotonation
GILJAO,"[1, 2]","[1, 2]",Single Deprotonation
GILNUN,"[1, 5]","[1, 5]",No Deprotonation
GILQAW,"[0, 12]","[0, 12]",No Deprotonation
GILQEA,"[0, 4]","[0, 4]",No Deprotonation
GIMBUZ01,"[1, 4]","[1, 4]",Single Deprotonation
GIMPAU,"[0, 1]","[0, 1]",Single Deprotonation
GIMRUP10,"[2, 17]","[2, 16]",Double Deprotonation
GIMSAY,"[1, 2]","[1, 2]",Single Deprotonation
GIMSEB,"[0, 1]","[0, 1]",Single Deprotonation
GIMSUR,"[8, 11]","[8, 10]",Single Deprotonation
GIMYAC,"[8, 9]","[8, 9]",No Deprotonation
GINCAI01,"[16, 18]","[16, 17]",Single Deprotonation
GINCOW,"[0, 3]","[0, 3]",No Deprotonation
GINHIV,"[1, 5]","[1, 5]",Single Deprotonation
GINKOE,"[21, 25]","[21, 24]",Double Deprotonation
GINQAX,"[0, 21]","[0, 20]",Single Deprotonation
GINXEH,"[1, 8]","[1, 8]",Single Deprotonation
GINZIN,"[4, 5]","[4, 5]",No Deprotonation
GIPBIQ,"[7, 8]","[7, 8]",No Deprotonation
GIPGIV,"[1, 10]","[1, 10]",No Deprotonation
GIPLUP,"[27, 30]","[27, 29]",Single Deprotonation
GIPWIM,"[8, 9]","[8, 9]",Single Deprotonation
GIQCIS,"[16, 17]","[16, 17]",Single Deprotonation
GIQHUM,"[0, 1]","[0, 1]",Single Deprotonation
GIQJEY,"[0, 1]","[0, 1]",Single Deprotonation
GIQKUM,"[0, 1]","[0, 1]",Single Deprotonation
GIQLEX,"[0, 1]","[0, 1]",Single Deprotonation
GIQMIC,"[7, 8]","[7, 8]",Single Deprotonation
GIQMUP,"[3, 4]","[3, 4]",Single Deprotonation
GIQNUQ,"[1, 7]","[1, 7]",No Deprotonation
GIQQUS,"[2, 5]","[2, 5]",Single Deprotonation
GIQYEK,"[2, 3]","[2, 3]",Single Deprotonation
GIRFIX,"[1, 2]","[1, 2]",Single Deprotonation
GIRFOD,"[2, 13]","[2, 12]",Single Deprotonation
GIRKOI,"[2, 3]","[2, 3]",Single Deprotonation
GIRLEZ,"[47, 49]","[47, 48]",Single Deprotonation
RUJDUY,"[2, 4]","[2, 3]",Double Deprotonation
RUJHOU,"[0, 1]","[0, 1]",Single Deprotonation
RUJHUB,"[0, 2]","[0, 1]",Double Deprotonation
RUJJEM,"[1, 3]","[1, 3]",No Deprotonation
RUJKOX,"[1, 4]","[1, 4]",No Deprotonation
RUJMUH,"[7, 13]","[7, 13]",No Deprotonation
RUJNAO,"[4, 9]","[4, 9]",Single Deprotonation
RUJPAQ,"[1, 6]","[1, 6]",Single Deprotonation
RUJVAT,"[0, 3]","[0, 3]",Single Deprotonation
RUJYIG,"[1, 11]","[1, 11]",No Deprotonation
RUKCIK,"[1, 2]","[1, 2]",No Deprotonation
RUKLOB,"[1, 3]","[1, 2]",Double Deprotonation
RUKNER,"[0, 2]","[0, 1]",Double Deprotonation
RUKQOG,"[4, 5]","[4, 5]",Single Deprotonation
RULCOQ,"[1, 4]","[1, 4]",Single Deprotonation
RULFEL,"[2, 6]","[2, 5]",Single Deprotonation
RULGEN,"[1, 6]","[1, 5]",Single Deprotonation
RULKER,"[0, 1]","[0, 1]",Single Deprotonation
RULKIV,"[0, 2]","[0, 2]",Single Deprotonation
MAJDAF,"[0, 2]","[0, 2]",No Deprotonation
MAJROG,"[0, 5]","[0, 5]",No Deprotonation
MAJXEA,"[20, 21]","[20, 21]",No Deprotonation
MAKGAI,"[1, 6]","[1, 5]",Single Deprotonation
MAKJEP,"[20, 21]","[20, 21]",Single Deprotonation
MAKXED01,"[17, 18]","[17, 18]",No Deprotonation
MAKXEE,"[1, 5]","[1, 5]",Single Deprotonation
MAKXEF,"[2, 4]","[2, 3]",Double Deprotonation
MALBEJ,"[3, 7]","[3, 6]",Single Deprotonation
MALHYZ11,"[0, 9]","[0, 9]",No Deprotonation
MALPAR,"[0, 22]","[0, 22]",Single Deprotonation
MALQIA,"[22, 25]","[22, 25]",Single Deprotonation
MALSIB,"[8, 10]","[8, 10]",Single Deprotonation
MALTPY01,"[23, 24]","[21, 22]",Double Deprotonation
MALXOQ,"[11, 12]","[11, 12]",Single Deprotonation
MAMDUD,"[1, 3]","[1, 3]",No Deprotonation
MAMHCA,"[4, 9]","[4, 9]",No Deprotonation
MAMRID,"[1, 2]","[1, 2]",Single Deprotonation
MAMSAW,"[0, 3]","[0, 2]",Single Deprotonation
MANAPQ10,"[21, 22]","[21, 22]",No Deprotonation
NERJOK,"[0, 5]","[0, 5]",Single Deprotonation
NERLUS,"[0, 6]","[0, 6]",Single Deprotonation
NERPEG,"[30, 34]","[30, 33]",Double Deprotonation
NERPIL,"[3, 5]","[3, 5]",No Deprotonation
NERPUX,"[0, 4]","[0, 4]",No Deprotonation
NERROU,"[0, 3]","[0, 3]",Single Deprotonation
NERTOV,"[3, 4]","[3, 4]",Single Deprotonation
NERVIQ,"[1, 16]","[1, 16]",Single Deprotonation
NESDOH,"[4, 7]","[4, 6]",Double Deprotonation
NESHAV,"[3, 6]","[3, 6]",No Deprotonation
NESKUT,"[3, 6]","[3, 6]",No Deprotonation
NESPOR,"[0, 2]","[0, 1]",Single Deprotonation
NESSAI,"[0, 2]","[0, 1]",Single Deprotonation
NESTEL,"[13, 19]","[13, 18]",Single Deprotonation
NESTIP,"[7, 10]","[7, 10]",Single Deprotonation
NESTUB,"[0, 1]","[0, 1]",Single Deprotonation
NESVEN,"[6, 8]","[6, 8]",Single Deprotonation
NESYEQ,"[20, 22]","[20, 21]",Double Deprotonation
NESYOC,"[1, 3]","[1, 2]",Double Deprotonation
TAQGID,"[2, 3]","[2, 3]",Single Deprotonation
TAQHOL,"[2, 3]","[2, 3]",No Deprotonation
TAQJED,"[15, 17]","[15, 16]",Double Deprotonation
TAQJON,"[1, 3]","[1, 2]",Double Deprotonation
TAQKEE,"[22, 23]","[22, 23]",Single Deprotonation
TAQNEH,"[2, 6]","[2, 6]",Single Deprotonation
TAQXAL,"[2, 3]","[2, 3]",Single Deprotonation
TARGEY,"[1, 2]","[1, 2]",No Deprotonation
TARGOI,"[2, 3]","[2, 3]",Single Deprotonation
TARKIH,"[2, 4]","[2, 4]",No Deprotonation
TARMIJ,"[0, 3]","[0, 2]",Single Deprotonation
TARNOQ,"[3, 4]","[3, 4]",No Deprotonation
TASDOJ,"[2, 3]","[2, 3]",Single Deprotonation
TASFIF,"[1, 9]","[1, 8]",Single Deprotonation
TASHAW01,"[1, 3]","[1, 3]",Single Deprotonation
TASKED,"[13, 33]","[13, 33]",No Deprotonation
TASPIN,"[13, 14]","[13, 14]",No Deprotonation
TASPUZ,"[13, 14]","[13, 14]",No Deprotonation
TASQEK,"[22, 23]","[22, 23]",No Deprotonation
KEVFEX,"[2, 30]","[2, 30]",No Deprotonation
KEVNUX,"[0, 2]","[0, 1]",Single Deprotonation
KEVPIK,"[10, 12]","[10, 12]",Double Deprotonation
KEVRAG,"[15, 19]","[15, 18]",Double Deprotonation
KEVSUB,"[2, 4]","[2, 4]",Single Deprotonation
KEWGAV,"[27, 29]","[27, 28]",Double Deprotonation
KEWGUO,"[2, 3]","[2, 3]",Single Deprotonation
KEWJIF01,"[5, 8]","[5, 8]",No Deprotonation
KEWJOO,"[1, 3]","[1, 2]",Single Deprotonation
KEXBAR,"[0, 1]","[0, 1]",No Deprotonation
KEXTAK,"[0, 10]","[0, 9]",Single Deprotonation
KEYWEQ,"[3, 4]","[3, 4]",Single Deprotonation
KEYWIX,"[4, 6]","[4, 6]",Single Deprotonation
KEYYEU,"[0, 37]","[0, 36]",Single Deprotonation
KEZCOK,"[0, 3]","[0, 3]",No Deprotonation
KEZKAC,"[1, 3]","[1, 3]",No Deprotonation
KEZKEG,"[1, 2]","[1, 2]",Single Deprotonation
KEZKIL,"[27, 28]","[27, 28]",Single Deprotonation
KEZNIM,"[9, 12]","[9, 12]",Double Deprotonation
VOMQIX,"[2, 14]","[2, 14]",No Deprotonation
VOMROF,"[12, 15]","[11, 14]",Single Deprotonation
VOMXIE,"[1, 12]","[1, 12]",No Deprotonation
VOMXOK,"[10, 11]","[10, 11]",Single Deprotonation
VOMYEB,"[6, 10]","[6, 10]",Single Deprotonation
VOMZAZ,"[15, 16]","[15, 16]",Double Deprotonation
VONPEW,"[1, 3]","[1, 3]",No Deprotonation
VONYUS,"[5, 14]","[5, 13]",Double Deprotonation
VONZOP,"[3, 5]","[3, 5]",No Deprotonation
VOPJEP,"[0, 4]","[0, 4]",No Deprotonation
VOPKER,"[0, 3]","[0, 3]",No Deprotonation
VOPNUK,"[15, 34]","[15, 34]",No Deprotonation
VOPWEF,"[1, 4]","[1, 4]",Single Deprotonation
VOPWOP,"[2, 5]","[2, 4]",Single Deprotonation
VOQBUB,"[56, 59]","[56, 58]",Single Deprotonation
VOQFUF,"[0, 13]","[0, 13]",No Deprotonation
VOQKAN,"[18, 19]","[18, 19]",No Deprotonation
VOQKAO,"[1, 5]","[1, 4]",Single Deprotonation
VOQKIW,"[10, 11]","[10, 11]",Single Deprotonation
CEFZET,"[2, 3]","[2, 3]",Single Deprotonation
CEGFAX,"[13, 16]","[13, 16]",No Deprotonation
CEGKEG,"[18, 23]","[18, 23]",No Deprotonation
CEGNOT,"[2, 3]","[2, 3]",No Deprotonation
CEGPIN,"[0, 10]","[0, 10]",Single Deprotonation
CEGQEM,"[0, 5]","[0, 5]",No Deprotonation
CEGVIW,"[0, 2]","[0, 2]",No Deprotonation
CEGVUH,"[2, 3]","[2, 3]",Single Deprotonation
CEGXUJ,"[3, 4]","[3, 4]",Single Deprotonation
CEHCUQ,"[1, 2]","[1, 2]",Single Deprotonation
CEHGIH,"[0, 4]","[0, 4]",No Deprotonation
CEHLEG,"[0, 1]","[0, 1]",Double Deprotonation
CEHNIN,"[2, 4]","[2, 4]",Single Deprotonation
CEJDON,"[11, 13]","[11, 12]",Double Deprotonation
CEJKEJ,"[1, 2]","[1, 2]",No Deprotonation
CEJMAF,"[1, 2]","[1, 2]",No Deprotonation
CEJPAI,"[4, 11]","[4, 11]",No Deprotonation
CEJREP01,"[0, 2]","[0, 1]",Single Deprotonation
CEJSOA,"[1, 2]","[1, 2]",No Deprotonation
XENFUR,"[0, 1]","[0, 1]",No Deprotonation
XENJUX,"[12, 15]","[12, 15]",Single Deprotonation
XENLAF,"[0, 47]","[0, 47]",No Deprotonation
XENQEN,"[0, 2]","[0, 1]",Double Deprotonation
XEPJOR,"[0, 2]","[0, 2]",No Deprotonation
XEPQEO,"[2, 5]","[2, 5]",Single Deprotonation
XEPSUG,"[0, 1]","[0, 1]",No Deprotonation
XEQVAR,"[0, 10]","[0, 10]",Double Deprotonation
XEQYUO,"[0, 1]","[0, 1]",Single Deprotonation
XERDAZ,"[1, 2]","[1, 2]",Single Deprotonation
XERPIU,"[2, 17]","[2, 17]",No Deprotonation
XERPOA,"[11, 14]","[11, 14]",No Deprotonation
XESRIW,"[4, 9]","[4, 8]",Double Deprotonation
XESTUM,"[23, 24]","[23, 24]",No Deprotonation
XESVAU,"[1, 2]","[1, 2]",No Deprotonation
XESXEZ,"[0, 4]","[0, 3]",Double Deprotonation
XESZUR,"[1, 3]","[1, 2]",Double Deprotonation
XETJIQ,"[1, 2]","[1, 2]",Single Deprotonation
XETKIR,"[29, 31]","[29, 30]",Single Deprotonation
YEYDUC,"[0, 1]","[0, 1]",Single Deprotonation
YEYLOF,"[49, 52]","[49, 51]",Single Deprotonation
YEYLUK,"[0, 2]","[0, 1]",Double Deprotonation
YEYLUL,"[56, 58]","[56, 57]",Single Deprotonation
YEYMAR,"[2, 5]",Error,Double Deprotonation
YEYREB,"[3, 4]","[3, 4]",Double Deprotonation
YEYTEC,"[1, 5]","[1, 5]",No Deprotonation
YEYXAD,"[0, 2]","[0, 1]",Single Deprotonation
YEYXEH,"[0, 3]","[0, 2]",Single Deprotonation
YIBGIZ,"[1, 3]","[1, 3]",No Deprotonation
YIBGOF,"[1, 2]","[1, 2]",No Deprotonation
YIBROQ,"[1, 5]","[1, 5]",No Deprotonation
YIBZAK,"[1, 5]","[1, 5]",No Deprotonation
YIBZEO,"[2, 6]","[2, 6]",No Deprotonation
YICBIV,"[1, 4]","[1, 4]",No Deprotonation
YICGUM,"[8, 17]","[8, 17]",No Deprotonation
YICRIO,"[31, 33]","[31, 32]",Single Deprotonation
YICSUB,"[2, 4]","[2, 4]",No Deprotonation
YICWUD,"[3, 4]","[3, 4]",Single Deprotonation
HIQJEW,"[2, 3]","[2, 3]",Single Deprotonation
HIQKAT,"[0, 4]","[0, 4]",No Deprotonation
HIQKEX,"[2, 3]","[2, 3]",Single Deprotonation
HIQMAV,"[1, 2]","[1, 2]",No Deprotonation
HIQMEZ,"[1, 2]","[1, 2]",No Deprotonation
HIQNAW,"[0, 32]","[0, 32]",No Deprotonation
HIQNIE,"[7, 10]","[7, 10]",No Deprotonation
HIQROO,"[2, 15]","[2, 15]",Single Deprotonation
