Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
ADOFEG,0,-0.2,-1.5,16.9,-63,-1.3,17.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADOGEG01,0,-16.1,-8.6,12.3,-63,7.5,28.3,Minimum,Minimum,Incorrect TS,Correct TS
ADOKIN,0,-27.8,72.2,5.4,-63,100,33.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADOSHC,0,-38.6,-52.2,No Value,-63,-13.6,No Value,Not Minimum,Minimum,Incorrect TS,Calc Fail
ADOTUJ,0,-12.8,6.9,8.3,-63,19.8,21.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADOXAV,0,-15.1,-2.4,3.9,-63,12.7,19,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADOXEZ,0,-10.6,6.9,6.6,-63,17.5,17.1,Minimum,Minimum,Correct TS,Correct TS
ADPCPY,0,-13.5,-4.8,-5,-63,8.7,8.5,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ADRENC,0,-1840.5,-1848.4,-1821.7,-63,-8,18.8,Not Minimum,Minimum,Incorrect TS,Correct TS
ADRENL,0,-2,-7.2,17.7,-63,-5.1,19.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADRTAR,0,-2.8,-10.9,17.8,-63,-8.1,20.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ADUPIY,0,-12.4,16.1,9.7,-63,28.5,22.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADUXON,0,-4.9,22.1,11.5,-63,27,16.4,Minimum,Not Minimum,Correct TS,Correct TS
ADUYUU,0,-2.8,19.8,12.8,-63,22.6,15.6,Minimum,Minimum,Correct TS,Correct TS
ADUZAB,0,-2.1,5.5,13.2,-63,7.6,15.4,Minimum,Not Minimum,Incorrect TS,Correct TS
AFABIT,0,-30.7,-22.1,13.8,-63,8.6,44.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFAFIX,0,-12.7,4.7,8.1,-63,17.4,20.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AFAPAB,0,-14.5,-17.1,2.1,-63,-2.6,16.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AFAPIH,0,-3.1,-11.3,18.3,-63,-8.2,21.4,Minimum,Minimum,Incorrect TS,Correct TS
AFAPUT,0,-3.6,-7.8,18.1,-63,-4.2,21.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFAXUC,0,-12.5,2.9,7.7,-63,15.5,20.2,Minimum,Minimum,Incorrect TS,Correct TS
AFAZAK,0,-8.7,10.4,9.1,-63,19.1,17.9,Minimum,Minimum,Correct TS,Correct TS
AFEBOC,0,-6,11.4,10.8,-63,17.4,16.8,Minimum,Minimum,Correct TS,Correct TS
AFENOP,0,-4.7,20.3,15.4,-63,25,20.2,Minimum,Minimum,Incorrect TS,Correct TS
AFEQEJ,0,-13.7,-9.2,12,-63,4.5,25.6,Minimum,Minimum,Incorrect TS,Correct TS
AFEQIN,0,-13.7,-10.1,13.5,-63,3.6,27.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEQOS,0,-6.2,-8.4,14.7,-63,-2.2,21,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEQOT,0,-13.4,-12.8,13.8,-63,0.5,27.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFERAG,0,-14.8,-14.3,11.8,-63,0.6,26.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEREJ,0,-14.6,-8.9,13.1,-63,5.7,27.7,Minimum,Minimum,Incorrect TS,Correct TS
AFESEJ,0,-15,16.8,12.6,-63,31.8,27.5,Minimum,Minimum,Correct TS,Correct TS
AFESUA,0,1.4,-11.4,19.8,-63,-11.4,19.8,Minimum,Not Minimum,Incorrect TS,Correct TS
AFESUZ,0,-2.6,19.7,15.8,-63,22.3,18.4,Minimum,Minimum,Correct TS,Correct TS
AFETOU,0,-9.1,12.6,11.9,-63,21.7,20.9,Minimum,Minimum,Correct TS,Correct TS
AFEVIR,0,-3.4,1,20.6,-63,4.4,24,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEWIS,0,-7.2,19.9,7.6,-63,27.1,14.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEWOY,0,-4.7,22.7,10.4,-63,27.4,15.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFIDOK,0,-2.6,-16.7,20,-63,-14.1,22.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFIDUQ,0,-0.8,-14.3,21.4,-63,-13.5,22.2,Minimum,Minimum,Incorrect TS,Correct TS
AFIGOO,0,-5.2,-9.2,14.2,-63,-4,19.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
