Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
ATMHYD,78.27,6.62,169.65,1.6,-3.2311,-2.2213,0.3563,-0.1967,1.3652,2.0013,5.8746,8.4462,0.2978,1.0306,10.1542,6.307,12.5669,9.7698,1.4541,0.0579,12
YERRUI,78.35,1.93,185.65,2.14,-3.2066,-2.229,0.2671,-0.2082,1.3723,3.1804,5.9648,8.4164,0.2981,1.0269,10.1677,6.3165,12.6289,9.7875,1.4821,0.0588,19.3
BILSAQ,80.44,10.07,174.69,1.7,-3.1134,-2.7675,0.37,-0.1843,1.3097,1.9994,5.8869,8.331,0.2985,1.0101,10.1476,6.3012,12.5835,9.7454,1.4869,0.0572,17.7
LILVAG,78.86,1.26,176.26,1.82,-2.7277,-1.7701,0.1735,-0.2191,1.3585,3.1028,5.8501,7.0321,0.2987,1.0294,10.1887,6.3654,12.6464,9.8148,1.2245,0.0133,26
MOTCII,81,0.45,205.96,2.15,-3.5478,-2.6913,0.3028,-0.1894,1.3152,2.0363,5.737,7.0376,0.2988,1.1002,10.1406,6.3165,12.6301,9.7507,1.414,0.0125,23.4
OYUKAW,81.26,2.58,180.25,1.8,-2.8848,-2.5162,0.2925,-0.2213,1.366,1.984,5.8618,7.2196,0.2989,1.0236,10.1735,6.3197,12.5723,9.8155,1.3008,0.0126,25.1
EMAWUL,82.52,11.83,178.68,1.55,-3.3881,-3.1275,0.3743,-0.1967,1.3425,2.0142,5.8766,8.3476,0.2989,1.0166,10.1524,6.2881,12.5956,9.742,1.4906,0.0582,18.6
XOKXUS,60.22,2.05,149.19,2.23,-2.5366,-1.6088,0.3224,-0.2147,1.4148,1.8666,5.8399,8.4984,0.2993,1.0209,10.1962,6.3498,12.5196,9.8083,1.5513,0.0443,24.7
QOQVAT,81.04,-0.43,183.07,1.79,-3.3397,-2.6988,0.2986,-0.1898,1.3018,2.0017,5.8242,7.034,0.2993,0.9984,10.1527,6.3101,12.6274,9.7639,1.3492,0.01,24.1
CBOHAZ,75.33,3.47,161,2.19,-2.7309,-1.7465,0.2832,-0.2213,1.3528,2.7337,6.0111,8.5328,0.2994,1.0545,10.1764,6.3462,12.5413,9.8292,1.4678,0.0656,18.2
ZEVPOH,87.29,-16.56,176.68,1.45,-2.663,-1.7598,0.2732,-0.2121,1.3961,3.1232,5.8752,8.4537,0.2996,1.023,10.1787,6.3331,12.5585,9.8352,1.5368,0.0431,30.6
NOBYEI,83.4,0.46,179.79,1.7,-2.6127,-1.9358,0.2826,-0.2167,1.3742,1.9975,5.8427,7.0613,0.2996,1.0303,10.1902,6.3129,12.5943,9.8103,1.3823,0.0101,26.1
KEMMOG,79.71,1.55,185.27,1.89,-3.164,-2.1454,0.2014,-0.2157,1.3469,3.195,5.8305,7.0001,0.2997,1.0093,10.1717,6.3498,12.6484,9.8004,1.4006,0.0134,21.6
RUTFET,82.27,13.37,194,2.32,-3.2187,-3.1783,0.3338,-0.1936,1.2665,1.9107,5.89,6.9931,0.2997,1.0233,10.1602,6.308,12.6295,9.7287,1.3045,0.0281,27
CANLOT,88.03,4.26,175.4,2.51,-2.9424,-2.3533,0.3674,-0.1966,1.4399,1.9317,5.846,8.4626,0.3006,1.0096,10.2054,6.3154,12.5384,9.7787,1.4528,0.0643,49.3
WOQXIL,82.72,11.24,196.79,1.7,-3.4103,-2.9074,0.3123,-0.1772,1.2945,1.99,5.6607,6.888,0.3007,1.0898,10.1418,6.3075,12.6521,9.7281,1.2207,0.0145,16.5
MEBTUK,79.57,2.67,217.16,2.6,-3.3005,-2.759,0.2779,-0.2163,1.3551,2.8829,5.9684,8.4033,0.3009,1.0951,10.1615,6.3145,12.6378,9.7699,1.5246,0.058,13.7
RAKRAY,79.16,15.82,184.62,1.75,-2.9872,-2.6099,0.3814,-0.215,1.2997,2.0297,5.8912,8.5878,0.3011,1.0461,10.1647,6.2895,12.5839,9.7452,1.4493,0.0661,65
WOVXIO,72.6,3.02,159,2.26,-3.3444,-2.8123,0.2395,-0.1887,1.3372,2.9052,5.7822,7.6872,0.3012,1.0393,10.1516,6.3598,12.6162,9.7845,1.4326,0.0144,17.9
SERLEJ,79.08,-1.64,240.04,1.78,-3.8909,-3.0347,0.203,-0.1777,1.2828,3.1826,5.7805,7.0116,0.3018,1.007,10.1473,6.3484,12.6977,9.7508,1.2,0.0121,11.9
NICCEH,74,4.76,203.99,2.37,-2.8937,-1.7651,0.2812,-0.2191,1.3341,3.1145,6.0073,8.4639,0.3023,1.0469,10.1768,6.3461,12.5548,9.8178,1.4895,0.0527,16.3
QITSUK,77.55,4.15,222.31,2.9,-2.8542,-2.2889,0.2757,-0.2188,1.3678,1.9774,6.0047,6.9766,0.3023,1.0428,10.1742,6.3327,12.5734,9.8183,1.2565,0.0132,14.7
DAHMII,87.53,-17.22,196.31,1.52,-2.6544,-1.7717,0.279,-0.2122,1.4049,2.0385,5.9036,7.0156,0.303,1.0252,10.1774,6.3307,12.5557,9.8346,1.4356,0.0096,32
OMODAV,63.93,1.88,230.68,3.01,-2.6552,-1.7095,0.199,-0.2151,1.3705,3.06,5.7965,7.1511,0.3038,1.0216,10.1984,6.3641,12.6027,9.8342,1.4217,0.01,25
ARADED,81.97,1,178.14,1.77,-2.7588,-2.3303,0.2752,-0.2157,1.3855,2.0037,5.9105,6.9122,0.3038,1.0429,10.1838,6.3163,12.5997,9.8087,1.3561,0.0133,26.2
VATZAT,78.32,0.03,181.39,1.48,-3.5215,-2.579,0.293,-0.1885,1.3288,2.0212,5.7562,7.0249,0.3041,0.9988,10.1486,6.3262,12.6235,9.7573,1.3528,0.0123,17.7
LIPXOZ,79.85,4.92,174.92,1.7,-2.9596,-2.2689,0.3704,-0.204,1.3194,2.0211,5.9625,8.3697,0.3047,1.0295,10.1562,6.3046,12.5509,9.7741,1.487,0.0628,16.1
OPATUV,77.77,-0.19,199.57,2.61,-3.7538,-2.5083,0.294,-0.2091,1.3606,2.0007,5.9001,7.0051,0.3052,1.0278,10.1535,6.317,12.5976,9.7914,1.4669,0.017,7.8
POPJEK,80.89,-1.01,174.11,2.07,-3.229,-2.3614,0.2885,-0.2022,1.3508,2.0352,5.875,6.8702,0.3054,1.0178,10.1589,6.3174,12.6085,9.7857,1.3655,0.0132,26.2
HINBAJ,84.38,0.5,191.81,1.76,-2.773,-1.7267,0.1723,-0.2244,1.3675,3.2096,5.8708,7.0923,0.3056,1.0538,10.1886,6.3553,12.6399,9.8325,1.352,0.0091,28.2
PALQUQ,79.02,2.55,222.8,3,-2.8103,-2.0595,0.2999,-0.2187,1.3735,1.996,5.9911,7.1513,0.3057,1.042,10.1766,6.3259,12.5578,9.8165,1.2849,0.0097,19.1
YEBBUC,74.38,8.29,230.73,2.29,-3.8396,-2.5557,0.2712,-0.1489,1.2733,1.8312,5.7177,6.9088,0.3057,1.0264,10.1441,6.3125,12.6752,9.7411,1.2511,0.0264,8.9
DUPKII,77.8,3.44,211.57,3.2,-3.2106,-2.4559,0.2795,-0.2252,1.3613,1.9711,6.0119,6.9138,0.3062,1.0999,10.1665,6.3139,12.6274,9.7793,1.3202,0.0166,12.2
HUKHUQ,80.44,2.68,214.97,2.29,-2.6543,-1.5106,0.1936,-0.2319,1.3379,3.0043,5.8149,7.143,0.3066,1.0944,10.2017,6.3617,12.636,9.8087,1.2997,0.0094,25.1
HEZNAE,73.41,4.84,196.89,1.87,-3.3964,-2.672,0.2933,-0.2122,1.325,1.9904,6.0488,7.0174,0.3071,1.084,10.1509,6.3312,12.6132,9.7622,1.2789,0.0137,21.4
SIVYUR,95.61,5.53,185.48,1.55,-3.3348,-2.954,0.3626,-0.1788,1.3389,1.965,5.8485,8.453,0.3072,1.0074,10.1436,6.3042,12.5848,9.7484,1.4703,0.0484,14.9
ACANAC12,79.61,6.5,174.07,3.26,-2.9275,-1.8723,0.2934,-0.2166,1.3267,2.6801,5.8611,8.4183,0.3074,1.0549,10.1757,6.3133,12.6025,9.7907,1.4608,0.06,25
OXOPUN,81.34,14.55,181.47,1.91,-2.7928,-1.9612,0.2744,-0.2023,1.3366,1.9087,6.0058,6.9645,0.3075,1.0354,10.1668,6.3234,12.612,9.7901,1.3559,0.0124,17.4
SUYNIJ,83.14,11.89,204.75,2.14,-3.5314,-2.7513,0.2999,-0.2222,1.3348,3.1397,6.0027,8.4315,0.3079,1.1135,10.1588,6.3175,12.6289,9.7537,1.4705,0.0721,11.7
NUVXAE,75.67,2.23,163.35,2.73,-3.4375,-3.3898,0.2932,-0.1672,1.3015,2.7697,5.7911,8.4738,0.3081,0.9926,10.142,6.3354,12.637,9.7344,1.4616,0.0624,14.4
IKUPAI,77.42,4.95,204.03,3.08,-3.5084,-2.7576,0.2896,-0.2038,1.362,2.861,5.9784,8.4953,0.3081,1.0732,10.1548,6.3182,12.6292,9.7631,1.5107,0.0759,14.4
COYSEO,83.46,1.66,175.77,2.42,-3.3646,-2.6454,0.3681,-0.1876,1.3564,2.0207,5.88,8.4079,0.3086,1.0239,10.1504,6.3002,12.5828,9.7489,1.4705,0.0602,14.9
LEDPIV,79.89,1.44,235.45,2.28,-2.6349,-1.551,0.3063,-0.2228,1.3417,2.9922,5.9696,8.4245,0.3089,1.0871,10.1916,6.3258,12.5581,9.8098,1.4676,0.0636,21.5
BOZHII,78.65,4.2,163.19,1.4,-3.265,-3.2644,0.3784,-0.1946,1.4169,1.9915,5.8415,8.4258,0.3092,1.0123,10.1709,6.317,12.5456,9.7591,1.4854,0.0519,15
BOTLOL,91.6,3.22,182.51,3.71,-3.1892,-2.4588,0.3679,-0.1882,1.3533,2.019,5.8433,8.3854,0.3092,1.0159,10.1498,6.3037,12.5725,9.7558,1.4883,0.0683,6.8
AYANEV,94.12,6.01,184.32,1.33,-3.3514,-2.9828,0.3613,-0.1861,1.3558,1.9869,5.8681,8.4585,0.3092,1.0111,10.1477,6.3023,12.578,9.7584,1.469,0.0486,15.9
JESYEO,81.13,-0.81,179.72,2.37,-2.9959,-1.8767,0.3649,-0.2134,1.3544,1.9863,5.9485,8.412,0.3097,1.0217,10.1699,6.3122,12.525,9.7979,1.4382,0.0563,17.4
YURTEL,87.26,-15.77,176.51,1.65,-2.6713,-1.7583,0.278,-0.2116,1.3975,2.0325,5.8663,7.079,0.3101,1.0255,10.1787,6.332,12.5555,9.8345,1.4136,0.0093,30.9
YAPDEA01,78.39,2.74,215.25,3.73,-3.2084,-2.4228,0.1969,-0.2293,1.3482,3.226,5.901,7.0054,0.3109,1.0932,10.1691,6.3387,12.6886,9.7758,1.4471,0.0091,12.4
XITCIM,77.85,2.61,192.3,1.98,-2.5783,-2.0351,0.291,-0.2159,1.3567,2.0028,5.846,7.1583,0.3109,1.0291,10.1857,6.323,12.5738,9.8121,1.304,0.014,22.5
CATMOB,78.21,2.74,212.91,3.19,-3.2688,-2.6925,0.2819,-0.218,1.3658,2.8601,6.0155,8.4184,0.311,1.0896,10.1642,6.3135,12.6298,9.7748,1.5179,0.0605,14
FIHZUT,88.3,7.69,191.85,1.7,-2.6586,-1.7077,0.2899,-0.2237,1.3323,1.9922,5.847,7.0193,0.311,1.0943,10.1825,6.3244,12.5814,9.8043,1.2058,0.0149,24.2
MAMHCA,79.58,9.81,173.56,1.76,-3.0301,-2.6092,0.3636,-0.2143,1.3647,1.9904,5.9403,8.4108,0.3111,1.0398,10.1654,6.2946,12.5582,9.7836,1.4492,0.057,16.3
XOHMEM,81.6,1.89,192.81,1.9,-2.4237,-1.5313,0.3397,-0.2132,1.3381,1.6485,5.8807,8.3956,0.3112,1.0633,10.1916,6.3059,12.5614,9.7931,1.5197,0.0493,26
QEKMIF,80.9,-2.67,225.87,1.45,-2.8831,-2.1458,0.323,-0.2271,1.3264,3.1821,6.0458,8.4171,0.3118,1.0524,10.1796,6.2989,12.5897,9.7884,1.4575,0.0579,21.3
CEPSOF,84.52,-0.61,178.02,2.55,-2.6511,-1.9735,0.3573,-0.2062,1.3405,1.7406,5.9294,8.4865,0.3125,1.0227,10.171,6.307,12.5573,9.7784,1.4436,0.0532,21.6
FARXOO,80.85,3.47,173,4.74,-2.5988,-1.6484,0.3338,-0.2122,1.3524,1.7265,5.901,8.4222,0.3139,1.0474,10.1894,6.3089,12.557,9.8003,1.568,0.0639,23.9
YAJMEC,83.98,-0.72,176.57,1.44,-3.653,-2.8151,0.3638,-0.1869,1.3384,2.0142,5.847,8.3823,0.3143,1.0055,10.1485,6.2922,12.5944,9.7497,1.4967,0.0647,16.2
UKALIE,87.71,-20.4,202.36,1.98,-2.9089,-2.4681,0.279,-0.2157,1.3998,3.1331,5.9627,8.4352,0.3144,1.0331,10.174,6.323,12.5696,9.8284,1.5457,0.0455,30.9
VEXJEO,76.45,5.14,218.26,2.19,-3.1686,-2.416,0.1976,-0.2299,1.3311,2.9337,5.933,7.0326,0.3145,1.1117,10.1667,6.3419,12.6843,9.7762,1.4035,0.0108,15.2
YEBJIB,78.2,2.72,191.29,2.54,-4.1478,-3.2066,0.1832,-0.1688,1.3181,3.1069,5.7212,7.0582,0.3145,0.9697,10.1382,6.3527,12.7065,9.7576,1.198,0.0131,22.1
MARZUA,84.6,11.15,199.04,2.19,-2.9314,-2.0056,0.2977,-0.2163,1.3279,1.6923,5.7751,7.1487,0.3146,1.0107,10.1772,6.3316,12.5832,9.7875,1.27,0.0141,17.8
HIVTEM,84.79,7.72,182.02,1.67,-2.6275,-1.5991,0.2617,-0.2198,1.3337,2.9859,5.9095,8.4339,0.3149,1.0491,10.1824,6.3354,12.5883,9.8146,1.4843,0.0614,23.3
YALQOT,81.69,3.28,176.1,3.51,-2.4925,-1.5189,0.3373,-0.2156,1.3424,1.6891,5.9106,8.4059,0.315,1.0426,10.1936,6.3051,12.5602,9.7974,1.5325,0.054,23.9
KAHDUS,84.47,-0.78,177.75,3.16,-3.726,-2.9763,0.3637,-0.184,1.3388,2.0523,5.8676,8.3911,0.3156,1.0029,10.1462,6.2892,12.5997,9.7474,1.4922,0.0621,17
MIVQEN,83.07,8.47,181.74,1.72,-3.195,-2.9749,0.3774,-0.1633,1.3078,1.9093,5.8216,8.4358,0.3158,0.9924,10.1434,6.2984,12.5968,9.7273,1.4485,0.0778,16.4
ZUZXAT,87.93,-18.21,185.6,1.7,-2.7077,-1.7401,0.2679,-0.2141,1.4157,2.0496,5.8582,7.0006,0.3165,1.026,10.1803,6.3308,12.5603,9.841,1.4335,0.0093,31.7
OYIFOS,80.02,7.62,199.42,3.32,-2.8905,-2.3925,0.3643,-0.2111,1.3386,1.9367,5.9493,8.3439,0.317,1.013,10.1672,6.2996,12.5568,9.7792,1.4493,0.0632,13.4
XAZPOF,79.65,0.35,214.91,2.66,-3.6534,-2.7498,0.2627,-0.165,1.3321,3.1016,5.8559,8.4428,0.3176,0.9822,10.1402,6.3424,12.6492,9.7457,1.4677,0.0647,14.9
CINMER02,87.33,4.22,180.71,2.14,-3.3646,-3.0092,0.3843,-0.1621,1.3255,1.9582,5.8541,8.4178,0.3188,0.9879,10.1485,6.2932,12.595,9.7276,1.454,0.0537,18.2
MESHAU,83.55,0.59,171.48,3.85,-3.2874,-3.2724,0.3609,-0.1827,1.3363,2.009,5.8515,8.4325,0.3193,1.0105,10.1492,6.3064,12.5589,9.7738,1.5272,0.0492,14.4
NATTIO,80.77,0.8,185.79,1.7,-3.3764,-2.389,0.1827,-0.1956,1.3382,3.1915,5.8846,6.9189,0.3193,1.0144,10.1589,6.3491,12.6839,9.7843,1.3647,0.0136,20
CEJPAI,84.86,1.6,181.69,1.4,-3.2042,-2.5406,0.2912,-0.2105,1.3991,2.0421,5.8807,7.139,0.3194,1.0482,10.1711,6.3119,12.6004,9.7965,1.3972,0.0109,24.8
SIZCOT,89.07,5.6,182.5,3.74,-2.6094,-1.7017,0.3561,-0.2059,1.3138,1.7798,5.85,8.4157,0.3198,1.0883,10.179,6.2942,12.5645,9.7852,1.4334,0.0637,16.8
VIXMUL,66.85,-0.2,234.24,2.36,-2.7775,-1.9859,0.1758,-0.2268,1.3631,3.0561,5.846,7.2157,0.3201,1.0341,10.1838,6.345,12.6464,9.8328,1.3878,0.0099,27.9
LUMNPO20,82.57,1.6,203.77,1.7,-4.1293,-3.3745,0.2514,-0.1599,1.3391,3.2932,5.8583,8.4322,0.3203,1.0066,10.1351,6.3228,12.6865,9.7392,1.4524,0.0573,18.1
OXEGEF,82.8,9.53,180.29,3.14,-2.6851,-1.4332,0.3829,-0.226,1.2835,1.735,5.8294,8.3358,0.3203,1.0223,10.1946,6.3027,12.5556,9.7588,1.5427,0.1038,22.6
WEHKEA,81.49,-1.1,175.06,1.29,-3.1851,-2.3007,0.2932,-0.2132,1.3618,2.0293,5.8607,6.9685,0.3205,1.0198,10.1641,6.3124,12.5962,9.7982,1.4066,0.0133,26.8
IKEGAH,75.8,2.43,163.62,2.05,-2.9365,-2.0267,0.2819,-0.2008,1.333,2.8118,5.873,8.5034,0.3207,1.0221,10.167,6.3393,12.5912,9.7877,1.4625,0.0531,16
KAHJAE,80.53,9.21,172.21,2.75,-3.3932,-2.7478,0.3683,-0.168,1.3846,1.66,5.7358,8.2924,0.3209,0.9876,10.151,6.3226,12.5935,9.7156,1.469,0.1019,13.3
WANJEA,85.36,7.31,178.61,2.98,-2.4991,-1.5421,0.3613,-0.2048,1.3444,1.7205,5.7857,8.4508,0.3213,1.0155,10.1931,6.3141,12.5304,9.7942,1.4633,0.0411,22.9
DIWJAV,81.3,-0.92,191.21,2.59,-2.4775,-1.5904,0.2873,-0.2118,1.3195,2.7713,5.8462,8.4218,0.3215,1.0167,10.1888,6.3298,12.5767,9.8062,1.5139,0.0522,37.7
COWSUE,83.34,-4.07,177.49,1.63,-2.8808,-1.7986,0.1617,-0.2164,1.3874,3.0326,5.993,6.9816,0.3215,1.0545,10.1769,6.3528,12.6418,9.8437,1.4001,0.0127,28
XURBES,84.68,-1.15,181.73,3.09,-3.3862,-1.882,0.3478,-0.2055,1.4035,1.6273,5.9723,8.4392,0.3215,1.1171,10.1744,6.2617,12.5709,9.8196,1.5326,0.048,4.7
IZOMEP,94.58,8.33,190.17,1.87,-3.5629,-3.3055,0.1804,-0.1751,1.2842,2.2696,5.8187,8.3794,0.3219,1.004,10.1432,6.3686,12.7132,9.7378,1.4552,0.0638,15.6
CELZAX,62.83,1.04,156.4,2.87,-2.8259,-2.9336,0.3513,-0.2157,1.3999,1.9665,5.9179,8.4598,0.3223,1.0283,10.1796,6.3066,12.558,9.7841,1.5382,0.0496,23.2
VIRDOP,77.36,1.47,210.73,2.89,-2.7131,-1.5673,0.2048,-0.2217,1.3449,2.821,5.8703,6.9311,0.3224,1.0757,10.1947,6.3668,12.6206,9.8078,1.2264,0.0186,22.1
ROFYUH,78.96,2.75,214.31,2.41,-3.3696,-3.1707,0.2786,-0.2031,1.3479,3.0428,5.8739,8.4121,0.3228,1.0967,10.1541,6.3153,12.648,9.7581,1.532,0.063,9.2
SASZUI,86.52,8.35,176.45,3.61,-2.7264,-1.9085,0.3599,-0.206,1.3631,1.9831,5.7652,8.4615,0.3232,1.0108,10.1871,6.3122,12.5327,9.7952,1.4674,0.0532,14.2
NOKHEA,73.56,3.67,225.82,1.78,-3.4742,-3.001,0.2993,-0.177,1.2963,3.0578,5.7901,8.4235,0.3232,1.0069,10.1415,6.3345,12.6231,9.7431,1.5076,0.0989,14.4
SECDEM,89.52,-0.73,177.84,2.33,-3.1175,-3.0871,0.3651,-0.1823,1.3474,2.0614,5.8961,8.3889,0.3241,1.0046,10.1493,6.31,12.5712,9.7537,1.4408,0.0555,11.3
TEVJUC,76.39,5.48,228.64,1.91,-3.6567,-2.5077,0.2165,-0.2049,1.2703,3.0836,5.8365,7.0407,0.3248,0.9892,10.16,6.3624,12.6523,9.7688,1.397,0.0125,11.6
HALJUB,61.45,1.33,152.14,2.11,-2.4864,-2.2156,0.3259,-0.2132,1.3958,1.9152,5.8691,8.5164,0.3249,1.0304,10.1922,6.3328,12.5456,9.7957,1.5336,0.0452,27.2
ISAYUX,79.29,5.66,181.48,4.13,-2.8817,-1.874,0.2946,-0.2086,1.3109,2.8087,5.8663,8.3992,0.3252,1.0674,10.1724,6.3047,12.6178,9.7829,1.4586,0.0706,25.4
TIGMUS,78.31,1.91,240.37,3.39,-2.9409,-1.9485,0.2721,-0.2187,1.3481,2.0069,5.9903,6.9786,0.3253,1.0452,10.1739,6.3346,12.5783,9.815,1.3706,0.013,17.9
SEBPIY01,83.83,7.09,177.32,1.7,-3.1519,-2.6024,0.3654,-0.1877,1.3147,1.9964,5.8795,8.4228,0.3254,1.0058,10.1511,6.2971,12.5874,9.7501,1.4641,0.0567,16.4
KEPFES,81.34,-1.09,179.33,1.98,-2.7896,-1.6948,0.1612,-0.2211,1.3713,3.0321,5.9287,7.0555,0.3254,1.0529,10.1847,6.3596,12.6414,9.8377,1.3454,0.013,24.7
EDEVEP,75.5,2.48,163.59,1.81,-2.9356,-2.0616,0.2832,-0.1971,1.3334,2.8087,5.8644,8.4728,0.3259,1.0316,10.1653,6.3376,12.5966,9.7826,1.464,0.0554,15.4
NUHHEE,77.7,1.5,209.16,2.68,-2.6181,-1.6596,0.1873,-0.2159,1.3676,2.9545,5.8812,7.0878,0.3271,1.0303,10.1894,6.3614,12.6086,9.8427,1.3002,0.0129,22.2
HELZAC,79.63,2.37,239.33,1.94,-3.2273,-2.7547,0.2738,-0.2183,1.3627,1.9781,5.9445,6.956,0.3273,1.0594,10.1734,6.3109,12.6413,9.774,1.2123,0.0134,14.2
MAMDUD,79.7,1.2,195.22,1.94,-3.6403,-2.7692,0.1937,-0.1939,1.3341,3.1331,5.7778,7.0731,0.3275,1.0597,10.1511,6.3604,12.6736,9.7724,1.1956,0.0123,18.2
HEBGEA,84.38,0.53,176.01,2.3,-3.8821,-3.1408,0.3755,-0.1629,1.3675,1.9974,5.8757,8.4141,0.328,1.0301,10.1327,6.303,12.5944,9.7271,1.4399,0.0786,13.8
JIGTEY,79.27,1.63,199.4,2.14,-2.8044,-1.7448,0.2074,-0.2191,1.3394,3.0683,5.8783,6.946,0.3281,1.0352,10.1888,6.3604,12.633,9.7992,1.3331,0.0161,32.1
RIPZOF,58.47,-14.21,143.31,2.33,-2.6677,-1.8344,0.3365,-0.2034,1.4009,1.9612,5.9008,8.6073,0.3284,1.0201,10.1758,6.3492,12.5088,9.8055,1.6476,0.0442,23.7
ECINUB,84.92,7.92,180.71,2.21,-2.5334,-2.2583,0.3453,-0.2115,1.3534,1.9534,5.9071,8.3827,0.3285,1.0246,10.1795,6.2978,12.561,9.7958,1.4574,0.051,18.7
MEWQAI,77.06,3,224.07,3.2,-3.2824,-2.5048,0.276,-0.2129,1.339,2.0031,5.9108,7.017,0.3286,1.0289,10.1665,6.3302,12.6068,9.787,1.3033,0.012,13.7
YOWDOF,60.93,1.84,150.89,3.53,-2.496,-1.5637,0.3202,-0.2141,1.4043,1.8917,5.8847,8.5216,0.3286,1.0253,10.1941,6.3421,12.5274,9.8103,1.5608,0.0608,24
QOGCEU,83.92,2.52,183.4,2.77,-2.3582,-1.5426,0.047,-0.2224,1.3561,1.9622,5.8211,6.9605,0.329,1.0293,10.2025,6.4143,12.6936,9.8451,1.1837,0.015,30.3
EFAJOM,81.89,9.44,175.29,2.05,-3.2699,-2.6387,0.3663,-0.1819,1.3097,1.9801,5.8017,8.3899,0.3291,1.0325,10.1465,6.2986,12.5949,9.7402,1.4405,0.0585,15.2
BALPUC,114.68,-7.72,209.68,1.7,-2.6646,-1.6312,0.3922,-0.2178,1.2959,1.9102,5.9119,8.4586,0.3291,1.0338,10.1758,6.2855,12.5466,9.7757,1.5271,0.0543,20.4
OQODOP,80.56,1.97,213.08,1.7,-3.4942,-2.8926,0.2755,-0.2131,1.3745,1.9747,5.9386,7.0432,0.3301,1.032,10.1676,6.3138,12.632,9.7788,1.2821,0.014,16.3
XOPCOV,76.86,15.68,192.05,3.03,-2.6756,-1.8624,0.3975,-0.2041,1.3347,1.9321,5.884,8.3716,0.3301,1.0291,10.1727,6.2978,12.5439,9.7608,1.5072,0.0617,22.9
VEKPOR,86.24,-15.13,178.52,1.87,-3.0568,-2.3224,0.2786,-0.2197,1.4005,2.0486,5.9551,6.9606,0.3302,1.0422,10.1706,6.3148,12.578,9.8286,1.4104,0.0124,33.4
ASEFOU,61.98,1.25,153.59,2.47,-2.7834,-2.845,0.3537,-0.218,1.3621,1.9422,5.9385,8.5087,0.3302,1.029,10.1757,6.3145,12.5552,9.7766,1.5184,0.0455,17.4
AFISIS,82.73,3.6,179.29,3.06,-3.0395,-3.0766,0.3897,-0.2082,1.2696,1.755,5.8471,8.449,0.3304,1.0027,10.1688,6.2903,12.6103,9.7098,1.4581,0.0587,13.7
NECCAC,84.85,-1.09,178.3,3.75,-3.7614,-2.7745,0.3645,-0.19,1.346,1.9918,5.8675,8.3857,0.3305,1.0016,10.1492,6.2851,12.596,9.7544,1.4993,0.0661,16.8
MOXCPB10,84.35,15.79,186.36,2.4,-2.6046,-1.6758,0.358,-0.2107,1.3389,1.9344,5.8659,8.3843,0.3308,1.0647,10.1754,6.305,12.5524,9.7846,1.4438,0.0597,19
WEGQOQ,83.77,3.37,209.78,2.51,-2.8105,-1.9734,0.2331,-0.2193,1.2569,2.9459,5.7594,7.0917,0.3309,1.0797,10.1715,6.3474,12.6355,9.784,1.3835,0.0131,38.6
HOWSOD,89.68,2.92,181.1,3.47,-3.6285,-3.4098,0.3739,-0.1598,1.3167,1.9835,5.7844,8.4487,0.3323,1.0066,10.1324,6.3067,12.599,9.7204,1.4549,0.0535,13.1
KEWGUO,60.23,1.37,148.57,1.86,-2.4907,-1.6254,0.3147,-0.2116,1.4206,1.8709,5.8636,8.485,0.3334,1.026,10.1915,6.3486,12.523,9.8137,1.5539,0.0433,25.9
CAKMIN,77.15,4.82,213.53,2.21,-3.4025,-3.1196,0.2758,-0.2052,1.3308,1.9494,5.8711,6.974,0.334,1.0822,10.156,6.3185,12.659,9.7467,1.1921,0.0134,13.8
BIURSR,79.97,4.85,170.29,1.98,-2.7095,-1.8082,0.3404,-0.2118,1.3834,1.9938,5.9067,8.4778,0.3343,1.0425,10.1697,6.3133,12.5412,9.805,1.4496,0.0522,16.7
DAHKAB,91.48,-1.02,237.94,1.4,-2.8778,-2.2418,0.2623,-0.2219,1.3645,3.1893,5.9274,8.4128,0.3348,1.0453,10.1813,6.3225,12.6228,9.7924,1.4678,0.0718,15.9
SECDIQ,89.51,-0.76,178.11,2.39,-3.1616,-3.1121,0.367,-0.1805,1.3591,2.0335,5.8715,8.3936,0.335,1.0024,10.1479,6.3094,12.5757,9.7479,1.438,0.0529,12.2
SIFBEP,60.27,1.16,149.28,2.69,-2.6839,-1.7436,0.3363,-0.2133,1.3989,1.8449,5.8343,8.5141,0.335,1.0368,10.1874,6.3356,12.5262,9.8019,1.5223,0.0491,24.2
AFEBOC,89.5,1.23,179.68,2.87,-2.761,-1.8322,0.364,-0.2081,1.3402,1.9805,5.8455,8.4865,0.3352,1.027,10.1726,6.3054,12.5409,9.7897,1.5228,0.0566,17.4
IQENEY,80.74,2.37,188.53,1.35,-2.6882,-2.1555,0.2586,-0.2115,1.3792,2.9521,5.9273,8.411,0.3357,1.0573,10.1893,6.3299,12.6122,9.7993,1.4415,0.0595,21.2
