Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
HANNUF,79.65,170.44,2.2,5.36,11.46,30.8,22.1,12.7,555.69,-3.4435,-0.404,1.86,2.59,1.85,0.3637,-0.2581,-0.796,-0.4261,1.6173,2.949,1.9012,2.1373,28.8293,7.2473,8.5697,8.4102,0.6859,0.6642,0.1001,3.1589,1.4115,1.4091,1.1949,6.4937,12.3768,4.1718,4.1205,4.0846,9.7658,1.9206,1.9379,1.9592,1.9653,1.9828,1.6822,1.6916,1.4877,0.4026,0.0734,0.0886,0.0944,0.0618,0.0843,1.5394,1.613,1.4768,0.2708,0.0502,0.07,0.0515,0.0633,0.0358,46.8
XATWUK,79.75,170.63,1.92,8.56,10.94,29,19.9,12.1,637.94,-3.5616,-0.4619,1.87,2.56,1.86,0.3576,-0.257,-0.7913,-0.4356,1.6333,2.9411,1.9677,2.1574,28.8623,7.2636,8.551,8.4,0.6833,0.7114,0.102,3.1607,1.3129,1.3736,1.3268,6.4958,12.3777,4.1043,4.1913,4.0822,9.7689,1.8876,1.9835,1.9786,1.9812,1.9381,1.5323,1.6927,1.6358,0.3995,0.0773,0.0851,0.0758,0.101,0.0603,1.4591,1.4856,1.6861,0.2768,0.0626,0.0436,0.0654,0.0405,0.0647,49
FAYPAX,78.58,172.44,2.45,6.01,7.04,34,27.6,16.6,514.44,-3.4636,-1.0044,1.86,2.55,1.85,0.3956,-0.2544,-0.7378,-0.4098,1.6779,3.0356,1.9804,2.1732,28.8473,7.2333,8.5735,8.3709,0.6996,0.6965,0.1025,3.1571,1.4079,1.4055,1.2003,6.4662,12.3732,4.1464,4.1692,4.0576,9.765,1.8777,1.9788,1.9789,1.977,1.9527,1.7206,1.6913,1.3829,0.4173,0.0724,0.0931,0.0899,0.0622,0.0997,1.5441,1.5244,1.5417,0.2773,0.0535,0.0411,0.0637,0.041,0.0781,57.7
CIMSUP,54.99,175.58,1.7,13.82,9.99,28.8,20.7,14.5,734.15,-4.0405,-2.0709,1.91,2.68,1.88,0.2967,-0.2779,-0.1439,-0.6928,1.7052,2.9411,3.1286,1.9901,28.8698,7.3024,7.181,8.5671,0.6906,0.6823,0.1034,3.1659,1.238,1.3546,1.439,6.549,12.3661,4.1214,4.1453,4.0994,9.7882,1.9172,1.9625,1.9591,1.9776,1.9717,1.3728,1.356,1.15,0.1119,0.0108,0.0275,0.0318,0.0145,0.0272,1.5678,1.7184,1.5013,0.3381,0.0448,0.0796,0.0823,0.0513,0.0801,44
RIZYAD,80.34,177.3,2.53,8.12,8.65,35,26.6,19.2,613.3,-3.677,-1.3749,1.88,2.57,1.85,0.4,-0.2568,-0.7646,-0.557,1.7124,2.9564,1.9567,2.1228,28.8186,7.2623,8.5594,8.4465,0.6903,0.6539,0.105,3.1588,1.2527,1.3983,1.3637,6.4609,12.3666,4.1397,4.0834,4.1435,9.7725,1.9576,1.8947,1.9637,1.9811,1.9754,1.7121,1.4071,1.7012,0.4125,0.1,0.0638,0.0975,0.055,0.0963,1.5506,1.5882,1.5544,0.3151,0.0495,0.0734,0.0599,0.0575,0.0748,42.9
ZOWJEA,79.46,200.29,2.56,7.71,8.46,41,36.5,23.2,590.96,-4.2997,-3.2468,1.77,2.6,1.92,0.5228,-0.1963,-0.5523,-0.1285,2.3904,3.0249,2.2195,3.0025,28.7816,7.1398,8.5013,7.0588,0.5352,0.7414,0.1052,3.1615,1.2445,1.3479,1.3592,6.2717,12.4634,4.204,4.1837,4.0757,9.742,1.9766,1.9917,1.9867,1.8531,1.9339,1.5288,1.5818,1.5386,0.4371,0.0709,0.087,0.0923,0.0904,0.0965,1.298,1.1669,1.4764,0.0991,0.0219,0.0129,0.0203,0.0248,0.0192,20.9
ZEPFAE,80.1,170.97,2.01,9.15,11.53,28.9,20.2,12.3,641.94,-3.5879,-1.2615,1.87,2.56,1.86,0.3568,-0.2577,-0.7923,-0.4289,1.6249,2.939,1.9309,2.1466,28.8534,7.2649,8.5556,8.3917,0.6799,0.6993,0.1058,3.1606,1.3198,1.3774,1.3169,6.4963,12.3775,4.1162,4.1766,4.0847,9.7694,1.8806,1.9787,1.976,1.9824,1.9517,1.5545,1.7035,1.6059,0.3971,0.0801,0.0829,0.0808,0.0926,0.0608,1.4491,1.4843,1.6924,0.2749,0.0656,0.0432,0.0625,0.0422,0.0615,48.6
NALCYS17,75.05,210.95,2.12,5.25,6,44.7,31.6,12.8,457.08,-3.8493,-0.7069,1.91,2.5,1.88,0.3009,-0.2655,-0.2383,-0.4877,1.9549,3.0022,2.7816,2.0439,28.9127,7.2617,7.2379,8.4,0.7237,0.6399,0.1081,3.1627,1.3266,1.4153,1.2796,6.4712,12.4452,4.178,4.1903,4.0768,9.7827,1.8829,1.973,1.973,1.9839,1.9698,1.4175,1.4336,1.1564,0.0778,0.0072,0.0252,0.0148,0.0124,0.0181,1.4717,1.5302,1.6403,0.3129,0.0603,0.049,0.0707,0.0492,0.0838,53.4
DOPYUE,89.29,181.83,2.08,4.18,7.13,33.5,21.3,10.2,425.08,-3.1804,0.2445,1.88,2.43,1.88,0.3538,-0.2521,-0.9123,-0.7818,1.613,2.9396,1.8738,1.7738,28.8276,7.2662,8.5516,8.5602,0.6656,0.6667,0.1096,3.161,1.2151,1.3727,1.4201,6.4827,12.3908,4.1065,4.1695,4.1148,9.7727,1.8878,1.9688,1.9694,1.9834,1.9633,1.4435,1.7401,1.7476,0.4262,0.1302,0.0872,0.047,0.1129,0.0489,1.432,1.656,1.7389,0.4028,0.0955,0.1074,0.051,0.1133,0.0355,44
KOJCAQ,80.45,171.41,2.91,9.53,10.18,28.9,24.3,19,713.34,-3.6293,-1.5299,1.87,2.54,1.85,0.3811,-0.2569,-0.6742,-0.4853,1.6094,2.9493,1.8767,2.1608,28.8271,7.2658,8.6089,8.4171,0.6915,0.6775,0.11,3.1595,1.2206,1.3967,1.3969,6.4788,12.3658,4.114,4.0935,4.1583,9.7743,1.9564,1.9174,1.9452,1.9835,1.9718,1.6633,1.4272,1.6893,0.3897,0.0922,0.0554,0.0888,0.0593,0.0939,1.5378,1.5404,1.5717,0.2924,0.0476,0.0644,0.0592,0.0486,0.0726,46
DIYTIQ,80.71,171.43,3.03,5.82,9.57,30.7,23.3,16.9,608.18,-3.5599,-1.357,1.87,2.56,1.86,0.3725,-0.2564,-0.7861,-0.5694,1.6438,2.9381,1.9449,2.1173,28.8324,7.2597,8.565,8.4555,0.6796,0.6729,0.1103,3.1595,1.2251,1.4028,1.3856,6.4823,12.374,4.1127,4.0915,4.1697,9.7712,1.9622,1.9071,1.9501,1.9838,1.968,1.7384,1.4001,1.7084,0.3989,0.1,0.0533,0.1005,0.0494,0.0957,1.5735,1.5685,1.5531,0.3249,0.0535,0.0718,0.0623,0.0571,0.0803,44
BABFUI,79.43,171.83,2.58,5.06,11.55,26.8,18.6,11.4,590.52,-4.3513,-3.2374,1.86,2.55,1.83,0.4269,-0.2667,-0.5536,-0.3806,1.6727,2.9838,2.2896,2.9047,28.6899,7.2942,8.4973,7.1319,0.732,0.5635,0.1104,3.1621,1.4187,1.2863,1.3179,6.4419,12.3553,4.1453,4.0786,4.1314,9.7758,1.9643,1.9105,1.9743,1.947,1.9797,1.5519,1.4951,1.6452,0.3768,0.0842,0.0632,0.0814,0.0694,0.0785,1.3405,1.3818,1.2419,0.0888,0.0132,0.016,0.0211,0.0185,0.0201,42.9
ENUXAN,80.15,171.1,2.27,11.42,8.98,31.5,24.3,16.8,728.94,-3.6139,-0.6969,1.88,2.52,1.86,0.3724,-0.2573,-0.8098,-0.4272,1.6215,2.9454,1.8689,2.174,28.8358,7.2669,8.5745,8.3964,0.6853,0.6778,0.1107,3.1605,1.392,1.4037,1.2183,6.482,12.373,4.1193,4.186,4.0677,9.7726,1.8849,1.9844,1.9841,1.9822,1.937,1.4314,1.6926,1.7137,0.4438,0.1072,0.0988,0.0722,0.1137,0.0519,1.4789,1.498,1.6451,0.2798,0.0666,0.046,0.0598,0.0465,0.0608,44.7
ETYTAC,55.91,216.9,1.7,10.16,8.03,44.8,30.4,19,637.45,-3.1385,-1.2738,2.04,2.57,1.93,0.4294,-0.1564,-0.6112,-0.5689,1.8579,3.1446,1.953,1.9252,28.8202,7.2394,8.496,8.4348,0.5975,0.4905,0.1115,3.1577,1.1918,1.349,1.3689,6.3158,12.4394,4.136,4.1201,4.1833,9.8154,1.9689,1.9808,1.94,1.9747,1.951,1.5894,1.5829,1.5526,0.362,0.0601,0.0765,0.0704,0.0664,0.0886,1.4939,1.5078,1.7085,0.313,0.0734,0.0674,0.0615,0.0587,0.052,48.8
JIGDAE,81.97,176.49,3.65,9.03,11.68,29.4,21.9,18.9,784.82,-4.1752,-2.4389,1.83,2.56,1.94,0.3634,-0.2244,-0.0472,-0.6003,2.2052,2.9888,3.3161,2.0634,28.8698,7.1873,6.9363,8.4886,0.5691,0.7651,0.1118,3.1677,1.3309,1.3139,1.3306,6.3511,12.492,4.1639,4.2227,4.1053,9.7935,1.9525,1.9834,1.9588,1.9427,1.9562,1.2987,1.2614,1.2088,0.1349,0.0227,0.0234,0.0312,0.0206,0.037,1.5452,1.5189,1.6488,0.3361,0.0759,0.0527,0.0662,0.0632,0.0781,30.1
KEVSUB,80.71,171.56,2.49,7.4,8.11,31.2,24.3,16.7,568.04,-3.6272,-0.7358,1.88,2.52,1.86,0.3712,-0.2568,-0.8093,-0.4229,1.6056,2.9448,1.8524,2.1789,28.838,7.2702,8.5965,8.3911,0.6896,0.6789,0.1132,3.1602,1.3799,1.3846,1.2494,6.483,12.3724,4.1347,4.167,4.0707,9.7734,1.8749,1.9838,1.9832,1.9779,1.9536,1.5109,1.6992,1.6302,0.4416,0.0981,0.0963,0.0837,0.1033,0.0602,1.4412,1.4953,1.682,0.2799,0.0629,0.0442,0.0648,0.0426,0.0654,47.6
WIJQUE,77.11,238.4,2.02,6.23,8.01,33.8,23.2,14.6,517.12,-5.4852,-2.8407,1.92,2.55,1.91,0.355,-0.1734,-0.0865,-0.1066,1.6679,3.1851,3.3875,2.9609,28.7053,7.2634,6.9857,7.0396,0.6508,0.6529,0.1143,3.1566,1.3684,1.2571,1.3077,6.454,12.3753,4.133,4.0959,4.1464,9.8157,1.9692,1.9329,1.9655,1.9653,1.9828,1.3336,1.2101,1.2685,0.1265,0.0256,0.0196,0.0276,0.0154,0.0383,1.3262,1.2855,1.1543,0.1115,0.015,0.0219,0.03,0.019,0.0256,51.6
XEZLET,61.1,171.52,2.52,5.43,6.98,28.6,23.3,13.8,499.61,-3.9449,-1.6354,1.9,2.43,1.87,0.2886,-0.2773,-0.1753,-0.4344,1.6711,2.9762,3.2717,2.8466,28.8101,7.3029,7.1564,7.302,0.7235,0.5815,0.115,3.1653,1.3388,1.3499,1.3431,6.5144,12.3927,4.1484,4.1305,4.1138,9.8043,1.9444,1.9372,1.9652,1.9636,1.994,1.3075,1.3277,1.3007,0.0904,0.014,0.0159,0.0181,0.0152,0.0272,1.3934,1.3413,1.3511,0.0752,0.0131,0.0141,0.014,0.0108,0.0232,35.4
RUPFIU,74.55,211.43,3.88,7.27,8.42,42.1,38.4,24,669.15,-3.5597,-1.1238,1.92,2.49,1.89,0.3439,-0.2641,-0.1696,-0.5195,1.7579,2.9758,2.9845,2.0673,28.8923,7.2645,7.3145,8.438,0.7154,0.6365,0.1155,3.1644,1.2955,1.3834,1.3396,6.4736,12.4013,4.151,4.1872,4.0631,9.7813,1.8849,1.983,1.9732,1.9825,1.9577,1.4123,1.4292,1.1262,0.0758,0.0066,0.027,0.0166,0.0094,0.0162,1.522,1.5325,1.5872,0.3515,0.0776,0.0537,0.0696,0.061,0.0898,43.5
RELJOH,79.44,170.35,2.04,4.87,7.92,30.4,22.4,12.8,478.28,-3.5174,-0.4146,1.88,2.53,1.86,0.3724,-0.2576,-0.7818,-0.4282,1.6275,2.9426,1.8975,2.1647,28.8533,7.2629,8.632,8.39,0.6856,0.6844,0.1161,3.1605,1.2764,1.3176,1.4199,6.4847,12.3696,4.1591,4.1259,4.0846,9.7733,1.8776,1.9691,1.973,1.9741,1.9794,1.6887,1.6777,1.4712,0.4144,0.072,0.0844,0.0979,0.077,0.0832,1.4709,1.4925,1.6605,0.2787,0.0679,0.0479,0.0533,0.0461,0.0635,45.6
LIQHOK,79.96,170.38,1.64,6.44,8.32,29.2,20,13.7,528.63,-4.1747,-1.7833,1.91,2.57,1.88,0.3465,-0.2666,-0.1145,-0.5708,1.6849,2.9684,3.4346,2.1089,28.8172,7.3063,7.0944,8.4748,0.7316,0.6264,0.1165,3.1636,1.3516,1.3891,1.2823,6.4752,12.3779,4.1063,4.1991,4.0725,9.8003,1.9213,1.9864,1.9643,1.9696,1.9586,1.2773,1.3317,1.2632,0.0988,0.0177,0.0162,0.0175,0.0162,0.0312,1.5464,1.5374,1.6179,0.323,0.071,0.0519,0.0717,0.0445,0.0839,41.9
MAYDEY,79.45,171.29,1.53,8.19,8.15,31.6,21.2,14.2,533.53,-3.3846,-0.8784,1.87,2.5,1.86,0.3639,-0.2551,-0.7833,-0.4266,1.6717,2.9949,2.0193,2.1669,28.9153,7.2705,8.5661,8.3747,0.7089,0.7648,0.1175,3.1581,1.4111,1.3955,1.207,6.4811,12.3837,4.1584,4.1668,4.0585,9.7713,1.8694,1.9834,1.9836,1.9763,1.9587,1.7289,1.6967,1.4292,0.3965,0.0636,0.0966,0.0908,0.0526,0.0929,1.5097,1.5264,1.5831,0.2816,0.0528,0.0417,0.0642,0.0437,0.0792,46.8
YEHVUE,81.38,172.97,2.22,4.75,7.95,31.6,22,12.5,475.62,-3.4131,0.3136,1.88,2.49,1.87,0.3534,-0.2568,-0.8283,-0.7711,1.6342,2.9308,1.8836,1.7949,28.8468,7.2615,8.6018,8.597,0.6692,0.6914,0.1183,3.1608,1.2463,1.3962,1.3702,6.4907,12.386,4.1096,4.1871,4.0894,9.7699,1.903,1.9692,1.9562,1.9815,1.96,1.7254,1.6901,1.4585,0.4111,0.069,0.0979,0.0988,0.0448,0.1006,1.4645,1.6598,1.684,0.4211,0.0899,0.0907,0.0708,0.0869,0.0827,46.1
AYUTOE,82.72,195.74,2.77,9.3,8.47,42.8,35.8,25.4,689.51,-4.1411,-3.0019,1.79,2.4,1.94,0.4676,-0.2131,-0.553,-0.1715,2.3641,2.9732,2.2676,2.7051,28.8014,7.1501,8.4966,6.9122,0.5136,0.6896,0.1213,3.168,1.209,1.3755,1.3782,6.2696,12.4868,4.1938,4.1892,4.1038,9.776,1.9496,1.9947,1.9775,1.9101,1.9441,1.4803,1.6181,1.5457,0.4408,0.0735,0.0813,0.0986,0.0866,0.1008,1.3384,1.1645,1.4405,0.0953,0.0229,0.0152,0.0179,0.0176,0.0216,21.8
KIGNIZ,56.31,153.42,1.71,5.39,7.05,26.7,19.4,10.3,444.36,-3.6538,0.3503,1.92,2.62,1.89,0.2709,-0.2747,-0.2672,-0.6884,1.5795,2.9226,2.8444,1.994,28.8501,7.2935,7.3398,8.5052,0.6594,0.6568,0.1241,3.1682,1.3154,1.4344,1.2762,6.5625,12.3745,4.1372,4.1245,4.1127,9.792,1.9274,1.9335,1.9536,1.9867,1.9909,1.379,1.3019,1.3463,0.0784,0.013,0.0141,0.016,0.0126,0.0227,1.5377,1.7527,1.5216,0.3048,0.0563,0.0727,0.0629,0.0485,0.0644,45.8
VUXCOG,77.32,178.96,1.94,8.04,8.54,30.1,20.6,12.2,591.1,-3.713,-1.5051,1.91,2.51,1.89,0.3042,-0.2655,-0.1766,-0.4996,1.6539,2.9415,3.1416,2.0599,28.8617,7.2985,7.2004,8.4587,0.6909,0.6381,0.1244,3.1661,1.3255,1.3877,1.3059,6.5076,12.3873,4.1152,4.2016,4.0705,9.8009,1.9098,1.986,1.9759,1.9785,1.9506,1.3474,1.3212,1.2794,0.0857,0.0126,0.0168,0.0172,0.0158,0.0232,1.5372,1.5226,1.6055,0.2962,0.0672,0.0454,0.0601,0.0501,0.0734,44.4
NABGIJ,81.83,173.75,2.2,6.41,8.87,31.9,21.8,12.1,502.82,-3.3238,0.3601,1.88,2.48,1.87,0.3511,-0.2567,-0.8334,-0.7731,1.6472,2.9351,1.879,1.7733,28.8482,7.2684,8.6076,8.5873,0.6628,0.7006,0.1261,3.1613,1.2743,1.412,1.3257,6.4891,12.3887,4.1107,4.1846,4.0934,9.7711,1.904,1.9648,1.9517,1.9823,1.9683,1.7367,1.6928,1.4446,0.4146,0.0661,0.0999,0.1021,0.0437,0.1029,1.4631,1.6656,1.687,0.4108,0.085,0.0881,0.0682,0.0894,0.0801,47.8
WOQGUH,84.87,263.11,2.1,8.7,11.02,59.9,44.5,24.3,718.36,-4.8516,-2.2787,1.74,2.4,1.84,0.55,-0.1594,-0.5057,-0.4428,3.2449,3.1472,2.1081,1.8176,29.2707,6.9918,8.317,8.3112,0.6676,0.8283,0.1271,3.1381,1.3505,1.37,1.2157,6.2079,12.5256,4.2164,4.1257,4.1835,9.7165,1.992,1.821,1.9776,1.9454,1.9805,1.4832,1.622,1.5311,0.398,0.0545,0.0918,0.0839,0.0829,0.0849,1.485,1.5291,1.5206,0.3405,0.0737,0.0596,0.0792,0.0598,0.0681,17.2
JOXKOY,81.4,174.15,1.83,4.32,9.23,29.3,19.5,11.1,478.31,-3.4141,0.2917,1.87,2.46,1.87,0.3411,-0.2557,-0.8431,-0.766,1.6294,2.937,1.9466,1.7861,28.8582,7.2605,8.5373,8.5668,0.6667,0.6731,0.1274,3.1601,1.3993,1.4091,1.2039,6.4933,12.3966,4.1377,4.1893,4.0696,9.769,1.8743,1.9862,1.9852,1.9821,1.9412,1.565,1.6988,1.6314,0.407,0.0837,0.0822,0.0746,0.0988,0.0676,1.862,1.3625,1.595,0.4066,0.0826,0.058,0.1229,0.0537,0.0894,44.9
ZAKMEG,80.67,173.39,2.4,6.06,11.16,27.3,18.8,11.9,588.46,-4.2514,-3.142,1.87,2.49,1.84,0.4157,-0.2665,-0.5602,-0.3797,1.6658,2.9786,2.2697,2.8733,28.7057,7.3037,8.4884,7.1165,0.7266,0.5518,0.1288,3.1618,1.4121,1.3315,1.2791,6.4389,12.36,4.1413,4.0877,4.1309,9.7855,1.9622,1.9133,1.9755,1.9535,1.9809,1.5528,1.4981,1.6449,0.3746,0.0838,0.0632,0.0808,0.0696,0.0773,1.3493,1.3685,1.2464,0.0886,0.0129,0.0164,0.022,0.0181,0.0193,42.8
VINVOG,78.43,200.83,1.98,7.54,7.78,34.8,28,17.6,562.67,-4.1057,-2.8843,1.78,2.39,1.94,0.4839,-0.213,-0.579,-0.2031,2.1433,2.9969,2.3211,2.97,28.6591,7.1633,8.5424,7.4536,0.5229,0.5767,0.1289,3.1666,1.2146,1.3686,1.3806,6.2837,12.468,4.1956,4.1895,4.0829,9.7644,1.9549,1.9969,1.9866,1.905,1.921,1.4362,1.6304,1.5849,0.4662,0.0881,0.065,0.1166,0.0828,0.1138,1.4363,1.1806,1.3768,0.0766,0.0131,0.0118,0.0198,0.012,0.02,21.9
LUGHED,78.03,178.2,1.52,6.82,6.09,32.5,23.8,12.2,465.16,-3.3711,-0.4502,1.88,2.47,1.87,0.3594,-0.2575,-0.8374,-0.4619,1.666,2.9352,1.8177,2.0663,28.8497,7.2742,8.5712,8.4318,0.6668,0.6865,0.1292,3.1616,1.2629,1.4043,1.3455,6.4847,12.3828,4.0838,4.1863,4.1126,9.7732,1.9215,1.9684,1.9471,1.975,1.9612,1.5151,1.7112,1.6569,0.4121,0.0806,0.0982,0.0783,0.1015,0.0536,1.4878,1.5172,1.6324,0.2936,0.0706,0.0532,0.0569,0.0504,0.0626,45.4
PUTJUJ,82.09,174.82,2.04,6.69,6.67,32.1,24.4,14.3,503.81,-3.3831,0.3103,1.87,2.44,1.87,0.3584,-0.2546,-0.8518,-0.7713,1.6172,2.9235,1.9224,1.7363,28.7931,7.2589,8.6247,8.608,0.6607,0.6169,0.1301,3.1607,1.2627,1.3943,1.3535,6.4737,12.3924,4.095,4.2024,4.0949,9.7756,1.921,1.976,1.9565,1.9748,1.9474,1.7126,1.6621,1.5013,0.4416,0.0716,0.099,0.0878,0.0652,0.118,1.6151,1.3456,1.8589,0.4096,0.1173,0.0682,0.0691,0.0715,0.0836,47.8
MOGLAW,77.49,170.14,2.27,7.42,9.06,33.4,28,21.1,620.99,-3.358,-1.0401,1.88,2.44,1.87,0.371,-0.2563,-0.8419,-0.4841,1.6499,2.9451,1.8731,2.1384,28.8462,7.2648,8.6119,8.4189,0.6732,0.6733,0.1331,3.1603,1.3225,1.3801,1.3099,6.4771,12.3833,4.1128,4.1798,4.0906,9.7686,1.883,1.9809,1.977,1.9785,1.9492,1.4597,1.7053,1.6801,0.4509,0.1156,0.0984,0.0746,0.1005,0.0618,1.4415,1.4739,1.7125,0.3335,0.0786,0.0648,0.0765,0.0502,0.0635,44
XIKLOU,77.38,172.66,1.75,4.15,7.3,27.9,17.6,9.7,430.03,-3.9987,-2.9186,1.84,2.44,1.95,0.4548,-0.2222,-0.5176,-0.3115,2.0739,2.9416,2.2988,2.7306,28.7264,7.2302,8.4924,7.6687,0.5155,0.5648,0.1334,3.1716,1.393,1.3982,1.1769,6.2845,12.4471,4.0974,4.1702,4.1795,9.8136,1.9272,1.9921,1.9338,1.9778,1.9828,1.467,1.6636,1.5053,0.4085,0.0956,0.082,0.069,0.1026,0.0594,1.4467,1.09,1.4914,0.0779,0.0268,0.0094,0.0126,0.0059,0.0232,26
TITCUX,69.97,218.47,1.93,10.19,8.31,38.4,27.9,17.2,632.89,-4.5229,-3.6565,2.04,2.47,1.88,0.4425,-0.2246,-0.0143,0.1341,1.9353,3.0526,3.0253,2.8048,28.6817,7.2185,6.9843,7.0411,0.6954,0.3779,0.1339,3.1601,1.2473,1.3244,1.411,6.347,12.4075,4.0685,4.2352,4.1038,9.803,1.9238,1.9841,1.9788,1.9775,1.9388,1.2217,1.3392,1.1805,0.1145,0.0253,0.0229,0.0215,0.0253,0.0196,1.3487,1.058,1.124,0.1251,0.0201,0.0171,0.0307,0.0363,0.0209,31.2
MEDWOK,79.72,189.55,1.76,8.37,8.24,29.6,21.5,11.4,537.73,-4.0251,-2.5917,1.8,2.29,1.95,0.4464,-0.2245,-0.6032,-0.1215,2.0898,2.9444,2.3094,3.0843,28.6685,7.1774,8.564,7.3565,0.5115,0.5136,0.1341,3.1697,1.2258,1.3785,1.3683,6.2912,12.4757,4.1975,4.1128,4.1654,9.7868,1.9797,1.9599,1.9531,1.9307,1.9634,1.4779,1.4938,1.7001,0.4674,0.0909,0.0741,0.1083,0.0955,0.0985,1.3804,1.3648,1.117,0.1201,0.009,0.0266,0.0391,0.016,0.0294,28.4
PUZLED,80.32,173.22,2.99,9.18,8.5,32,25.2,18.1,657.76,-3.5281,-2.4563,1.87,2.45,1.86,0.3894,-0.2555,-0.7889,-0.5539,1.7472,2.9554,1.9439,2.0512,28.8501,7.2628,8.5547,8.4182,0.69,0.6832,0.1344,3.1596,1.2462,1.4298,1.3367,6.4601,12.3866,4.1432,4.0986,4.1447,9.764,1.9539,1.8837,1.965,1.9838,1.9776,1.7429,1.3975,1.7008,0.4015,0.0964,0.0604,0.1014,0.0569,0.0864,1.5523,1.523,1.5736,0.3686,0.0566,0.0793,0.0791,0.0662,0.0875,65.2
JEKNAP,82.02,174.91,2.08,10.16,7.25,32,23.1,14.7,600.41,-3.2902,-0.6967,1.87,2.43,1.87,0.3524,-0.2548,-0.8594,-0.7742,1.6331,2.9177,1.9351,1.7762,28.8219,7.2662,8.5645,8.6071,0.6603,0.6428,0.1349,3.1609,1.229,1.4025,1.3788,6.4783,12.3966,4.1174,4.1142,4.165,9.7726,1.9583,1.9006,1.9513,1.9847,1.9778,1.6598,1.5109,1.7166,0.4321,0.1041,0.0825,0.0914,0.0644,0.0897,1.576,1.7029,1.5412,0.4111,0.08,0.0867,0.0887,0.0575,0.0982,42
ZIKMUD,102.71,198.32,3.14,6.04,10.43,30.5,21.4,16.6,620.64,-3.9076,-2.9135,1.81,2.44,1.94,0.4934,-0.2092,-0.5315,-0.4258,2.1981,2.9726,2.2512,2.0863,28.8097,7.1515,8.5277,8.412,0.507,0.6597,0.1349,3.1681,1.2506,1.4077,1.3004,6.2765,12.4533,4.1604,4.1807,4.1121,9.7768,1.9217,1.9785,1.9473,1.9674,1.9619,1.4589,1.6916,1.5098,0.3956,0.0827,0.0814,0.0798,0.0815,0.0701,1.4561,1.6177,1.5402,0.281,0.0616,0.0576,0.0488,0.0533,0.0598,24.1
CXHIMZ20,80.91,174.19,1.71,5.11,7.99,32,19.8,10.8,456.91,-3.6928,-0.2277,1.9,2.43,1.88,0.3134,-0.2632,-0.4218,-0.6104,1.7494,2.9474,2.9342,2.0019,28.8759,7.2921,7.6428,8.5008,0.697,0.672,0.1352,3.1649,1.3082,1.4224,1.2867,6.4792,12.3968,4.1075,4.1211,4.1682,9.8106,1.9783,1.9033,1.9652,1.9881,1.9756,1.2692,1.5002,1.332,0.0639,0.0206,0.0135,0.0147,0.0077,0.0074,1.5443,1.6235,1.5705,0.3245,0.0871,0.0506,0.0503,0.0817,0.0548,41.4
QEZSET,82.09,175.72,2.18,4.87,8.49,29.4,21.2,13.2,506.27,-3.2201,0.297,1.88,2.39,1.87,0.3498,-0.2538,-0.8396,-0.7697,1.6186,2.9261,1.9657,1.7738,28.7991,7.2554,8.5713,8.5605,0.6612,0.6335,0.1357,3.1596,1.231,1.3405,1.4387,6.477,12.3988,4.1213,4.17,4.1074,9.7744,1.8805,1.9774,1.9714,1.9843,1.9609,1.5875,1.7256,1.5626,0.4236,0.0998,0.0954,0.0734,0.0717,0.0833,1.6353,1.3579,1.8165,0.4163,0.1132,0.0684,0.0689,0.0705,0.0953,41.3
